Date,Maha_Lord,Antar_Lord,Prayant_Lord,Maha_Strength,Antar_Strength,Prayant_Strength,Auspiciousness,Inauspiciousness,Active_Status,Entity,Birth_Date,End_Date,Start_Price,End_Price,Percent_Change,Period_High,Period_High_Date,Period_Low,Period_Low_Date
2019-03-29,Sun,Rahu,Moon,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29,2019-04-09,69.01,67.44,-2.2750326039704496,88.6,2019-03-29,66.1,2019-04-02
2019-04-09,Sun,Rahu,Moon,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29,2019-05-02,60.12,61.5,2.295409181636731,69.7,2019-04-09,54.32,2019-04-26
2019-05-02,Sun,Rahu,Jupiter,4.8,6.8,6.4,6.22,4.58,Active,"Lyft, Inc.",2019-03-29,2019-06-09,62.51,59.26,-5.199168133098704,63.24,2019-06-05,47.17,2019-05-13
2019-06-09,Sun,Jupiter,Jupiter,4.8,6.4,6.4,6.6,3.9,Active,"Lyft, Inc.",2019-03-29,2019-07-24,56.76,65.23,14.92248062015505,68.33,2019-07-19,56.31,2019-06-11
2019-07-24,Sun,Jupiter,Saturn,4.8,6.4,4.8,4.78,5.92,Active,"Lyft, Inc.",2019-03-29,2019-09-02,65.01,48.97,-24.673127211198285,66.7,2019-07-26,47.87,2019-08-30
2019-09-02,Sun,Jupiter,Mercury,4.8,6.4,5.2,4.86,5.64,Active,"Lyft, Inc.",2019-03-29,2019-09-18,45.42,46.62,2.6420079260237683,49.15,2019-09-11,43.41,2019-09-10
2019-09-18,Sun,Jupiter,Ketu,4.8,6.4,6.8,6.18,4.52,Active,"Lyft, Inc.",2019-03-29,2019-11-05,47.28,41.37,-12.500000000000009,48.3833,2019-09-19,37.0678,2019-10-10
2019-11-05,Sun,Jupiter,Venus,4.8,6.4,5.2,4.36,6.14,Active,"Lyft, Inc.",2019-03-29,2019-11-19,42.92,44.15,2.865796831314065,45.36,2019-11-18,40.48,2019-11-06
2019-11-19,Sun,Jupiter,Sun,4.8,6.4,4.8,6.28,4.42,Active,"Lyft, Inc.",2019-03-29,2019-12-13,43.95,46.75,6.370875995449367,49.785,2019-11-26,42.77,2019-11-20
2019-12-13,Sun,Jupiter,Moon,4.8,6.4,5.2,6.36,4.14,Active,"Lyft, Inc.",2019-03-29,2019-12-29,47.93,45.84,-4.36052576674316,49.3075,2019-12-16,45.01,2019-12-26
2019-12-29,Sun,Jupiter,Mars,4.8,6.4,5.2,6.36,4.34,Active,"Lyft, Inc.",2019-03-29,2020-02-14,43.5,44.69,2.735632183908041,54.5,2020-02-11,42.2328,2020-01-03
2020-02-14,Sun,Jupiter,Saturn,4.8,6.4,4.8,4.78,5.92,Active,"Lyft, Inc.",2019-03-29,2020-04-07,45.1,27.5,-39.02439024390244,47.15,2020-02-14,14.5617,2020-03-18
2020-04-07,Sun,Saturn,Saturn,4.8,4.8,4.8,3.8,7.2,Active,"Lyft, Inc.",2019-03-29,2020-05-25,29.64,31.26,5.465587044534416,35.11,2020-04-28,25.19,2020-05-06
2020-05-25,Sun,Saturn,Mercury,4.8,4.8,5.2,4.38,6.42,Active,"Lyft, Inc.",2019-03-29,2020-06-14,32.47,36.89,13.612565445026185,41.19,2020-06-08,30.55,2020-06-01
2020-06-14,Sun,Saturn,Ketu,4.8,4.8,6.8,4.7,6.3,Active,"Lyft, Inc.",2019-03-29,2020-08-09,36.21,30.19,-16.625241645954155,38.38,2020-06-16,27.51,2020-07-14
2020-08-09,Sun,Saturn,Venus,4.8,4.8,5.2,3.88,6.92,Active,"Lyft, Inc.",2019-03-29,2020-08-26,31.05,29.52,-4.927536231884062,31.62,2020-08-12,25.74,2020-08-20
2020-08-26,Sun,Saturn,Sun,4.8,4.8,4.8,3.8,7.2,Active,"Lyft, Inc.",2019-03-29,2020-09-23,29.7,26.97,-9.191919191919194,32.27,2020-09-15,26.96,2020-09-23
2020-09-23,Sun,Saturn,Moon,4.8,4.8,5.2,3.88,6.92,Active,"Lyft, Inc.",2019-03-29,2020-10-12,26.77,27.24,1.755696675382887,28.56,2020-09-23,26.11,2020-10-07
2020-10-12,Sun,Saturn,Mars,4.8,4.8,5.2,3.88,7.12,Active,"Lyft, Inc.",2019-03-29,2020-12-02,26.33,43.4,64.83099126471706,43.86,2020-12-02,21.34,2020-10-28
2020-12-02,Sun,Saturn,Rahu,4.8,4.8,6.8,4.7,6.3,Active,"Lyft, Inc.",2019-03-29,2021-01-21,43.1,48.1,11.600928074245939,51.24,2021-01-13,38.2,2020-12-02
2021-01-21,Sun,Saturn,Mercury,4.8,4.8,5.2,4.38,6.42,Active,"Lyft, Inc.",2019-03-29,2021-03-05,47.81,64.12,34.11420204978038,65.09,2021-03-05,42.94,2021-01-27
2021-03-05,Sun,Mercury,Mercury,4.8,5.2,5.2,5.0,5.5,Active,"Lyft, Inc.",2019-03-29,2021-03-22,64.31,64.16,-0.23324521847303015,68.28,2021-03-18,60.98,2021-03-05
2021-03-22,Sun,Mercury,Ketu,4.8,5.2,6.8,5.32,5.38,Active,"Lyft, Inc.",2019-03-29,2021-05-11,61.56,48.82,-20.695256660168944,66.97,2021-03-22,47.11,2021-05-11
2021-05-11,Sun,Mercury,Venus,4.8,5.2,5.2,4.5,6.0,Active,"Lyft, Inc.",2019-03-29,2021-05-26,46.89,54.92,17.125186606952443,55.44,2021-05-25,45.285,2021-05-13
2021-05-26,Sun,Mercury,Sun,4.8,5.2,4.8,5.42,5.28,Active,"Lyft, Inc.",2019-03-29,2021-06-21,55.49,59.5,7.226527302216612,60.3,2021-06-14,52.81,2021-05-26
2021-06-21,Sun,Mercury,Moon,4.8,5.2,5.2,4.5,6.0,Active,"Lyft, Inc.",2019-03-29,2021-07-08,59.06,58.55,-0.863528614967838,63.07,2021-07-02,56.54,2021-07-08
2021-07-08,Sun,Mercury,Mars,4.8,5.2,5.2,5.5,5.2,Active,"Lyft, Inc.",2019-03-29,2021-08-22,60.06,45.89,-23.593073593073598,60.3,2021-07-12,44.77,2021-08-20
2021-08-22,Sun,Mercury,Rahu,4.8,5.2,6.8,5.32,5.38,Active,"Lyft, Inc.",2019-03-29,2021-10-02,47.24,55.48,17.44284504657069,56.7,2021-09-27,44.06,2021-08-23
2021-10-02,Sun,Mercury,Jupiter,4.8,5.2,6.4,5.74,4.76,Active,"Lyft, Inc.",2019-03-29,2021-11-23,53.68,45.67,-14.921758569299548,57.68,2021-11-10,43.7,2021-11-22
2021-11-23,Sun,Mercury,Ketu,4.8,5.2,6.8,5.32,5.38,Active,"Lyft, Inc.",2019-03-29,2021-11-30,44.52,40.61,-8.782569631626243,46.48,2021-11-23,39.03,2021-11-30
2021-11-30,Sun,Ketu,Ketu,4.8,6.8,6.8,5.8,5.2,Active,"Lyft, Inc.",2019-03-29,2021-12-21,38.22,40.91,7.038199895342746,43.83,2021-12-07,36.25,2021-12-17
2021-12-21,Sun,Ketu,Venus,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29,2021-12-27,42.46,44.03,3.6975977390485166,44.61,2021-12-23,38.92,2021-12-21
2021-12-27,Sun,Ketu,Sun,4.8,6.8,4.8,4.9,6.1,Active,"Lyft, Inc.",2019-03-29,2022-01-06,43.52,43.6,0.18382352941176078,46.64,2022-01-05,42.2,2021-12-29
2022-01-06,Sun,Ketu,Moon,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29,2022-01-13,43.1,42.6,-1.160092807424594,45.81,2022-01-11,41.61,2022-01-10
2022-01-13,Sun,Ketu,Mars,4.8,6.8,5.2,6.48,4.52,Active,"Lyft, Inc.",2019-03-29,2022-02-01,41.26,39.42,-4.459524963645168,43.43,2022-01-13,33.94,2022-01-28
2022-02-01,Sun,Ketu,Rahu,4.8,6.8,6.8,5.8,5.2,Active,"Lyft, Inc.",2019-03-29,2022-02-18,38.44,41.26,7.336108220603539,45.6493,2022-02-10,36.23,2022-02-03
2022-02-18,Sun,Ketu,Jupiter,4.8,6.8,6.4,6.22,4.58,Active,"Lyft, Inc.",2019-03-29,2022-03-09,38.88,37.8,-2.7777777777777914,43.11,2022-02-18,34.13,2022-03-08
