Date,Maha_Lord,Antar_Lord,Prayant_Lord,Maha_Strength,Antar_Strength,Prayant_Strength,Auspiciousness,Inauspiciousness,Active_Status,Entity,Birth_Date
2019-03-29,Sun,Rahu,Moon,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29
2019-04-09,Sun,Rahu,Moon,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29
2019-05-02,Sun,Rahu,Jupiter,4.8,6.8,6.4,6.22,4.58,Active,"Lyft, Inc.",2019-03-29
2019-06-09,Sun,Jupiter,Jupiter,4.8,6.4,6.4,6.6,3.9,Active,"Lyft, Inc.",2019-03-29
2019-07-24,Sun,Jupiter,Saturn,4.8,6.4,4.8,4.78,5.92,Active,"Lyft, Inc.",2019-03-29
2019-09-02,Sun,Jupiter,Mercury,4.8,6.4,5.2,4.86,5.64,Active,"Lyft, Inc.",2019-03-29
2019-09-18,Sun,Jupiter,Ketu,4.8,6.4,6.8,6.18,4.52,Active,"Lyft, Inc.",2019-03-29
2019-11-05,Sun,Jupiter,Venus,4.8,6.4,5.2,4.36,6.14,Active,"Lyft, Inc.",2019-03-29
2019-11-19,Sun,Jupiter,Sun,4.8,6.4,4.8,6.28,4.42,Active,"Lyft, Inc.",2019-03-29
2019-12-13,Sun,Jupiter,Moon,4.8,6.4,5.2,6.36,4.14,Active,"Lyft, Inc.",2019-03-29
2019-12-29,Sun,Jupiter,Mars,4.8,6.4,5.2,6.36,4.34,Active,"Lyft, Inc.",2019-03-29
2020-02-14,Sun,Jupiter,Saturn,4.8,6.4,4.8,4.78,5.92,Active,"Lyft, Inc.",2019-03-29
2020-04-07,Sun,Saturn,Saturn,4.8,4.8,4.8,3.8,7.2,Active,"Lyft, Inc.",2019-03-29
2020-05-25,Sun,Saturn,Mercury,4.8,4.8,5.2,4.38,6.42,Active,"Lyft, Inc.",2019-03-29
2020-06-14,Sun,Saturn,Ketu,4.8,4.8,6.8,4.7,6.3,Active,"Lyft, Inc.",2019-03-29
2020-08-09,Sun,Saturn,Venus,4.8,4.8,5.2,3.88,6.92,Active,"Lyft, Inc.",2019-03-29
2020-08-26,Sun,Saturn,Sun,4.8,4.8,4.8,3.8,7.2,Active,"Lyft, Inc.",2019-03-29
2020-09-23,Sun,Saturn,Moon,4.8,4.8,5.2,3.88,6.92,Active,"Lyft, Inc.",2019-03-29
2020-10-12,Sun,Saturn,Mars,4.8,4.8,5.2,3.88,7.12,Active,"Lyft, Inc.",2019-03-29
2020-12-02,Sun,Saturn,Rahu,4.8,4.8,6.8,4.7,6.3,Active,"Lyft, Inc.",2019-03-29
2021-01-21,Sun,Saturn,Mercury,4.8,4.8,5.2,4.38,6.42,Active,"Lyft, Inc.",2019-03-29
2021-03-05,Sun,Mercury,Mercury,4.8,5.2,5.2,5.0,5.5,Active,"Lyft, Inc.",2019-03-29
2021-03-22,Sun,Mercury,Ketu,4.8,5.2,6.8,5.32,5.38,Active,"Lyft, Inc.",2019-03-29
2021-05-11,Sun,Mercury,Venus,4.8,5.2,5.2,4.5,6.0,Active,"Lyft, Inc.",2019-03-29
2021-05-26,Sun,Mercury,Sun,4.8,5.2,4.8,5.42,5.28,Active,"Lyft, Inc.",2019-03-29
2021-06-21,Sun,Mercury,Moon,4.8,5.2,5.2,4.5,6.0,Active,"Lyft, Inc.",2019-03-29
2021-07-08,Sun,Mercury,Mars,4.8,5.2,5.2,5.5,5.2,Active,"Lyft, Inc.",2019-03-29
2021-08-22,Sun,Mercury,Rahu,4.8,5.2,6.8,5.32,5.38,Active,"Lyft, Inc.",2019-03-29
2021-10-02,Sun,Mercury,Jupiter,4.8,5.2,6.4,5.74,4.76,Active,"Lyft, Inc.",2019-03-29
2021-11-23,Sun,Mercury,Ketu,4.8,5.2,6.8,5.32,5.38,Active,"Lyft, Inc.",2019-03-29
2021-11-30,Sun,Ketu,Ketu,4.8,6.8,6.8,5.8,5.2,Active,"Lyft, Inc.",2019-03-29
2021-12-21,Sun,Ketu,Venus,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29
2021-12-27,Sun,Ketu,Sun,4.8,6.8,4.8,4.9,6.1,Active,"Lyft, Inc.",2019-03-29
2022-01-06,Sun,Ketu,Moon,4.8,6.8,5.2,4.98,5.82,Active,"Lyft, Inc.",2019-03-29
2022-01-13,Sun,Ketu,Mars,4.8,6.8,5.2,6.48,4.52,Active,"Lyft, Inc.",2019-03-29
2022-02-01,Sun,Ketu,Rahu,4.8,6.8,6.8,5.8,5.2,Active,"Lyft, Inc.",2019-03-29
2022-02-18,Sun,Ketu,Jupiter,4.8,6.8,6.4,6.22,4.58,Active,"Lyft, Inc.",2019-03-29
2022-03-09,Sun,Ketu,Saturn,4.8,6.8,4.8,4.9,6.1,Active,"Lyft, Inc.",2019-03-29
