Date,Maha_Lord,Antar_Lord,Prayant_Lord,Maha_Strength,Antar_Strength,Prayant_Strength,Auspiciousness,Inauspiciousness,Active_Status,Entity,Birth_Date
2020-09-30,Jupiter,Rahu,Rahu,6.4,5.2,5.2,5.8,4.7,Active,Palantir Technologies Inc.,2020-09-30
2020-12-24,Jupiter,Rahu,Rahu,6.4,5.2,5.2,5.8,4.7,Active,Palantir Technologies Inc.,2020-09-30
2021-04-17,Jupiter,Rahu,Jupiter,6.4,5.2,6.4,6.04,4.26,Active,Palantir Technologies Inc.,2020-09-30
2021-08-29,Jupiter,Rahu,Saturn,6.4,5.2,6.0,6.46,4.04,Active,Palantir Technologies Inc.,2020-09-30
2021-12-28,Jupiter,Rahu,Mercury,6.4,5.2,5.6,5.38,4.92,Active,Palantir Technologies Inc.,2020-09-30
2022-02-16,Jupiter,Rahu,Ketu,6.4,5.2,4.8,5.72,4.78,Active,Palantir Technologies Inc.,2020-09-30
2022-07-08,Jupiter,Rahu,Venus,6.4,5.2,5.2,5.3,5.0,Active,Palantir Technologies Inc.,2020-09-30
2022-08-19,Jupiter,Rahu,Sun,6.4,5.2,5.2,5.3,5.2,Active,Palantir Technologies Inc.,2020-09-30
2022-10-29,Jupiter,Rahu,Moon,6.4,5.2,5.2,5.3,5.0,Active,Palantir Technologies Inc.,2020-09-30
2023-03-24,Jupiter,Saturn,Saturn,6.4,6.0,6.0,6.2,4.3,Active,Palantir Technologies Inc.,2020-09-30
2023-09-09,Saturn,Saturn,Saturn,6.0,6.0,6.0,6.0,5.0,Active,Palantir Technologies Inc.,2020-09-30
2024-02-07,Saturn,Saturn,Mercury,6.0,6.0,5.6,6.92,3.88,Active,Palantir Technologies Inc.,2020-09-30
2024-04-10,Saturn,Saturn,Ketu,6.0,6.0,4.8,5.76,5.24,Active,Palantir Technologies Inc.,2020-09-30
2024-10-05,Saturn,Saturn,Venus,6.0,6.0,5.2,6.84,3.96,Active,Palantir Technologies Inc.,2020-09-30
2024-11-27,Saturn,Saturn,Sun,6.0,6.0,5.2,4.84,6.16,Active,Palantir Technologies Inc.,2020-09-30
2025-02-24,Saturn,Saturn,Moon,6.0,6.0,5.2,4.84,5.96,Active,Palantir Technologies Inc.,2020-09-30
2025-04-27,Saturn,Saturn,Mars,6.0,6.0,6.0,5.0,6.0,Active,Palantir Technologies Inc.,2020-09-30
2025-10-04,Saturn,Saturn,Rahu,6.0,6.0,5.2,5.84,5.16,Active,Palantir Technologies Inc.,2020-09-30
2026-03-11,Saturn,Saturn,Mercury,6.0,6.0,5.6,6.92,3.88,Active,Palantir Technologies Inc.,2020-09-30
2026-07-25,Saturn,Mercury,Mercury,6.0,5.6,5.6,6.8,3.7,Active,Palantir Technologies Inc.,2020-09-30
2026-09-18,Saturn,Mercury,Ketu,6.0,5.6,4.8,6.14,4.56,Active,Palantir Technologies Inc.,2020-09-30
2027-02-24,Saturn,Mercury,Venus,6.0,5.6,5.2,6.72,3.78,Active,Palantir Technologies Inc.,2020-09-30
2027-04-13,Saturn,Mercury,Sun,6.0,5.6,5.2,6.72,3.98,Active,Palantir Technologies Inc.,2020-09-30
2027-07-02,Saturn,Mercury,Moon,6.0,5.6,5.2,4.72,5.78,Active,Palantir Technologies Inc.,2020-09-30
2027-08-27,Saturn,Mercury,Mars,6.0,5.6,6.0,5.38,5.32,Active,Palantir Technologies Inc.,2020-09-30
2028-01-17,Saturn,Mercury,Rahu,6.0,5.6,5.2,6.22,4.48,Active,Palantir Technologies Inc.,2020-09-30
2028-05-23,Saturn,Mercury,Jupiter,6.0,5.6,6.4,6.46,4.04,Active,Palantir Technologies Inc.,2020-09-30
2028-11-04,Saturn,Mercury,Ketu,6.0,5.6,4.8,6.14,4.56,Active,Palantir Technologies Inc.,2020-09-30
2028-11-27,Saturn,Ketu,Ketu,6.0,4.8,4.8,5.4,5.6,Active,Palantir Technologies Inc.,2020-09-30
2029-02-01,Saturn,Ketu,Venus,6.0,4.8,5.2,5.98,4.82,Active,Palantir Technologies Inc.,2020-09-30
2029-02-20,Saturn,Ketu,Sun,6.0,4.8,5.2,4.48,6.52,Active,Palantir Technologies Inc.,2020-09-30
2029-03-25,Saturn,Ketu,Moon,6.0,4.8,5.2,4.48,6.32,Active,Palantir Technologies Inc.,2020-09-30
2029-04-17,Saturn,Ketu,Mars,6.0,4.8,6.0,5.14,5.86,Active,Palantir Technologies Inc.,2020-09-30
2029-06-15,Saturn,Ketu,Rahu,6.0,4.8,5.2,5.48,5.52,Active,Palantir Technologies Inc.,2020-09-30
2029-08-07,Saturn,Ketu,Jupiter,6.0,4.8,6.4,5.72,5.08,Active,Palantir Technologies Inc.,2020-09-30
