Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
1996-06-03,1997-05-26,MD-AD,Ketu,Mercury,,Mercury,Ketu,3.06,3.28,0,0.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
1997-07-02,2000-10-14,MD-AD,Venus,Venus,,Venus,Venus,4.36,1.47,1,1.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence
2000-10-14,2001-10-09,MD-AD,Venus,Sun,,Sun,Venus,3.34,3.0,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2001-10-09,2003-06-01,MD-AD,Venus,Moon,,Moon,Venus,3.6,2.35,0,0.0,0.22333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2003-06-01,2004-07-25,MD-AD,Venus,Mars,,Mars,Venus,5.27,5.1,3,1.0,0.18333333333333332,Venus dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Mars sub-period (malefic)
2004-07-25,2007-07-10,MD-AD,Venus,Rahu,,Rahu,Venus,4.51,4.82,0,0.0,0.22333333333333333,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic)
2007-07-10,2010-02-24,MD-AD,Venus,Jupiter,,Jupiter,Venus,3.91,1.47,0,0.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2010-02-24,2013-04-09,MD-AD,Venus,Saturn,,Saturn,Venus,2.92,1.47,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2013-04-09,2016-01-24,MD-AD,Venus,Mercury,,Mercury,Venus,6.56,7.2,2,1.0,0.22333333333333333,Venus dasha (benefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic)
2016-01-24,2017-03-19,MD-AD,Venus,Ketu,,Ketu,Venus,3.6,2.54,0,0.0,0.3458333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2017-07-02,2017-10-18,MD-AD,Sun,Sun,,Sun,Sun,1.91,0.67,0,0.0,0.14666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2017-10-18,2018-04-16,MD-AD,Sun,Moon,,Moon,Sun,2.43,1.32,0,0.0,0.15,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Moon sub-period (benefic)
2018-04-16,2018-08-20,MD-AD,Sun,Mars,,Mars,Sun,6.13,8.32,1,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2018-08-20,2019-07-10,MD-AD,Sun,Rahu,,Rahu,Sun,4.96,6.66,0,0.0,0.46875,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Rahu sub-period (malefic)
