Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2003-09-21,2022-09-21,MD,Saturn,,,Saturn,,5.7,10.0,0,0.0,0.38583333333333336,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2014-06-28,2016-01-19,MD-AD,Saturn,Moon,,Moon,Saturn,6.5,8.88,2,1.0,0.22333333333333333,Saturn dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2014-09-19,2014-12-09,MD-AD-PD,Saturn,Moon,Rahu,Rahu,Moon,7.07,7.01,4,1.0,0.38583333333333336,Saturn dasha (malefic); lord in strong; triple Arishta-Bhanga protection; challenging luminaries configuration; Moon sub-period (benefic); Rahu sub-sub-period (malefic)
2014-12-09,2015-02-22,MD-AD-PD,Saturn,Moon,Jupiter,Jupiter,Moon,4.6,4.61,1,1.0,0.4625,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic); Jupiter sub-sub-period (benefic)
2015-02-22,2015-05-22,MD-AD-PD,Saturn,Moon,Saturn,Saturn,Moon,3.4,0.67,3,1.0,0.06666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Moon sub-period (benefic); Saturn sub-sub-period (malefic)
2015-05-22,2015-08-10,MD-AD-PD,Saturn,Moon,Mercury,Mercury,Moon,4.59,2.92,2,1.0,0.3458333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic); Mercury sub-sub-period (benefic)
2015-08-10,2015-09-11,MD-AD-PD,Saturn,Moon,Ketu,Ketu,Moon,2.87,1.78,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Ketu sub-sub-period (malefic)
2015-09-11,2015-12-14,MD-AD-PD,Saturn,Moon,Venus,Venus,Moon,3.84,2.35,0,0.0,0.61875,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic); Venus sub-sub-period (benefic)
2015-12-14,2016-01-11,MD-AD-PD,Saturn,Moon,Sun,Sun,Moon,3.21,2.05,1,1.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Sun sub-sub-period (malefic)
2016-01-19,2016-02-11,MD-AD-PD,Saturn,Moon,Mars,Mars,Moon,4.34,4.33,0,0.0,0.5333333333333333,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2016-01-19,2017-02-21,MD-AD,Saturn,Mars,,Mars,Saturn,3.06,1.93,0,0.0,0.5333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mars sub-period (malefic)
2016-02-11,2016-04-10,MD-AD-PD,Saturn,Mars,Rahu,Rahu,Mars,2.01,1.13,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Rahu sub-sub-period (malefic)
2016-04-10,2016-06-02,MD-AD-PD,Saturn,Mars,Jupiter,Jupiter,Mars,4.19,2.33,1,1.0,0.65,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic); Jupiter sub-sub-period (benefic)
2016-06-02,2016-08-03,MD-AD-PD,Saturn,Mars,Saturn,Saturn,Mars,2.42,2.11,0,0.0,0.06666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Saturn sub-sub-period (malefic)
2016-08-03,2016-09-28,MD-AD-PD,Saturn,Mars,Mercury,Mercury,Mars,3.62,2.92,0,0.0,0.4625,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mars sub-period (malefic); Mercury sub-sub-period (benefic)
2016-09-28,2016-10-21,MD-AD-PD,Saturn,Mars,Ketu,Ketu,Mars,3.21,2.65,1,1.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Ketu sub-sub-period (malefic)
2016-10-21,2016-12-25,MD-AD-PD,Saturn,Mars,Venus,Venus,Mars,2.82,2.65,0,0.0,0.15,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Venus sub-sub-period (benefic)
2016-12-25,2017-01-14,MD-AD-PD,Saturn,Mars,Sun,Sun,Mars,2.58,2.51,0,0.0,0.15,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Sun sub-sub-period (malefic)
