Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2014-06-28,2016-01-19,MD-AD,Saturn,Moon,,Moon,Saturn,6.5,8.88,2,1.0,0.22333333333333333,Saturn dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2016-01-19,2017-02-21,MD-AD,Saturn,Mars,,Mars,Saturn,3.51,1.93,1,1.0,0.5333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2017-02-21,2019-12-14,MD-AD,Saturn,Rahu,,Rahu,Saturn,2.84,2.2,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2019-12-14,2022-06-13,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,3.54,3.28,1,1.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2022-09-21,2025-02-04,MD-AD,Mercury,Mercury,,Mercury,Mercury,7.09,10.0,1,1.0,0.38583333333333336,Mercury dasha (benefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration
2025-02-04,2026-01-27,MD-AD,Mercury,Ketu,,Ketu,Mercury,3.43,2.2,1,1.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2026-01-27,2028-11-12,MD-AD,Mercury,Venus,,Venus,Mercury,4.99,3.42,1,1.0,0.5333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2028-11-12,2029-09-14,MD-AD,Mercury,Sun,,Sun,Mercury,2.71,1.03,0,0.0,0.15,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2029-09-14,2031-02-06,MD-AD,Mercury,Moon,,Moon,Mercury,6.47,7.0,1,1.0,0.46875,Mercury dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic)
2031-02-06,2032-01-29,MD-AD,Mercury,Mars,,Mars,Mercury,2.93,0.67,0,0.0,0.3458333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2032-01-29,2034-08-04,MD-AD,Mercury,Rahu,,Rahu,Mercury,3.04,1.79,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2034-08-04,2036-10-28,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.64,2.11,1,1.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2036-10-28,2039-06-24,MD-AD,Mercury,Saturn,,Saturn,Mercury,3.39,3.52,0,0.0,0.03333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2039-09-21,2040-02-15,MD-AD,Ketu,Ketu,,Ketu,Ketu,6.17,10.0,2,1.0,0.14666666666666667,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration
2040-02-15,2041-04-10,MD-AD,Ketu,Venus,,Venus,Ketu,5.33,7.44,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2041-04-10,2041-08-14,MD-AD,Ketu,Sun,,Sun,Ketu,2.48,0.67,0,0.0,0.4625,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Sun sub-period (malefic)
2041-08-14,2042-03-12,MD-AD,Ketu,Moon,,Moon,Ketu,2.25,0.43,0,0.0,0.22333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2042-03-12,2042-08-06,MD-AD,Ketu,Mars,,Mars,Ketu,2.45,0.23,2,1.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2042-08-06,2043-08-19,MD-AD,Ketu,Rahu,,Rahu,Ketu,2.7,1.23,1,1.0,0.22333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2043-08-19,2044-07-20,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,3.57,1.47,1,1.0,0.5020833333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic)
2044-07-20,2045-08-23,MD-AD,Ketu,Saturn,,Saturn,Ketu,5.44,5.1,3,1.0,0.65,Ketu dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Saturn sub-period (malefic)
2045-08-23,2046-08-15,MD-AD,Ketu,Mercury,,Mercury,Ketu,2.87,0.57,0,0.0,0.5420833333333334,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic)
2046-09-21,2050-01-03,MD-AD,Venus,Venus,,Venus,Venus,4.85,0.33,3,1.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence
2050-01-03,2050-12-29,MD-AD,Venus,Sun,,Sun,Venus,3.17,0.91,1,1.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2050-12-29,2052-08-20,MD-AD,Venus,Moon,,Moon,Venus,7.12,8.44,2,1.0,0.4625,Venus dasha (benefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Moon sub-period (benefic)
2052-08-20,2053-10-14,MD-AD,Venus,Mars,,Mars,Venus,5.44,5.89,1,1.0,0.61875,Venus dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2053-10-14,2056-09-28,MD-AD,Venus,Rahu,,Rahu,Venus,3.11,2.54,0,0.0,0.07333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2056-09-28,2059-05-16,MD-AD,Venus,Jupiter,,Jupiter,Venus,6.96,6.56,2,1.0,0.5733333333333334,Venus dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Jupiter sub-period (benefic)
2059-05-16,2062-06-29,MD-AD,Venus,Saturn,,Saturn,Venus,3.31,0.47,1,1.0,0.3458333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2062-06-29,2065-04-14,MD-AD,Venus,Mercury,,Mercury,Venus,5.76,6.25,2,1.0,0.14666666666666667,Venus dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic)
2065-04-14,2066-06-08,MD-AD,Venus,Ketu,,Ketu,Venus,3.97,1.23,0,0.0,0.8125,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong luminaries support; Ketu sub-period (malefic)
2066-09-21,2067-01-07,MD-AD,Sun,Sun,,Sun,Sun,4.1,3.0,3,1.0,0.14666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; challenging luminaries configuration
2067-01-07,2067-07-06,MD-AD,Sun,Moon,,Moon,Sun,2.75,1.47,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Moon sub-period (benefic)
