Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-11-06,2022-05-12,MD-AD,Rahu,Mercury,,Mercury,Rahu,2.99,2.2,1,1.0,0.03333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2022-05-12,2023-05-25,MD-AD,Rahu,Ketu,,Ketu,Rahu,2.98,1.13,0,0.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2023-05-25,2026-05-09,MD-AD,Rahu,Venus,,Venus,Rahu,3.16,2.35,0,0.0,0.3458333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2026-05-09,2027-03-29,MD-AD,Rahu,Sun,,Sun,Rahu,4.69,6.08,1,1.0,0.5333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2027-03-29,2028-09-19,MD-AD,Rahu,Moon,,Moon,Rahu,3.27,3.28,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2028-09-19,2029-10-02,MD-AD,Rahu,Mars,,Mars,Rahu,2.57,2.1,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2030-01-04,2032-02-11,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.73,1.47,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2032-02-11,2034-08-11,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,5.02,7.0,0,0.0,0.06666666666666667,Jupiter dasha (benefic); lord in strong; challenging luminaries configuration; Saturn sub-period (malefic)
2034-08-11,2036-11-04,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,4.94,4.82,0,0.0,0.3,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic)
2036-11-04,2037-10-06,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,2.28,0.43,0,0.0,0.03333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2037-10-06,2040-05-23,MD-AD,Jupiter,Venus,,Venus,Jupiter,6.11,7.2,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
