Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-08-05,2020-10-02,MD-AD-PD,Rahu,Mercury,Venus,Venus,Mercury,3.55,2.48,1,1.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Venus sub-sub-period (benefic)
2020-10-02,2020-11-17,MD-AD-PD,Rahu,Mercury,Sun,Sun,Mercury,5.57,6.92,2,1.0,0.14666666666666667,Rahu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
2020-11-17,2021-01-31,MD-AD-PD,Rahu,Mercury,Moon,Moon,Mercury,6.18,6.45,3,1.0,0.22333333333333333,Rahu dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Mercury sub-period (benefic); Moon sub-sub-period (benefic)
2021-01-31,2021-03-25,MD-AD-PD,Rahu,Mercury,Mars,Mars,Mercury,5.33,7.08,2,1.0,0.18333333333333332,Rahu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Mars sub-sub-period (malefic)
2021-03-25,2021-08-08,MD-AD-PD,Rahu,Mercury,Rahu,Rahu,Mercury,6.58,7.9,3,1.0,0.4625,Rahu dasha (malefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Mercury sub-period (benefic); Rahu sub-sub-period (malefic)
2021-08-08,2021-12-06,MD-AD-PD,Rahu,Mercury,Jupiter,Jupiter,Mercury,5.44,5.7,1,1.0,0.4625,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2021-12-06,2022-04-28,MD-AD-PD,Rahu,Mercury,Saturn,Saturn,Mercury,5.43,7.15,2,1.0,0.22333333333333333,Rahu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2022-05-12,2022-06-02,MD-AD-PD,Rahu,Mercury,Ketu,Ketu,Mercury,4.07,2.12,1,1.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2022-06-02,2022-08-03,MD-AD-PD,Rahu,Ketu,Venus,Venus,Ketu,2.44,1.43,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2022-08-03,2022-08-22,MD-AD-PD,Rahu,Ketu,Sun,Sun,Ketu,2.35,1.15,0,0.0,0.3,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
