Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-10-29,2020-03-24,MD-AD,Mars,Ketu,,Ketu,Mars,2.32,2.54,0,0.0,0.0,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2020-03-24,2021-05-18,MD-AD,Mars,Venus,,Venus,Mars,5.45,7.2,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2021-05-18,2021-09-21,MD-AD,Mars,Sun,,Sun,Mars,2.89,1.13,1,1.0,0.3458333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2021-09-21,2022-04-19,MD-AD,Mars,Moon,,Moon,Mars,3.26,1.13,2,1.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2022-05-26,2025-01-22,MD-AD,Rahu,Rahu,,Rahu,Rahu,2.12,1.47,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2025-01-22,2027-06-05,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,2.8,2.54,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2027-06-05,2030-03-27,MD-AD,Rahu,Saturn,,Saturn,Rahu,2.84,3.08,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2030-03-27,2032-09-30,MD-AD,Rahu,Mercury,,Mercury,Rahu,2.09,0.0,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2032-09-30,2033-10-13,MD-AD,Rahu,Ketu,,Ketu,Rahu,2.78,1.47,1,1.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2033-10-13,2036-09-27,MD-AD,Rahu,Venus,,Venus,Rahu,2.85,2.1,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
