Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2015-05-26,2022-05-26,MD,Mars,,,Mars,,2.81,3.0,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2019-10-29,2020-03-24,MD-AD,Mars,Ketu,,Ketu,Mars,2.64,3.42,0,0.0,0.0,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2019-12-12,2019-12-20,MD-AD-PD,Mars,Ketu,Moon,Moon,Ketu,3.71,3.11,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2019-12-20,2019-12-29,MD-AD-PD,Mars,Ketu,Mars,Mars,Ketu,2.85,2.54,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2019-12-29,2020-01-19,MD-AD-PD,Mars,Ketu,Rahu,Rahu,Ketu,3.29,3.7,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2020-01-19,2020-02-08,MD-AD-PD,Mars,Ketu,Jupiter,Jupiter,Ketu,3.93,5.44,1,1.0,0.03333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2020-02-08,2020-03-02,MD-AD-PD,Mars,Ketu,Saturn,Saturn,Ketu,4.42,3.89,3,1.0,0.3458333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
2020-03-02,2020-03-22,MD-AD-PD,Mars,Ketu,Mercury,Mercury,Ketu,3.64,1.77,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
2020-03-24,2020-06-01,MD-AD-PD,Mars,Ketu,Venus,Venus,Ketu,4.23,5.57,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2020-03-24,2021-05-18,MD-AD,Mars,Venus,,Venus,Mars,5.0,7.2,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in strong; challenging luminaries configuration; Venus sub-period (benefic)
