Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-03-11,2021-05-05,MD-AD,Ketu,Venus,,Venus,Ketu,5.02,7.1,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2021-05-05,2021-09-08,MD-AD,Ketu,Sun,,Sun,Ketu,7.31,10.0,3,1.0,0.5333333333333333,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Sun sub-period (malefic)
2021-09-08,2022-04-06,MD-AD,Ketu,Moon,,Moon,Ketu,6.7,7.44,2,1.0,0.61875,Ketu dasha (malefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Moon sub-period (benefic)
2022-04-06,2022-08-31,MD-AD,Ketu,Mars,,Mars,Ketu,7.08,10.0,2,1.0,0.65,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic)
2022-08-31,2023-09-13,MD-AD,Ketu,Rahu,,Rahu,Ketu,3.36,1.47,1,1.0,0.5420833333333334,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2023-09-13,2024-08-14,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,3.33,1.47,0,0.0,0.61875,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2024-08-14,2025-09-17,MD-AD,Ketu,Saturn,,Saturn,Ketu,3.19,3.84,1,1.0,0.15,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2025-09-17,2026-09-09,MD-AD,Ketu,Mercury,,Mercury,Ketu,4.21,3.47,2,1.0,0.38583333333333336,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic)
2026-10-16,2030-01-28,MD-AD,Venus,Venus,,Venus,Venus,6.44,9.38,1,1.0,0.14666666666666667,Venus dasha (benefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration
2030-01-28,2031-01-23,MD-AD,Venus,Sun,,Sun,Venus,3.04,2.54,0,0.0,0.03333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2031-01-23,2032-09-14,MD-AD,Venus,Moon,,Moon,Venus,3.61,3.18,0,0.0,0.06666666666666667,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2032-09-14,2033-11-08,MD-AD,Venus,Mars,,Mars,Venus,4.1,0.44,2,1.0,0.5420833333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic)
2033-11-08,2036-10-23,MD-AD,Venus,Rahu,,Rahu,Venus,5.97,7.46,0,0.0,0.5,Venus dasha (benefic); lord in strong; balanced solar-lunar influence; Rahu sub-period (malefic)
2036-10-23,2039-06-10,MD-AD,Venus,Jupiter,,Jupiter,Venus,2.39,0.1,0,0.0,0.0,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2039-06-10,2042-07-24,MD-AD,Venus,Saturn,,Saturn,Venus,2.88,0.67,1,1.0,0.06666666666666667,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2042-07-24,2045-05-09,MD-AD,Venus,Mercury,,Mercury,Venus,3.28,1.47,0,0.0,0.22333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2045-05-09,2046-07-03,MD-AD,Venus,Ketu,,Ketu,Venus,5.44,4.58,1,1.0,0.5333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic)
2046-10-16,2047-02-01,MD-AD,Sun,Sun,,Sun,Sun,2.68,3.0,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2047-02-01,2047-07-31,MD-AD,Sun,Moon,,Moon,Sun,2.33,1.47,0,0.0,0.06666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Moon sub-period (benefic)
2047-07-31,2047-12-04,MD-AD,Sun,Mars,,Mars,Sun,2.04,1.03,0,0.0,0.15,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mars sub-period (malefic)
2047-12-04,2048-10-23,MD-AD,Sun,Rahu,,Rahu,Sun,3.12,3.28,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Rahu sub-period (malefic)
2048-10-23,2049-08-07,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.36,0.44,1,1.0,0.03333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2049-08-07,2050-07-15,MD-AD,Sun,Saturn,,Saturn,Sun,2.12,1.23,0,0.0,0.15,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2050-07-15,2051-05-18,MD-AD,Sun,Mercury,,Mercury,Sun,3.64,2.54,0,0.0,0.5733333333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Mercury sub-period (benefic)
2051-05-18,2051-09-21,MD-AD,Sun,Ketu,,Ketu,Sun,2.58,2.35,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Ketu sub-period (malefic)
2051-09-21,2052-09-15,MD-AD,Sun,Venus,,Venus,Sun,2.57,0.47,1,1.0,0.14666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2052-10-16,2053-08-12,MD-AD,Moon,Moon,,Moon,Moon,5.74,6.25,1,1.0,0.38583333333333336,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration
2053-08-12,2054-03-10,MD-AD,Moon,Mars,,Mars,Moon,5.26,5.7,0,0.0,0.4625,Moon dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Mars sub-period (malefic)
2054-03-10,2055-09-01,MD-AD,Moon,Rahu,,Rahu,Moon,2.46,0.57,0,0.0,0.10666666666666666,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2055-09-01,2056-12-24,MD-AD,Moon,Jupiter,,Jupiter,Moon,5.54,3.28,3,1.0,0.5420833333333334,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Jupiter sub-period (benefic)
2056-12-24,2058-07-17,MD-AD,Moon,Saturn,,Saturn,Moon,5.11,5.28,0,0.0,0.4625,Moon dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Saturn sub-period (malefic)
