Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-09-23,2020-10-07,MD-AD-PD,Ketu,Venus,Rahu,Rahu,Venus,5.72,7.1,3,1.0,0.14666666666666667,Ketu dasha (malefic); lord in strong; triple Arishta-Bhanga protection; challenging luminaries configuration; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2020-10-07,2020-12-02,MD-AD-PD,Ketu,Venus,Jupiter,Jupiter,Venus,6.76,7.32,3,1.0,0.5733333333333334,Ketu dasha (malefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2020-12-02,2021-02-05,MD-AD-PD,Ketu,Venus,Saturn,Saturn,Venus,6.39,9.06,2,1.0,0.3,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2021-02-05,2021-04-05,MD-AD-PD,Ketu,Venus,Mercury,Mercury,Venus,4.62,5.57,1,1.0,0.03333333333333333,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2021-04-05,2021-04-29,MD-AD-PD,Ketu,Venus,Ketu,Ketu,Venus,6.97,10.0,3,1.0,0.18333333333333332,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
2021-05-05,2021-05-11,MD-AD-PD,Ketu,Venus,Sun,Sun,Venus,7.19,8.88,3,1.0,0.5333333333333333,Ketu dasha (malefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2021-05-11,2021-05-22,MD-AD-PD,Ketu,Sun,Moon,Moon,Sun,6.8,8.29,2,1.0,0.5333333333333333,Ketu dasha (malefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2021-05-22,2021-05-29,MD-AD-PD,Ketu,Sun,Mars,Mars,Sun,4.35,5.39,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Mars sub-sub-period (malefic)
2021-05-29,2021-06-17,MD-AD-PD,Ketu,Sun,Rahu,Rahu,Sun,4.92,7.1,2,1.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Rahu sub-sub-period (malefic)
2021-06-17,2021-07-03,MD-AD-PD,Ketu,Sun,Jupiter,Jupiter,Sun,5.01,6.5,1,1.0,0.22333333333333333,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-07-03,2021-07-23,MD-AD-PD,Ketu,Sun,Saturn,Saturn,Sun,4.94,7.15,2,1.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Saturn sub-sub-period (malefic)
2021-07-23,2021-08-09,MD-AD-PD,Ketu,Sun,Mercury,Mercury,Sun,5.1,6.69,2,1.0,0.18333333333333332,Ketu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Mercury sub-sub-period (benefic)
2021-08-09,2021-08-17,MD-AD-PD,Ketu,Sun,Ketu,Ketu,Sun,5.71,8.32,2,1.0,0.3,Ketu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
2021-08-17,2021-09-06,MD-AD-PD,Ketu,Sun,Venus,Venus,Sun,6.06,7.81,1,1.0,0.46875,Ketu dasha (malefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2021-09-08,2021-09-25,MD-AD-PD,Ketu,Sun,Moon,Moon,Sun,6.88,8.11,2,1.0,0.61875,Ketu dasha (malefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Moon sub-sub-period (benefic)
