Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-01-10,2020-02-13,MD-AD,Mars,Saturn,,Saturn,Mars,2.14,1.13,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2020-02-13,2021-02-04,MD-AD,Mars,Mercury,,Mercury,Mars,2.57,1.93,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2021-02-04,2021-07-01,MD-AD,Mars,Ketu,,Ketu,Mars,5.49,9.56,1,1.0,0.10666666666666666,Mars dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2021-07-01,2022-08-25,MD-AD,Mars,Venus,,Venus,Mars,1.99,0.1,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2022-08-25,2022-12-29,MD-AD,Mars,Sun,,Sun,Mars,5.62,4.91,3,1.0,0.78125,Mars dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; strong luminaries support; Sun sub-period (malefic)
2022-12-29,2023-07-27,MD-AD,Mars,Moon,,Moon,Mars,2.33,0.67,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2023-09-02,2026-05-01,MD-AD,Rahu,Rahu,,Rahu,Rahu,2.5,0.33,0,0.0,0.5420833333333334,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence
2026-05-01,2028-09-11,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,3.99,3.52,0,0.0,0.5733333333333334,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2028-09-11,2031-07-04,MD-AD,Rahu,Saturn,,Saturn,Rahu,4.81,2.1,2,1.0,0.96875,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; strong luminaries support; Saturn sub-period (malefic)
2031-07-04,2034-01-07,MD-AD,Rahu,Mercury,,Mercury,Rahu,1.99,0.1,0,0.0,0.14666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2034-01-07,2035-01-20,MD-AD,Rahu,Ketu,,Ketu,Rahu,2.88,1.79,0,0.0,0.4625,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2035-01-20,2038-01-04,MD-AD,Rahu,Venus,,Venus,Rahu,2.81,0.43,0,0.0,0.5333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic)
2038-01-04,2038-11-24,MD-AD,Rahu,Sun,,Sun,Rahu,2.58,0.91,1,1.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2038-11-24,2040-05-17,MD-AD,Rahu,Moon,,Moon,Rahu,2.58,1.37,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
