Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-06-12,2019-08-05,MD-AD-PD,Mars,Saturn,Venus,Venus,Saturn,2.84,2.32,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Venus sub-sub-period (benefic)
2019-08-05,2019-08-24,MD-AD-PD,Mars,Saturn,Sun,Sun,Saturn,2.58,1.78,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Sun sub-sub-period (malefic)
2019-08-24,2019-09-26,MD-AD-PD,Mars,Saturn,Moon,Moon,Saturn,4.74,3.63,1,1.0,0.96875,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Saturn sub-period (malefic); Moon sub-sub-period (benefic)
2019-09-26,2019-10-19,MD-AD-PD,Mars,Saturn,Mars,Mars,Saturn,3.12,1.13,2,1.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic); Mars sub-sub-period (malefic)
2019-10-19,2019-12-17,MD-AD-PD,Mars,Saturn,Rahu,Rahu,Saturn,2.76,1.77,1,1.0,0.15,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Rahu sub-sub-period (malefic)
2019-12-17,2020-02-07,MD-AD-PD,Mars,Saturn,Jupiter,Jupiter,Saturn,3.51,3.58,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Jupiter sub-sub-period (benefic)
2020-02-13,2020-04-03,MD-AD-PD,Mars,Saturn,Mercury,Mercury,Saturn,3.07,3.21,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2020-04-03,2020-04-24,MD-AD-PD,Mars,Mercury,Ketu,Ketu,Mercury,5.19,6.78,0,0.0,0.4625,Mars dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2020-04-24,2020-06-21,MD-AD-PD,Mars,Mercury,Venus,Venus,Mercury,5.41,6.25,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic); Venus sub-sub-period (benefic)
2020-06-21,2020-07-09,MD-AD-PD,Mars,Mercury,Sun,Sun,Mercury,3.74,4.21,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
