Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2017-05-09,2018-05-22,MD-AD,Mars,Rahu,,Rahu,Mars,4.61,3.52,2,1.0,0.5733333333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic)
2018-05-22,2019-04-23,MD-AD,Mars,Jupiter,,Jupiter,Mars,5.34,7.1,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2019-04-23,2020-05-26,MD-AD,Mars,Saturn,,Saturn,Mars,3.97,3.0,1,1.0,0.5733333333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2020-05-26,2021-05-18,MD-AD,Mars,Mercury,,Mercury,Mars,3.58,3.97,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2021-05-18,2021-10-12,MD-AD,Mars,Ketu,,Ketu,Mars,4.07,4.03,2,1.0,0.3458333333333333,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic)
2021-10-12,2022-12-06,MD-AD,Mars,Venus,,Venus,Mars,3.26,1.13,2,1.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic)
2022-12-06,2023-04-11,MD-AD,Mars,Sun,,Sun,Mars,3.35,0.91,1,1.0,0.65,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2023-04-11,2023-11-07,MD-AD,Mars,Moon,,Moon,Mars,2.53,1.23,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2023-12-14,2026-08-12,MD-AD,Rahu,Rahu,,Rahu,Rahu,2.89,3.0,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2026-08-12,2028-12-23,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,4.84,6.08,1,1.0,0.4625,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic)
2028-12-23,2031-10-15,MD-AD,Rahu,Saturn,,Saturn,Rahu,2.57,2.1,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2031-10-15,2034-04-20,MD-AD,Rahu,Mercury,,Mercury,Rahu,4.12,4.4,1,1.0,0.22333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2034-04-20,2035-05-03,MD-AD,Rahu,Ketu,,Ketu,Rahu,3.98,0.91,1,1.0,1.0,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Ketu sub-period (malefic)
2035-05-03,2038-04-17,MD-AD,Rahu,Venus,,Venus,Rahu,4.85,3.23,3,1.0,0.5333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic)
2038-04-17,2039-03-07,MD-AD,Rahu,Sun,,Sun,Rahu,3.95,3.47,1,1.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2039-03-07,2040-08-28,MD-AD,Rahu,Moon,,Moon,Rahu,4.33,3.97,2,1.0,0.3458333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2040-08-28,2041-09-10,MD-AD,Rahu,Mars,,Mars,Rahu,7.04,7.44,2,1.0,0.96875,Rahu dasha (malefic); lord in strong; strong protective cancellations; strong luminaries support; Mars sub-period (malefic)
2041-12-13,2044-01-20,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.42,1.47,0,0.0,0.3,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2044-01-20,2046-07-20,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,5.68,7.0,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2046-07-20,2048-10-13,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,5.38,6.25,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2048-10-13,2049-09-14,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,3.15,1.03,1,1.0,0.14666666666666667,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2049-09-14,2052-05-01,MD-AD,Jupiter,Venus,,Venus,Jupiter,6.69,7.44,1,1.0,0.5020833333333333,Jupiter dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2052-05-01,2053-02-13,MD-AD,Jupiter,Sun,,Sun,Jupiter,5.62,3.23,2,1.0,1.0,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; strong luminaries support; Sun sub-period (malefic)
2053-02-13,2054-06-08,MD-AD,Jupiter,Moon,,Moon,Jupiter,3.23,1.93,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2054-06-08,2055-05-10,MD-AD,Jupiter,Mars,,Mars,Jupiter,2.92,1.47,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2055-05-10,2057-09-20,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,6.84,7.0,2,1.0,0.5733333333333334,Jupiter dasha (benefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic)
2057-12-13,2060-11-30,MD-AD,Saturn,Saturn,,Saturn,Saturn,2.4,0.0,1,1.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2060-11-30,2063-07-27,MD-AD,Saturn,Mercury,,Mercury,Saturn,2.71,1.93,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2063-07-27,2064-08-29,MD-AD,Saturn,Ketu,,Ketu,Saturn,3.38,3.98,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2064-08-29,2067-10-13,MD-AD,Saturn,Venus,,Venus,Saturn,2.75,0.23,0,0.0,0.5420833333333334,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic)
2067-10-13,2068-09-19,MD-AD,Saturn,Sun,,Sun,Saturn,2.88,1.23,2,1.0,0.07333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic)
2068-09-19,2070-04-12,MD-AD,Saturn,Moon,,Moon,Saturn,4.12,4.4,1,1.0,0.22333333333333333,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2070-04-12,2071-05-16,MD-AD,Saturn,Mars,,Mars,Saturn,2.26,1.47,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2071-05-16,2074-03-07,MD-AD,Saturn,Rahu,,Rahu,Saturn,4.37,7.2,0,0.0,0.03333333333333333,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Rahu sub-period (malefic)
2074-03-07,2076-09-04,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,3.76,3.23,2,1.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
