Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2016-12-13,2023-12-14,MD,Mars,,,Mars,,4.16,4.3999999999999995,0,0.0,0.65,Mars dasha (malefic); lord in moderate strength; balanced solar-lunar influence
2017-05-09,2018-05-22,MD-AD,Mars,Rahu,,Rahu,Mars,4.61,3.52,2,1.0,0.5733333333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic)
2018-03-23,2018-03-25,MD-AD-PD,Mars,Rahu,Sun,Sun,Rahu,4.08,2.93,1,1.0,0.65,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); Sun sub-sub-period (malefic)
2018-03-25,2018-04-25,MD-AD-PD,Mars,Rahu,Moon,Moon,Rahu,3.85,3.52,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Moon sub-sub-period (benefic)
2018-04-25,2018-05-17,MD-AD-PD,Mars,Rahu,Mars,Mars,Rahu,4.29,3.52,1,1.0,0.65,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); Mars sub-sub-period (malefic)
2018-05-22,2018-07-05,MD-AD-PD,Mars,Rahu,Jupiter,Jupiter,Rahu,4.58,5.51,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic)
2018-05-22,2019-04-23,MD-AD,Mars,Jupiter,,Jupiter,Mars,5.34,7.1,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2018-07-05,2018-08-27,MD-AD-PD,Mars,Jupiter,Saturn,Saturn,Jupiter,4.35,6.04,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic); Saturn sub-sub-period (malefic)
2018-08-27,2018-10-13,MD-AD-PD,Mars,Jupiter,Mercury,Mercury,Jupiter,5.44,5.51,1,1.0,0.5020833333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic); Mercury sub-sub-period (benefic)
2018-10-13,2018-11-01,MD-AD-PD,Mars,Jupiter,Ketu,Ketu,Jupiter,4.37,6.45,0,0.0,0.07333333333333333,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic); Ketu sub-sub-period (malefic)
2018-11-01,2018-12-26,MD-AD-PD,Mars,Jupiter,Venus,Venus,Jupiter,6.16,8.2,2,1.0,0.3125,Mars dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic); Venus sub-sub-period (benefic)
2018-12-26,2019-01-12,MD-AD-PD,Mars,Jupiter,Sun,Sun,Jupiter,3.81,4.4,0,0.0,0.3,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic); Sun sub-sub-period (malefic)
2019-01-12,2019-02-08,MD-AD-PD,Mars,Jupiter,Moon,Moon,Jupiter,2.75,1.31,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Moon sub-sub-period (benefic)
2019-02-08,2019-02-28,MD-AD-PD,Mars,Jupiter,Mars,Mars,Jupiter,4.71,7.0,1,1.0,0.10666666666666666,Mars dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic); Mars sub-sub-period (malefic)
2019-02-28,2019-04-18,MD-AD-PD,Mars,Jupiter,Rahu,Rahu,Jupiter,3.97,5.19,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic); Rahu sub-sub-period (malefic)
2019-04-23,2020-05-26,MD-AD,Mars,Saturn,,Saturn,Mars,3.97,3.0,1,1.0,0.5733333333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2019-04-23,2019-06-25,MD-AD-PD,Mars,Jupiter,Saturn,Saturn,Jupiter,4.09,2.54,1,1.0,0.5733333333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic); Saturn sub-sub-period (malefic)
2019-06-25,2019-08-19,MD-AD-PD,Mars,Saturn,Mercury,Mercury,Saturn,2.29,1.19,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2019-08-19,2019-09-11,MD-AD-PD,Mars,Saturn,Ketu,Ketu,Saturn,3.29,2.51,0,0.0,0.5420833333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-period (malefic); Ketu sub-sub-period (malefic)
