Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-07-26,2020-07-02,MD-AD,Sun,Saturn,,Saturn,Sun,2.81,3.0,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2020-07-02,2021-05-04,MD-AD,Sun,Mercury,,Mercury,Sun,2.8,2.34,1,1.0,0.07333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2021-05-04,2021-09-07,MD-AD,Sun,Ketu,,Ketu,Sun,6.87,10.0,2,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Ketu sub-period (malefic)
2021-09-07,2022-09-02,MD-AD,Sun,Venus,,Venus,Sun,7.08,9.38,2,1.0,0.61875,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Venus sub-period (benefic)
2022-10-03,2023-07-30,MD-AD,Moon,Moon,,Moon,Moon,4.14,3.0,1,1.0,0.14666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2023-07-30,2024-02-25,MD-AD,Moon,Mars,,Mars,Moon,3.11,1.79,0,0.0,0.22333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2024-02-25,2025-08-18,MD-AD,Moon,Rahu,,Rahu,Moon,3.09,1.93,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2025-08-18,2026-12-11,MD-AD,Moon,Jupiter,,Jupiter,Moon,4.73,3.52,0,0.0,0.61875,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2026-12-11,2028-07-03,MD-AD,Moon,Saturn,,Saturn,Moon,3.16,0.67,1,1.0,0.22333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2028-07-03,2029-11-25,MD-AD,Moon,Mercury,,Mercury,Moon,2.64,0.44,0,0.0,0.07333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2029-11-25,2030-06-23,MD-AD,Moon,Ketu,,Ketu,Moon,3.01,1.13,0,0.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2030-06-23,2032-02-13,MD-AD,Moon,Venus,,Venus,Moon,3.59,2.34,1,1.0,0.14666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2032-02-13,2032-08-11,MD-AD,Moon,Sun,,Sun,Moon,3.05,2.2,0,0.0,0.10666666666666666,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2032-10-02,2033-02-26,MD-AD,Mars,Mars,,Mars,Mars,3.84,4.4,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration
2033-02-26,2034-03-11,MD-AD,Mars,Rahu,,Rahu,Mars,3.93,4.58,1,1.0,0.06666666666666667,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2034-03-11,2035-02-10,MD-AD,Mars,Jupiter,,Jupiter,Mars,4.95,6.76,1,1.0,0.03333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2035-02-10,2036-03-15,MD-AD,Mars,Saturn,,Saturn,Mars,3.45,4.47,0,0.0,0.06666666666666667,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Saturn sub-period (malefic)
2036-03-15,2037-03-07,MD-AD,Mars,Mercury,,Mercury,Mars,2.92,2.3,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2037-03-07,2037-08-01,MD-AD,Mars,Ketu,,Ketu,Mars,4.37,7.2,0,0.0,0.03333333333333333,Mars dasha (malefic); lord in strong; challenging luminaries configuration; Ketu sub-period (malefic)
2037-08-01,2038-09-25,MD-AD,Mars,Venus,,Venus,Mars,4.92,7.0,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in strong; challenging luminaries configuration; Venus sub-period (benefic)
2038-09-25,2039-01-29,MD-AD,Mars,Sun,,Sun,Mars,2.71,0.43,1,1.0,0.38583333333333336,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2039-01-29,2039-08-27,MD-AD,Mars,Moon,,Moon,Mars,2.32,1.23,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2039-10-03,2042-06-01,MD-AD,Rahu,Rahu,,Rahu,Rahu,6.1,10.0,2,1.0,0.10666666666666666,Rahu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration
2042-06-01,2044-10-12,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,2.89,1.55,1,1.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2044-10-12,2047-08-04,MD-AD,Rahu,Saturn,,Saturn,Rahu,2.33,1.47,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2047-08-04,2050-02-07,MD-AD,Rahu,Mercury,,Mercury,Rahu,2.23,0.57,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2050-02-07,2051-02-20,MD-AD,Rahu,Ketu,,Ketu,Rahu,1.73,0.0,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2051-02-20,2054-02-04,MD-AD,Rahu,Venus,,Venus,Rahu,3.2,3.28,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2054-02-04,2054-12-25,MD-AD,Rahu,Sun,,Sun,Rahu,1.84,0.67,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2054-12-25,2056-06-17,MD-AD,Rahu,Moon,,Moon,Rahu,2.78,1.93,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2056-06-17,2057-06-30,MD-AD,Rahu,Mars,,Mars,Rahu,4.0,4.91,1,1.0,0.38583333333333336,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2057-10-02,2059-11-09,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.56,3.0,0,0.0,0.07333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2059-11-09,2062-05-09,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,2.44,0.67,0,0.0,0.07333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2062-05-09,2064-08-02,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,7.96,7.2,2,1.0,1.0,Jupiter dasha (benefic); lord in strong; strong protective cancellations; strong luminaries support; Mercury sub-period (benefic)
2064-08-02,2065-07-04,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,2.91,1.23,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2065-07-04,2068-02-19,MD-AD,Jupiter,Venus,,Venus,Jupiter,3.64,2.11,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2068-02-19,2068-12-03,MD-AD,Jupiter,Sun,,Sun,Jupiter,2.88,0.1,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2068-12-03,2070-03-28,MD-AD,Jupiter,Moon,,Moon,Jupiter,3.52,0.9,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
