Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2018-05-17,2019-03-01,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.86,2.35,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2019-03-01,2020-02-06,MD-AD,Sun,Saturn,,Saturn,Sun,2.29,1.93,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2020-02-06,2020-12-08,MD-AD,Sun,Mercury,,Mercury,Sun,3.16,1.93,1,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2020-12-08,2021-04-13,MD-AD,Sun,Ketu,,Ketu,Sun,3.98,4.03,2,1.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic)
2021-04-13,2022-04-08,MD-AD,Sun,Venus,,Venus,Sun,3.45,3.98,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Venus sub-period (benefic)
2022-05-09,2023-03-05,MD-AD,Moon,Moon,,Moon,Moon,5.55,4.4,1,1.0,0.65,Moon dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence
2023-03-05,2023-10-01,MD-AD,Moon,Mars,,Mars,Moon,4.9,5.28,0,0.0,0.3458333333333333,Moon dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic)
2023-10-01,2025-03-24,MD-AD,Moon,Rahu,,Rahu,Moon,2.38,0.33,0,0.0,0.10666666666666666,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2025-03-24,2026-07-17,MD-AD,Moon,Jupiter,,Jupiter,Moon,3.66,1.47,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2026-07-17,2028-02-07,MD-AD,Moon,Saturn,,Saturn,Moon,4.49,3.98,1,1.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2028-02-07,2029-07-01,MD-AD,Moon,Mercury,,Mercury,Moon,3.82,1.93,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
