Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2016-05-09,2022-05-09,MD,Sun,,,Sun,,4.61,4.3999999999999995,1,1.0,0.65,Sun dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence
2018-05-17,2019-03-01,MD-AD,Sun,Jupiter,,Jupiter,Sun,3.74,3.52,1,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2018-12-28,2019-01-13,MD-AD-PD,Sun,Jupiter,Mars,Mars,Jupiter,3.73,2.93,1,1.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic); Mars sub-sub-period (malefic)
2019-01-13,2019-02-25,MD-AD-PD,Sun,Jupiter,Rahu,Rahu,Jupiter,3.15,2.93,0,0.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic); Rahu sub-sub-period (malefic)
2019-03-01,2019-04-23,MD-AD-PD,Sun,Jupiter,Saturn,Saturn,Jupiter,2.52,1.77,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic); Saturn sub-sub-period (malefic)
2019-03-01,2020-02-06,MD-AD,Sun,Saturn,,Saturn,Sun,2.29,1.93,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2019-04-23,2019-06-10,MD-AD-PD,Sun,Saturn,Mercury,Mercury,Saturn,4.98,5.9,0,0.0,0.5733333333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2019-06-10,2019-06-29,MD-AD-PD,Sun,Saturn,Ketu,Ketu,Saturn,2.64,2.51,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic); Ketu sub-sub-period (malefic)
2019-06-29,2019-08-25,MD-AD-PD,Sun,Saturn,Venus,Venus,Saturn,4.26,3.28,1,1.0,0.5733333333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic); Venus sub-sub-period (benefic)
2019-08-25,2019-09-10,MD-AD-PD,Sun,Saturn,Sun,Sun,Saturn,5.52,7.46,1,1.0,0.61875,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic); Sun sub-sub-period (malefic)
