Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2012-09-11,2029-09-11,MD,Mercury,,,Mercury,,5.71,6.25,0,0.0,0.61875,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence
2018-11-03,2019-09-05,MD-AD,Mercury,Sun,,Sun,Mercury,4.39,5.7,0,0.0,0.15,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Sun sub-period (malefic)
2019-08-01,2019-09-01,MD-AD-PD,Mercury,Sun,Venus,Venus,Sun,4.83,4.74,0,0.0,0.4625,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2019-09-05,2019-10-17,MD-AD-PD,Mercury,Sun,Moon,Moon,Sun,4.32,3.55,0,0.0,0.46875,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2019-09-05,2021-01-27,MD-AD,Mercury,Moon,,Moon,Mercury,3.56,1.03,0,0.0,0.46875,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic)
2019-10-17,2019-11-15,MD-AD-PD,Mercury,Moon,Mars,Mars,Moon,5.76,5.49,1,1.0,0.5733333333333334,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2019-11-15,2020-01-30,MD-AD-PD,Mercury,Moon,Rahu,Rahu,Moon,3.43,2.77,0,0.0,0.15,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Rahu sub-sub-period (malefic)
2020-01-30,2020-04-06,MD-AD-PD,Mercury,Moon,Jupiter,Jupiter,Moon,4.17,4.28,1,1.0,0.10666666666666666,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Jupiter sub-sub-period (benefic)
2020-04-06,2020-06-24,MD-AD-PD,Mercury,Moon,Saturn,Saturn,Moon,3.94,3.19,1,1.0,0.3,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Saturn sub-sub-period (malefic)
2020-06-24,2020-09-04,MD-AD-PD,Mercury,Moon,Mercury,Mercury,Moon,5.74,6.25,1,1.0,0.38583333333333336,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Mercury sub-sub-period (benefic)
2020-09-04,2020-10-03,MD-AD-PD,Mercury,Moon,Ketu,Ketu,Moon,5.8,6.78,0,0.0,0.5420833333333334,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Moon sub-period (benefic); Ketu sub-sub-period (malefic)
2020-10-03,2020-12-26,MD-AD-PD,Mercury,Moon,Venus,Venus,Moon,3.93,2.59,1,1.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Venus sub-sub-period (benefic)
2020-12-26,2021-01-20,MD-AD-PD,Mercury,Moon,Sun,Sun,Moon,6.3,5.38,2,1.0,0.65,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Moon sub-period (benefic); Sun sub-sub-period (malefic)
2021-01-27,2022-01-19,MD-AD,Mercury,Mars,,Mars,Mercury,5.04,4.91,2,1.0,0.3458333333333333,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2021-01-27,2021-02-17,MD-AD-PD,Mercury,Moon,Mars,Mars,Moon,5.35,5.25,2,1.0,0.3458333333333333,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2021-02-17,2021-04-10,MD-AD-PD,Mercury,Mars,Rahu,Rahu,Mars,4.53,5.15,2,1.0,0.06666666666666667,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic); Rahu sub-sub-period (malefic)
2021-04-10,2021-05-27,MD-AD-PD,Mercury,Mars,Jupiter,Jupiter,Mars,3.01,1.5,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-05-27,2021-07-22,MD-AD-PD,Mercury,Mars,Saturn,Saturn,Mars,3.98,4.81,1,1.0,0.03333333333333333,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Saturn sub-sub-period (malefic)
2021-07-22,2021-09-10,MD-AD-PD,Mercury,Mars,Mercury,Mercury,Mars,4.83,5.7,1,1.0,0.22333333333333333,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Mercury sub-sub-period (benefic)
2021-09-10,2021-09-30,MD-AD-PD,Mercury,Mars,Ketu,Ketu,Mars,5.73,7.1,1,1.0,0.5420833333333334,Mercury dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic); Ketu sub-sub-period (malefic)
2021-09-30,2021-11-28,MD-AD-PD,Mercury,Mars,Venus,Venus,Mars,4.93,4.51,2,1.0,0.38583333333333336,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic); Venus sub-sub-period (benefic)
2021-11-28,2021-12-16,MD-AD-PD,Mercury,Mars,Sun,Sun,Mars,2.97,1.53,0,0.0,0.3,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Sun sub-sub-period (malefic)
2021-12-16,2022-01-14,MD-AD-PD,Mercury,Mars,Moon,Moon,Mars,5.84,5.38,2,1.0,0.65,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic); Moon sub-sub-period (benefic)
