Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2018-11-03,2019-09-05,MD-AD,Mercury,Sun,,Sun,Mercury,5.29,5.7,2,1.0,0.15,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic)
2019-09-05,2021-01-27,MD-AD,Mercury,Moon,,Moon,Mercury,3.56,1.03,0,0.0,0.46875,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic)
2021-01-27,2022-01-19,MD-AD,Mercury,Mars,,Mars,Mercury,5.04,4.91,2,1.0,0.3458333333333333,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2022-01-19,2024-07-25,MD-AD,Mercury,Rahu,,Rahu,Mercury,4.66,5.1,1,1.0,0.3458333333333333,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2024-07-25,2026-10-19,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,4.02,3.52,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2026-10-19,2029-06-14,MD-AD,Mercury,Saturn,,Saturn,Mercury,3.76,3.28,1,1.0,0.03333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2029-09-11,2030-02-05,MD-AD,Ketu,Ketu,,Ketu,Ketu,4.26,1.47,3,1.0,0.5420833333333334,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence
2030-02-05,2031-04-01,MD-AD,Ketu,Venus,,Venus,Ketu,2.13,0.9,0,0.0,0.06666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2031-04-01,2031-08-05,MD-AD,Ketu,Sun,,Sun,Ketu,2.71,1.32,0,0.0,0.4625,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Sun sub-period (malefic)
2031-08-05,2032-03-02,MD-AD,Ketu,Moon,,Moon,Ketu,2.54,1.47,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2032-03-02,2032-07-27,MD-AD,Ketu,Mars,,Mars,Ketu,3.63,4.4,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2032-07-27,2033-08-09,MD-AD,Ketu,Rahu,,Rahu,Ketu,3.39,4.4,0,0.0,0.22333333333333333,Ketu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic)
2033-08-09,2034-07-11,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,3.2,3.28,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
