Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-07-18,2020-07-09,MD-AD,Mercury,Ketu,,Ketu,Mercury,4.45,5.7,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic)
2020-07-09,2023-04-25,MD-AD,Mercury,Venus,,Venus,Mercury,5.24,6.25,1,1.0,0.10666666666666666,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2023-04-25,2024-02-25,MD-AD,Mercury,Sun,,Sun,Mercury,5.66,5.1,2,1.0,0.65,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic)
2024-02-25,2025-07-19,MD-AD,Mercury,Moon,,Moon,Mercury,3.01,0.91,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2025-07-19,2026-07-11,MD-AD,Mercury,Mars,,Mars,Mercury,3.24,2.35,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2026-07-11,2029-01-14,MD-AD,Mercury,Rahu,,Rahu,Mercury,5.46,5.7,0,0.0,0.5733333333333334,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Rahu sub-period (malefic)
2029-01-14,2031-04-10,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.38,2.54,0,0.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2031-04-10,2033-12-04,MD-AD,Mercury,Saturn,,Saturn,Mercury,2.94,0.44,1,1.0,0.15,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2034-03-03,2034-07-28,MD-AD,Ketu,Ketu,,Ketu,Ketu,2.71,1.47,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2034-07-28,2035-09-21,MD-AD,Ketu,Venus,,Venus,Ketu,3.36,3.52,0,0.0,0.22333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2035-09-21,2036-01-25,MD-AD,Ketu,Sun,,Sun,Ketu,2.29,0.67,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2036-01-25,2036-08-22,MD-AD,Ketu,Moon,,Moon,Ketu,2.12,0.67,0,0.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2036-08-22,2037-01-16,MD-AD,Ketu,Mars,,Mars,Ketu,2.85,0.91,0,0.0,0.61875,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mars sub-period (malefic)
2037-01-16,2038-01-29,MD-AD,Ketu,Rahu,,Rahu,Ketu,1.73,0.57,0,0.0,0.06666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2038-01-29,2038-12-31,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,2.15,1.13,0,0.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2038-12-31,2040-02-03,MD-AD,Ketu,Saturn,,Saturn,Ketu,2.58,2.35,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2040-02-03,2041-01-25,MD-AD,Ketu,Mercury,,Mercury,Ketu,5.38,7.2,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2041-03-03,2044-06-15,MD-AD,Venus,Venus,,Venus,Venus,7.04,10.0,2,1.0,0.10666666666666666,Venus dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration
2044-06-15,2045-06-10,MD-AD,Venus,Sun,,Sun,Venus,4.22,4.58,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Sun sub-period (malefic)
2045-06-10,2047-01-31,MD-AD,Venus,Moon,,Moon,Venus,3.23,1.93,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2047-01-31,2048-03-26,MD-AD,Venus,Mars,,Mars,Venus,3.69,3.98,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2048-03-26,2051-03-11,MD-AD,Venus,Rahu,,Rahu,Venus,4.08,3.28,0,0.0,0.4625,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-period (malefic)
2051-03-11,2053-10-26,MD-AD,Venus,Jupiter,,Jupiter,Venus,3.0,1.47,0,0.0,0.06666666666666667,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2053-10-26,2056-12-09,MD-AD,Venus,Saturn,,Saturn,Venus,4.1,4.91,1,1.0,0.07333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2056-12-09,2059-09-25,MD-AD,Venus,Mercury,,Mercury,Venus,4.11,3.98,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2059-09-25,2060-11-18,MD-AD,Venus,Ketu,,Ketu,Venus,3.25,0.44,0,0.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2061-03-03,2061-06-19,MD-AD,Sun,Sun,,Sun,Sun,2.56,1.47,0,0.0,0.3458333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2061-06-19,2061-12-16,MD-AD,Sun,Moon,,Moon,Sun,3.95,3.97,1,1.0,0.38583333333333336,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2061-12-16,2062-04-21,MD-AD,Sun,Mars,,Mars,Sun,3.32,4.03,1,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2062-04-21,2063-03-11,MD-AD,Sun,Rahu,,Rahu,Sun,5.93,7.2,1,1.0,0.65,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2063-03-11,2063-12-24,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.84,1.47,0,0.0,0.3458333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2063-12-24,2064-11-30,MD-AD,Sun,Saturn,,Saturn,Sun,2.88,3.18,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
