Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-06-05,2020-07-04,MD-AD-PD,Mercury,Ketu,Mercury,Mercury,Ketu,4.49,5.7,1,1.0,0.03333333333333333,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
2020-07-09,2020-12-24,MD-AD-PD,Mercury,Ketu,Venus,Venus,Ketu,4.62,5.7,1,1.0,0.10666666666666666,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2020-12-24,2021-02-12,MD-AD-PD,Mercury,Venus,Sun,Sun,Venus,3.42,2.58,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2021-02-12,2021-05-07,MD-AD-PD,Mercury,Venus,Moon,Moon,Venus,2.85,1.07,0,0.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Moon sub-sub-period (benefic)
2021-05-07,2021-07-04,MD-AD-PD,Mercury,Venus,Mars,Mars,Venus,5.35,4.37,1,1.0,0.5733333333333334,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Mars sub-sub-period (malefic)
2021-07-04,2021-12-02,MD-AD-PD,Mercury,Venus,Rahu,Rahu,Venus,4.12,4.64,1,1.0,0.10666666666666666,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2021-12-02,2022-04-15,MD-AD-PD,Mercury,Venus,Jupiter,Jupiter,Venus,3.66,2.53,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2022-04-15,2022-09-21,MD-AD-PD,Mercury,Venus,Saturn,Saturn,Venus,4.88,4.07,1,1.0,0.65,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2022-09-21,2023-02-11,MD-AD-PD,Mercury,Venus,Mercury,Mercury,Venus,5.91,7.1,1,1.0,0.38583333333333336,Mercury dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2023-02-11,2023-04-10,MD-AD-PD,Mercury,Venus,Ketu,Ketu,Venus,3.39,2.89,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
