Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2018-10-26,2021-10-09,MD-AD,Venus,Rahu,,Rahu,Venus,4.18,1.23,1,1.0,0.5,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2021-10-09,2024-05-26,MD-AD,Venus,Jupiter,,Jupiter,Venus,3.69,2.1,1,1.0,0.07333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2024-05-26,2027-07-10,MD-AD,Venus,Saturn,,Saturn,Venus,5.29,7.19,1,1.0,0.10666666666666666,Venus dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2027-07-10,2030-04-25,MD-AD,Venus,Mercury,,Mercury,Venus,4.67,4.96,1,1.0,0.22333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2030-04-25,2031-06-19,MD-AD,Venus,Ketu,,Ketu,Venus,4.13,3.08,0,0.0,0.5333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2031-10-02,2032-01-18,MD-AD,Sun,Sun,,Sun,Sun,1.84,0.67,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2032-01-18,2032-07-16,MD-AD,Sun,Moon,,Moon,Sun,2.29,1.13,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Moon sub-period (benefic)
2032-07-16,2032-11-19,MD-AD,Sun,Mars,,Mars,Sun,2.33,1.47,0,0.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mars sub-period (malefic)
2032-11-19,2033-10-09,MD-AD,Sun,Rahu,,Rahu,Sun,3.53,4.4,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Rahu sub-period (malefic)
2033-10-09,2034-07-24,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.71,2.3,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2034-07-24,2035-07-01,MD-AD,Sun,Saturn,,Saturn,Sun,2.21,1.13,0,0.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2035-07-01,2036-05-03,MD-AD,Sun,Mercury,,Mercury,Sun,2.8,2.54,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mercury sub-period (benefic)
2036-05-03,2036-09-06,MD-AD,Sun,Ketu,,Ketu,Sun,5.78,7.2,0,0.0,0.8125,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong luminaries support; Ketu sub-period (malefic)
2036-09-06,2037-09-01,MD-AD,Sun,Venus,,Venus,Sun,5.38,6.66,0,0.0,0.5420833333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Venus sub-period (benefic)
2037-10-02,2038-07-29,MD-AD,Moon,Moon,,Moon,Moon,4.34,4.4,0,0.0,0.22333333333333333,Moon dasha (benefic); lord in moderate strength; challenging luminaries configuration
2038-07-29,2039-02-24,MD-AD,Moon,Mars,,Mars,Moon,4.64,4.4,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2039-02-24,2040-08-17,MD-AD,Moon,Rahu,,Rahu,Moon,3.2,1.37,1,1.0,0.10666666666666666,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
