Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-09-16,2021-03-04,MD-AD-PD,Venus,Rahu,Venus,Venus,Rahu,2.91,1.23,0,0.0,0.22333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Venus sub-sub-period (benefic)
2021-03-04,2021-04-26,MD-AD-PD,Venus,Rahu,Sun,Sun,Rahu,4.5,5.49,1,1.0,0.03333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Sun sub-sub-period (malefic)
2021-04-26,2021-07-24,MD-AD-PD,Venus,Rahu,Moon,Moon,Rahu,5.35,4.63,1,1.0,0.5733333333333334,Venus dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); Moon sub-sub-period (benefic)
2021-07-24,2021-09-24,MD-AD-PD,Venus,Rahu,Mars,Mars,Rahu,4.46,4.61,1,1.0,0.18333333333333332,Venus dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Mars sub-sub-period (malefic)
2021-10-09,2022-02-13,MD-AD-PD,Venus,Rahu,Jupiter,Jupiter,Rahu,4.4,4.5,1,1.0,0.07333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic)
2022-02-13,2022-07-12,MD-AD-PD,Venus,Jupiter,Saturn,Saturn,Jupiter,4.34,3.65,2,1.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic); Saturn sub-sub-period (malefic)
2022-07-12,2022-11-23,MD-AD-PD,Venus,Jupiter,Mercury,Mercury,Jupiter,5.31,6.25,1,1.0,0.14666666666666667,Venus dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic); Mercury sub-sub-period (benefic)
2022-11-23,2023-01-18,MD-AD-PD,Venus,Jupiter,Ketu,Ketu,Jupiter,3.47,2.5,0,0.0,0.15,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Ketu sub-sub-period (malefic)
2023-01-18,2023-06-24,MD-AD-PD,Venus,Jupiter,Venus,Venus,Jupiter,3.59,2.9,0,0.0,0.03333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Venus sub-sub-period (benefic)
2023-06-24,2023-08-11,MD-AD-PD,Venus,Jupiter,Sun,Sun,Jupiter,3.52,2.65,0,0.0,0.22333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Sun sub-sub-period (malefic)
