Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-05-11,2021-07-04,MD-AD,Ketu,Venus,,Venus,Ketu,4.35,2.9,2,1.0,0.5733333333333334,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Venus sub-period (benefic)
2021-07-04,2021-11-07,MD-AD,Ketu,Sun,,Sun,Ketu,5.21,7.9,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2021-11-07,2022-06-05,MD-AD,Ketu,Moon,,Moon,Ketu,5.43,7.9,1,1.0,0.07333333333333333,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2022-06-05,2022-10-30,MD-AD,Ketu,Mars,,Mars,Ketu,2.27,0.67,0,0.0,0.3458333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2022-10-30,2023-11-12,MD-AD,Ketu,Rahu,,Rahu,Ketu,1.78,0.67,0,0.0,0.07333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2023-11-12,2024-10-13,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,2.34,1.47,0,0.0,0.07333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2024-10-13,2025-11-16,MD-AD,Ketu,Saturn,,Saturn,Ketu,3.11,3.84,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2025-11-16,2026-11-08,MD-AD,Ketu,Mercury,,Mercury,Ketu,3.51,2.3,1,1.0,0.3,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2026-12-15,2030-03-29,MD-AD,Venus,Venus,,Venus,Venus,6.5,9.38,1,1.0,0.18333333333333332,Venus dasha (benefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration
2030-03-29,2031-03-24,MD-AD,Venus,Sun,,Sun,Venus,3.66,3.52,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2031-03-24,2032-11-13,MD-AD,Venus,Moon,,Moon,Venus,3.44,0.67,1,1.0,0.22333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2032-11-13,2034-01-07,MD-AD,Venus,Mars,,Mars,Venus,2.52,0.91,0,0.0,0.07333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2034-01-07,2036-12-22,MD-AD,Venus,Rahu,,Rahu,Venus,3.98,3.0,0,0.0,0.4625,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-period (malefic)
2036-12-22,2039-08-09,MD-AD,Venus,Jupiter,,Jupiter,Venus,2.88,0.57,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2039-08-09,2042-09-22,MD-AD,Venus,Saturn,,Saturn,Venus,3.48,1.55,1,1.0,0.22333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2042-09-22,2045-07-08,MD-AD,Venus,Mercury,,Mercury,Venus,5.77,7.88,0,0.0,0.14666666666666667,Venus dasha (benefic); lord in strong; challenging luminaries configuration; Mercury sub-period (benefic)
2045-07-08,2046-09-01,MD-AD,Venus,Ketu,,Ketu,Venus,2.95,1.93,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2046-12-15,2047-04-02,MD-AD,Sun,Sun,,Sun,Sun,3.53,4.4,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2047-04-02,2047-09-29,MD-AD,Sun,Moon,,Moon,Sun,2.75,1.47,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Moon sub-period (benefic)
2047-09-29,2048-02-02,MD-AD,Sun,Mars,,Mars,Sun,2.83,3.42,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mars sub-period (malefic)
2048-02-02,2048-12-22,MD-AD,Sun,Rahu,,Rahu,Sun,2.18,1.23,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Rahu sub-period (malefic)
2048-12-22,2049-10-06,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.93,1.13,0,0.0,0.4625,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2049-10-06,2050-09-13,MD-AD,Sun,Saturn,,Saturn,Sun,2.29,0.67,1,1.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2050-09-13,2051-07-17,MD-AD,Sun,Mercury,,Mercury,Sun,6.38,7.0,1,1.0,0.78125,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; strong luminaries support; Mercury sub-period (benefic)
2051-07-17,2051-11-20,MD-AD,Sun,Ketu,,Ketu,Sun,2.33,1.47,0,0.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Ketu sub-period (malefic)
2051-11-20,2052-11-14,MD-AD,Sun,Venus,,Venus,Sun,2.92,1.93,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Venus sub-period (benefic)
2052-12-15,2053-10-11,MD-AD,Moon,Moon,,Moon,Moon,3.83,3.0,0,0.0,0.22333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2053-10-11,2054-05-09,MD-AD,Moon,Mars,,Mars,Moon,3.74,3.52,0,0.0,0.22333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2054-05-09,2055-10-31,MD-AD,Moon,Rahu,,Rahu,Moon,7.64,7.1,2,1.0,1.0,Moon dasha (benefic); lord in strong; strong protective cancellations; strong luminaries support; Rahu sub-period (malefic)
2055-10-31,2057-02-22,MD-AD,Moon,Jupiter,,Jupiter,Moon,4.83,4.91,2,1.0,0.07333333333333333,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
2057-02-22,2058-09-15,MD-AD,Moon,Saturn,,Saturn,Moon,3.54,1.93,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2058-09-15,2060-02-07,MD-AD,Moon,Mercury,,Mercury,Moon,7.14,6.08,4,1.0,0.61875,Moon dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Mercury sub-period (benefic)
2060-02-07,2060-09-04,MD-AD,Moon,Ketu,,Ketu,Moon,3.04,1.13,1,1.0,0.06666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
