Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-12-16,2026-12-15,MD,Ketu,,,Ketu,,3.22,1.4666666666666668,1,1.0,0.4625,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence
2020-05-11,2021-07-04,MD-AD,Ketu,Venus,,Venus,Ketu,4.35,2.9,2,1.0,0.5733333333333334,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Venus sub-period (benefic)
2020-07-22,2020-08-08,MD-AD-PD,Ketu,Venus,Sun,Sun,Venus,3.86,2.9,1,1.0,0.3,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2020-08-08,2020-09-12,MD-AD-PD,Ketu,Venus,Moon,Moon,Venus,4.21,4.12,1,1.0,0.22333333333333333,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Moon sub-sub-period (benefic)
2020-09-12,2020-10-06,MD-AD-PD,Ketu,Venus,Mars,Mars,Venus,5.42,4.51,3,1.0,0.61875,Ketu dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Mars sub-sub-period (malefic)
2020-10-06,2020-12-07,MD-AD-PD,Ketu,Venus,Rahu,Rahu,Venus,6.62,7.44,3,1.0,0.5733333333333334,Ketu dasha (malefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2020-12-07,2021-01-31,MD-AD-PD,Ketu,Venus,Jupiter,Jupiter,Venus,6.04,7.81,1,1.0,0.3,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2021-01-31,2021-04-07,MD-AD-PD,Ketu,Venus,Saturn,Saturn,Venus,5.19,6.69,2,1.0,0.18333333333333332,Ketu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2021-04-07,2021-06-04,MD-AD-PD,Ketu,Venus,Mercury,Mercury,Venus,6.35,8.0,2,1.0,0.18333333333333332,Ketu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2021-06-04,2021-06-28,MD-AD-PD,Ketu,Venus,Ketu,Ketu,Venus,5.64,8.32,2,1.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
2021-07-04,2021-11-07,MD-AD,Ketu,Sun,,Sun,Ketu,5.21,7.9,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2021-07-04,2021-07-11,MD-AD-PD,Ketu,Venus,Sun,Sun,Venus,4.73,6.04,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic)
