Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-08-13,2020-08-29,MD-AD-PD,Moon,Mercury,Sun,Sun,Mercury,6.73,6.32,2,1.0,0.65,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
2020-08-29,2020-10-10,MD-AD-PD,Moon,Mercury,Moon,Moon,Mercury,3.81,1.55,0,0.0,0.5020833333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic); Moon sub-sub-period (benefic)
2020-10-10,2020-11-08,MD-AD-PD,Moon,Mercury,Mars,Mars,Mercury,5.45,5.33,1,1.0,0.38583333333333336,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Mars sub-sub-period (malefic)
2020-11-08,2021-01-23,MD-AD-PD,Moon,Mercury,Rahu,Rahu,Mercury,5.81,6.45,2,1.0,0.3125,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Rahu sub-sub-period (malefic)
2021-01-23,2021-03-31,MD-AD-PD,Moon,Mercury,Jupiter,Jupiter,Mercury,7.01,5.9,3,1.0,0.5333333333333333,Moon dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2021-03-31,2021-06-18,MD-AD-PD,Moon,Mercury,Saturn,Saturn,Mercury,4.45,2.48,3,1.0,0.22333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2021-06-26,2021-07-08,MD-AD-PD,Moon,Mercury,Ketu,Ketu,Mercury,4.15,3.49,2,1.0,0.10666666666666666,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2021-07-08,2021-08-11,MD-AD-PD,Moon,Ketu,Venus,Venus,Ketu,4.5,4.03,1,1.0,0.22333333333333333,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2021-08-11,2021-08-21,MD-AD-PD,Moon,Ketu,Sun,Sun,Ketu,5.19,6.08,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
2021-08-21,2021-09-08,MD-AD-PD,Moon,Ketu,Moon,Moon,Ketu,5.0,4.03,1,1.0,0.5020833333333333,Moon dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2021-09-08,2021-09-20,MD-AD-PD,Moon,Ketu,Mars,Mars,Ketu,5.39,3.8,2,1.0,0.61875,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2021-09-20,2021-10-21,MD-AD-PD,Moon,Ketu,Rahu,Rahu,Ketu,5.26,5.73,3,1.0,0.10666666666666666,Moon dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2021-10-21,2021-11-17,MD-AD-PD,Moon,Ketu,Jupiter,Jupiter,Ketu,4.3,3.17,2,1.0,0.03333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-11-17,2021-12-20,MD-AD-PD,Moon,Ketu,Saturn,Saturn,Ketu,4.47,4.42,2,1.0,0.18333333333333332,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
2021-12-20,2022-01-19,MD-AD-PD,Moon,Ketu,Mercury,Mercury,Ketu,4.75,4.33,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
2022-01-22,2022-04-30,MD-AD-PD,Moon,Ketu,Venus,Venus,Ketu,4.54,4.33,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2022-04-30,2022-05-30,MD-AD-PD,Moon,Venus,Sun,Sun,Venus,5.86,5.73,2,1.0,0.5333333333333333,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2022-05-30,2022-07-18,MD-AD-PD,Moon,Venus,Moon,Moon,Venus,7.37,7.9,3,1.0,0.5333333333333333,Moon dasha (benefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Moon sub-sub-period (benefic)
2022-07-18,2022-08-21,MD-AD-PD,Moon,Venus,Mars,Mars,Venus,3.92,3.53,1,1.0,0.22333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Mars sub-sub-period (malefic)
2022-08-21,2022-11-18,MD-AD-PD,Moon,Venus,Rahu,Rahu,Venus,4.7,2.71,1,1.0,0.61875,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2022-11-18,2023-02-05,MD-AD-PD,Moon,Venus,Jupiter,Jupiter,Venus,4.29,3.65,1,1.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2023-02-05,2023-05-10,MD-AD-PD,Moon,Venus,Saturn,Saturn,Venus,5.05,5.44,1,1.0,0.3458333333333333,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2023-05-10,2023-08-01,MD-AD-PD,Moon,Venus,Mercury,Mercury,Venus,5.06,3.42,1,1.0,0.5733333333333334,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2023-08-01,2023-09-05,MD-AD-PD,Moon,Venus,Ketu,Ketu,Venus,3.02,1.47,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
2023-09-14,2023-09-22,MD-AD-PD,Moon,Venus,Sun,Sun,Venus,4.99,4.51,1,1.0,0.61875,Moon dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2023-09-22,2023-10-07,MD-AD-PD,Moon,Sun,Moon,Moon,Sun,2.82,1.37,0,0.0,0.14666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2023-10-07,2023-10-18,MD-AD-PD,Moon,Sun,Mars,Mars,Sun,4.66,3.93,1,1.0,0.38583333333333336,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Mars sub-sub-period (malefic)
2023-10-18,2023-11-13,MD-AD-PD,Moon,Sun,Rahu,Rahu,Sun,2.35,0.07,1,1.0,0.0,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Rahu sub-sub-period (malefic)
2023-11-13,2023-12-07,MD-AD-PD,Moon,Sun,Jupiter,Jupiter,Sun,2.84,1.79,0,0.0,0.07333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Jupiter sub-sub-period (benefic)
2023-12-07,2024-01-04,MD-AD-PD,Moon,Sun,Saturn,Saturn,Sun,4.13,4.51,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Saturn sub-sub-period (malefic)
2024-01-04,2024-01-29,MD-AD-PD,Moon,Sun,Mercury,Mercury,Sun,3.6,2.77,0,0.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Mercury sub-sub-period (benefic)
2024-01-29,2024-02-08,MD-AD-PD,Moon,Sun,Ketu,Ketu,Sun,2.73,1.47,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
