Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-02-01,2021-06-26,MD-AD,Moon,Mercury,,Mercury,Moon,5.15,7.44,0,0.0,0.06666666666666667,Moon dasha (benefic); lord in strong; challenging luminaries configuration; Mercury sub-period (benefic)
2021-06-26,2022-01-22,MD-AD,Moon,Ketu,,Ketu,Moon,4.29,4.03,2,1.0,0.10666666666666666,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic)
2022-01-22,2023-09-14,MD-AD,Moon,Venus,,Venus,Moon,3.82,1.93,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2023-09-14,2024-03-12,MD-AD,Moon,Sun,,Sun,Moon,4.7,3.84,1,1.0,0.61875,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2024-05-03,2024-09-27,MD-AD,Mars,Mars,,Mars,Mars,4.4,4.4,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence
2024-09-27,2025-10-10,MD-AD,Mars,Rahu,,Rahu,Mars,3.24,1.93,1,1.0,0.38583333333333336,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2025-10-10,2026-09-11,MD-AD,Mars,Jupiter,,Jupiter,Mars,4.54,2.54,2,1.0,0.5733333333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Jupiter sub-period (benefic)
2026-09-11,2027-10-15,MD-AD,Mars,Saturn,,Saturn,Mars,3.41,1.23,1,1.0,0.61875,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2027-10-15,2028-10-06,MD-AD,Mars,Mercury,,Mercury,Mars,4.0,4.82,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic)
2028-10-06,2029-03-02,MD-AD,Mars,Ketu,,Ketu,Mars,2.21,0.44,1,1.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2029-03-02,2030-04-26,MD-AD,Mars,Venus,,Venus,Mars,2.57,1.55,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2030-04-26,2030-08-30,MD-AD,Mars,Sun,,Sun,Mars,6.26,9.56,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2030-08-30,2031-03-28,MD-AD,Mars,Moon,,Moon,Mars,3.28,1.32,0,0.0,0.61875,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic)
2031-05-04,2033-12-31,MD-AD,Rahu,Rahu,,Rahu,Rahu,3.48,0.0,2,1.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence
2033-12-31,2036-05-13,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,2.26,0.67,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2036-05-13,2039-03-05,MD-AD,Rahu,Saturn,,Saturn,Rahu,3.01,0.33,1,1.0,0.5733333333333334,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2039-03-05,2041-09-08,MD-AD,Rahu,Mercury,,Mercury,Rahu,2.84,2.3,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2041-09-08,2042-09-21,MD-AD,Rahu,Ketu,,Ketu,Rahu,3.29,1.47,1,1.0,0.5020833333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic)
2042-09-21,2045-09-05,MD-AD,Rahu,Venus,,Venus,Rahu,3.59,3.28,2,1.0,0.07333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic)
2045-09-05,2046-07-26,MD-AD,Rahu,Sun,,Sun,Rahu,4.77,5.89,1,1.0,0.61875,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2046-07-26,2048-01-17,MD-AD,Rahu,Moon,,Moon,Rahu,3.16,3.18,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
