Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2021-10-25,2021-11-01,MD-AD-PD,Mars,Ketu,Rahu,Rahu,Ketu,4.24,6.5,1,1.0,0.15,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2021-11-01,2021-11-21,MD-AD-PD,Mars,Ketu,Jupiter,Jupiter,Ketu,3.62,4.5,0,0.0,0.15,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-11-21,2021-12-14,MD-AD-PD,Mars,Ketu,Saturn,Saturn,Ketu,5.32,5.75,2,1.0,0.65,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
2021-12-14,2022-01-03,MD-AD-PD,Mars,Ketu,Mercury,Mercury,Ketu,4.71,6.72,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
2022-01-05,2022-03-15,MD-AD-PD,Mars,Ketu,Venus,Venus,Ketu,4.71,6.72,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2022-03-15,2022-04-05,MD-AD-PD,Mars,Venus,Sun,Sun,Venus,5.26,5.73,1,1.0,0.4625,Mars dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2022-04-05,2022-05-10,MD-AD-PD,Mars,Venus,Moon,Moon,Venus,7.26,8.32,3,1.0,0.65,Mars dasha (malefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Moon sub-sub-period (benefic)
2022-05-10,2022-06-03,MD-AD-PD,Mars,Venus,Mars,Mars,Venus,5.28,5.1,1,1.0,0.65,Mars dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Mars sub-sub-period (malefic)
2022-06-03,2022-08-04,MD-AD-PD,Mars,Venus,Rahu,Rahu,Venus,3.01,1.93,0,0.0,0.3458333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2022-08-04,2022-09-28,MD-AD-PD,Mars,Venus,Jupiter,Jupiter,Venus,5.21,7.26,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2022-09-28,2022-12-03,MD-AD-PD,Mars,Venus,Saturn,Saturn,Venus,3.51,1.58,3,1.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2022-12-03,2023-01-30,MD-AD-PD,Mars,Venus,Mercury,Mercury,Venus,2.52,0.67,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2023-01-30,2023-02-23,MD-AD-PD,Mars,Venus,Ketu,Ketu,Venus,4.14,2.89,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
2023-03-01,2023-03-08,MD-AD-PD,Mars,Venus,Sun,Sun,Venus,3.79,4.57,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2023-03-08,2023-03-18,MD-AD-PD,Mars,Sun,Moon,Moon,Sun,2.6,1.89,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2023-03-18,2023-03-25,MD-AD-PD,Mars,Sun,Mars,Mars,Sun,2.26,1.47,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Mars sub-sub-period (malefic)
2023-03-25,2023-04-13,MD-AD-PD,Mars,Sun,Rahu,Rahu,Sun,2.26,1.47,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Rahu sub-sub-period (malefic)
2023-04-13,2023-04-29,MD-AD-PD,Mars,Sun,Jupiter,Jupiter,Sun,2.88,2.42,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Jupiter sub-sub-period (benefic)
2023-04-29,2023-05-19,MD-AD-PD,Mars,Sun,Saturn,Saturn,Sun,5.27,5.61,2,1.0,0.65,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Saturn sub-sub-period (malefic)
2023-05-19,2023-06-06,MD-AD-PD,Mars,Sun,Mercury,Mercury,Sun,3.38,1.04,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic); Mercury sub-sub-period (benefic)
2023-06-06,2023-06-13,MD-AD-PD,Mars,Sun,Ketu,Ketu,Sun,1.86,0.73,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
2023-06-13,2023-07-04,MD-AD-PD,Mars,Sun,Venus,Venus,Sun,1.98,0.73,0,0.0,0.06666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2023-07-05,2023-07-23,MD-AD-PD,Mars,Sun,Moon,Moon,Sun,2.76,2.69,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2023-07-23,2023-08-04,MD-AD-PD,Mars,Moon,Mars,Mars,Moon,3.81,4.4,0,0.0,0.3,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2023-08-04,2023-09-04,MD-AD-PD,Mars,Moon,Rahu,Rahu,Moon,2.87,2.37,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Rahu sub-sub-period (malefic)
2023-09-04,2023-10-01,MD-AD-PD,Mars,Moon,Jupiter,Jupiter,Moon,3.19,1.13,0,0.0,0.5020833333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic); Jupiter sub-sub-period (benefic)
2023-10-01,2023-11-03,MD-AD-PD,Mars,Moon,Saturn,Saturn,Moon,2.94,2.71,1,1.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Saturn sub-sub-period (malefic)
2023-11-03,2023-12-02,MD-AD-PD,Mars,Moon,Mercury,Mercury,Moon,3.16,2.82,0,0.0,0.15,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Mercury sub-sub-period (benefic)
2023-12-02,2023-12-14,MD-AD-PD,Mars,Moon,Ketu,Ketu,Moon,4.79,5.29,0,0.0,0.4625,Mars dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Moon sub-period (benefic); Ketu sub-sub-period (malefic)
2023-12-14,2024-01-18,MD-AD-PD,Mars,Moon,Venus,Venus,Moon,4.47,5.2,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Venus sub-sub-period (benefic)
2024-01-18,2024-01-28,MD-AD-PD,Mars,Moon,Sun,Sun,Moon,2.21,1.13,0,0.0,0.06666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Sun sub-sub-period (malefic)
2024-03-08,2024-07-30,MD-AD-PD,Mars,Rahu,Rahu,Rahu,Rahu,4.09,6.5,0,0.0,0.06666666666666667,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic); Rahu sub-sub-period (malefic)
2024-07-30,2024-12-04,MD-AD-PD,Rahu,Rahu,Jupiter,Jupiter,Rahu,4.18,2.69,1,1.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-sub-period (benefic)
2024-12-04,2025-05-05,MD-AD-PD,Rahu,Rahu,Saturn,Saturn,Rahu,3.44,4.28,1,1.0,0.22333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Saturn sub-sub-period (malefic)
2025-05-05,2025-09-18,MD-AD-PD,Rahu,Rahu,Mercury,Mercury,Rahu,4.07,2.4,1,1.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-sub-period (benefic)
