Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2021-08-11,2022-01-05,MD-AD,Mars,Ketu,,Ketu,Mars,3.91,5.1,1,1.0,0.3,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2022-01-05,2023-03-01,MD-AD,Mars,Venus,,Venus,Mars,4.24,5.28,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Venus sub-period (benefic)
2023-03-01,2023-07-05,MD-AD,Mars,Sun,,Sun,Mars,2.52,2.2,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2023-07-05,2024-01-31,MD-AD,Mars,Moon,,Moon,Mars,3.15,3.52,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2024-03-08,2026-11-05,MD-AD,Rahu,Rahu,,Rahu,Rahu,2.6,3.0,0,0.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2026-11-05,2029-03-18,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,3.99,4.4,1,1.0,0.15,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2029-03-18,2032-01-08,MD-AD,Rahu,Saturn,,Saturn,Rahu,2.49,2.1,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2032-01-08,2034-07-14,MD-AD,Rahu,Mercury,,Mercury,Rahu,3.27,3.28,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2034-07-14,2035-07-27,MD-AD,Rahu,Ketu,,Ketu,Rahu,2.72,2.54,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2035-07-27,2038-07-11,MD-AD,Rahu,Venus,,Venus,Rahu,2.54,1.47,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2038-07-11,2039-05-31,MD-AD,Rahu,Sun,,Sun,Rahu,3.2,3.0,1,1.0,0.14666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2039-05-31,2040-11-21,MD-AD,Rahu,Moon,,Moon,Rahu,5.78,8.32,1,1.0,0.18333333333333332,Rahu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2040-11-21,2041-12-04,MD-AD,Rahu,Mars,,Mars,Rahu,2.83,2.11,1,1.0,0.3,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2042-03-08,2044-04-14,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.66,1.47,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2044-04-14,2046-10-13,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,3.25,0.44,0,0.0,0.5733333333333334,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-period (malefic)
2046-10-13,2049-01-06,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,4.98,5.7,0,0.0,0.14666666666666667,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic)
2049-01-06,2049-12-08,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,2.77,1.03,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2049-12-08,2052-07-25,MD-AD,Jupiter,Venus,,Venus,Jupiter,7.13,7.9,1,1.0,0.65,Jupiter dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2052-07-25,2053-05-09,MD-AD,Jupiter,Sun,,Sun,Jupiter,3.43,1.47,0,0.0,0.4625,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Sun sub-period (malefic)
2053-05-09,2054-09-01,MD-AD,Jupiter,Moon,,Moon,Jupiter,3.55,0.67,0,0.0,0.5333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic)
2054-09-01,2055-08-03,MD-AD,Jupiter,Mars,,Mars,Jupiter,4.77,1.93,2,1.0,0.61875,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic)
2055-08-03,2057-12-14,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,5.18,6.66,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic)
2058-03-08,2061-02-23,MD-AD,Saturn,Saturn,,Saturn,Saturn,1.73,0.0,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2061-02-23,2063-10-20,MD-AD,Saturn,Mercury,,Mercury,Saturn,3.06,3.28,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2063-10-20,2064-11-22,MD-AD,Saturn,Ketu,,Ketu,Saturn,2.37,1.93,0,0.0,0.15,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2064-11-22,2068-01-06,MD-AD,Saturn,Venus,,Venus,Saturn,2.71,1.93,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2068-01-06,2068-12-13,MD-AD,Saturn,Sun,,Sun,Saturn,1.97,0.67,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2068-12-13,2070-07-06,MD-AD,Saturn,Moon,,Moon,Saturn,4.44,4.96,1,1.0,0.4625,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic)
2070-07-06,2071-08-09,MD-AD,Saturn,Mars,,Mars,Saturn,4.02,4.4,0,0.0,0.5733333333333334,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Mars sub-period (malefic)
2071-08-09,2074-05-31,MD-AD,Saturn,Rahu,,Rahu,Saturn,5.35,7.9,1,1.0,0.18333333333333332,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2074-05-31,2076-11-28,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,4.35,4.03,2,1.0,0.3458333333333333,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
2077-03-08,2079-07-23,MD-AD,Mercury,Mercury,,Mercury,Mercury,2.68,0.0,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2079-07-23,2080-07-14,MD-AD,Mercury,Ketu,,Ketu,Mercury,5.73,4.82,1,1.0,0.65,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic)
2080-07-14,2083-04-30,MD-AD,Mercury,Venus,,Venus,Mercury,5.43,4.82,0,0.0,0.5733333333333334,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Venus sub-period (benefic)
2083-04-30,2084-03-01,MD-AD,Mercury,Sun,,Sun,Mercury,4.45,3.0,1,1.0,0.65,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2084-03-01,2085-07-24,MD-AD,Mercury,Moon,,Moon,Mercury,2.61,0.2,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2085-07-24,2086-07-16,MD-AD,Mercury,Mars,,Mars,Mercury,5.42,5.7,1,1.0,0.3,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2086-07-16,2089-01-19,MD-AD,Mercury,Rahu,,Rahu,Mercury,4.81,4.38,1,1.0,0.22333333333333333,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2089-01-19,2091-04-15,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.26,2.2,0,0.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2091-04-15,2093-12-09,MD-AD,Mercury,Saturn,,Saturn,Mercury,3.5,1.32,0,0.0,0.5333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-period (malefic)
2094-03-08,2094-08-02,MD-AD,Ketu,Ketu,,Ketu,Ketu,3.05,4.4,0,0.0,0.03333333333333333,Ketu dasha (malefic); lord in moderate strength; challenging luminaries configuration
2094-08-02,2095-09-26,MD-AD,Ketu,Venus,,Venus,Ketu,2.86,2.35,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2095-09-26,2096-01-30,MD-AD,Ketu,Sun,,Sun,Ketu,4.97,7.9,0,0.0,0.22333333333333333,Ketu dasha (malefic); lord in strong; challenging luminaries configuration; Sun sub-period (malefic)
2096-01-30,2096-08-27,MD-AD,Ketu,Moon,,Moon,Ketu,5.04,7.9,0,0.0,0.10666666666666666,Ketu dasha (malefic); lord in strong; challenging luminaries configuration; Moon sub-period (benefic)
2096-08-27,2097-01-21,MD-AD,Ketu,Mars,,Mars,Ketu,6.01,8.32,1,1.0,0.46875,Ketu dasha (malefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2097-01-21,2098-02-03,MD-AD,Ketu,Rahu,,Rahu,Ketu,1.65,0.33,0,0.0,0.06666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2098-02-03,2099-01-05,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,3.84,4.03,2,1.0,0.06666666666666667,Ketu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
2099-01-05,2100-02-08,MD-AD,Ketu,Saturn,,Saturn,Ketu,2.79,2.35,0,0.0,0.3,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2100-02-08,2101-01-31,MD-AD,Ketu,Mercury,,Mercury,Ketu,2.5,0.67,1,1.0,0.06666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2101-03-09,2104-06-21,MD-AD,Venus,Venus,,Venus,Venus,3.66,1.47,1,1.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2104-06-21,2105-06-16,MD-AD,Venus,Sun,,Sun,Venus,3.54,1.23,0,0.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Sun sub-period (malefic)
2105-06-16,2107-02-06,MD-AD,Venus,Moon,,Moon,Venus,4.02,2.34,1,1.0,0.38583333333333336,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2107-02-06,2108-04-01,MD-AD,Venus,Mars,,Mars,Venus,3.18,1.37,0,0.0,0.3458333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
