Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-08-18,2022-12-30,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,7.23,9.56,0,0.0,0.78125,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong luminaries support; Rahu sub-period (malefic)
2023-03-24,2026-03-11,MD-AD,Saturn,Saturn,,Saturn,Saturn,5.56,9.38,1,1.0,0.18333333333333332,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration
2026-03-11,2028-11-04,MD-AD,Saturn,Mercury,,Mercury,Saturn,3.41,3.0,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2028-11-04,2029-12-08,MD-AD,Saturn,Ketu,,Ketu,Saturn,2.79,0.1,1,1.0,0.5,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic)
2029-12-08,2033-01-21,MD-AD,Saturn,Venus,,Venus,Saturn,2.34,0.9,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2033-01-21,2033-12-29,MD-AD,Saturn,Sun,,Sun,Saturn,2.14,1.13,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2033-12-29,2035-07-22,MD-AD,Saturn,Moon,,Moon,Saturn,2.78,1.93,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2035-07-22,2036-08-24,MD-AD,Saturn,Mars,,Mars,Saturn,2.29,1.55,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2036-08-24,2039-06-16,MD-AD,Saturn,Rahu,,Rahu,Saturn,3.05,1.47,0,0.0,0.61875,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-period (malefic)
2039-06-16,2041-12-14,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,2.72,2.35,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2042-03-24,2044-08-07,MD-AD,Mercury,Mercury,,Mercury,Mercury,3.13,0.0,1,1.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2044-08-07,2045-07-30,MD-AD,Mercury,Ketu,,Ketu,Mercury,4.28,3.98,1,1.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2045-07-30,2048-05-15,MD-AD,Mercury,Venus,,Venus,Mercury,2.92,0.67,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2048-05-15,2049-03-17,MD-AD,Mercury,Sun,,Sun,Mercury,2.8,1.13,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2049-03-17,2050-08-09,MD-AD,Mercury,Moon,,Moon,Mercury,4.25,2.54,1,1.0,0.3,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2050-08-09,2051-08-01,MD-AD,Mercury,Mars,,Mars,Mercury,5.17,6.08,2,1.0,0.18333333333333332,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2051-08-01,2054-02-04,MD-AD,Mercury,Rahu,,Rahu,Mercury,4.53,2.35,1,1.0,0.65,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2054-02-04,2056-04-30,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.18,1.79,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2056-04-30,2058-12-25,MD-AD,Mercury,Saturn,,Saturn,Mercury,4.05,3.0,0,0.0,0.5,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-period (malefic)
2059-03-24,2059-08-18,MD-AD,Ketu,Ketu,,Ketu,Ketu,6.74,10.0,2,1.0,0.4625,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence
2059-08-18,2060-10-11,MD-AD,Ketu,Venus,,Venus,Ketu,2.94,1.13,0,0.0,0.46875,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic)
2060-10-11,2061-02-14,MD-AD,Ketu,Sun,,Sun,Ketu,2.04,1.23,0,0.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2061-02-14,2061-09-12,MD-AD,Ketu,Moon,,Moon,Ketu,2.12,1.03,0,0.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2061-09-12,2062-02-06,MD-AD,Ketu,Mars,,Mars,Ketu,4.31,2.11,3,1.0,0.61875,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Mars sub-period (malefic)
2062-02-06,2063-02-19,MD-AD,Ketu,Rahu,,Rahu,Ketu,2.21,0.43,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2063-02-19,2064-01-21,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,2.53,0.91,1,1.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2064-01-21,2065-02-23,MD-AD,Ketu,Saturn,,Saturn,Ketu,1.73,0.57,0,0.0,0.06666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2065-02-23,2066-02-15,MD-AD,Ketu,Mercury,,Mercury,Ketu,3.3,2.3,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2066-03-24,2069-07-06,MD-AD,Venus,Venus,,Venus,Venus,3.76,3.0,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2069-07-06,2070-07-01,MD-AD,Venus,Sun,,Sun,Venus,2.67,1.13,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2070-07-01,2072-02-21,MD-AD,Venus,Moon,,Moon,Venus,4.82,5.28,0,0.0,0.14666666666666667,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Moon sub-period (benefic)
2072-02-21,2073-04-16,MD-AD,Venus,Mars,,Mars,Venus,3.98,3.52,1,1.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
