Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-08-18,2022-12-30,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,5.46,5.0,1,1.0,1.0,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; strong luminaries support; Rahu sub-period (malefic)
2023-03-24,2026-03-11,MD-AD,Saturn,Saturn,,Saturn,Saturn,6.8,10.0,2,1.0,0.5,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence
2026-03-11,2028-11-04,MD-AD,Saturn,Mercury,,Mercury,Saturn,5.95,5.0,2,1.0,0.5,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Mercury sub-period (benefic)
2028-11-04,2029-12-08,MD-AD,Saturn,Ketu,,Ketu,Saturn,4.2,5.0,0,0.0,0.55,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Ketu sub-period (malefic)
2029-12-08,2033-01-21,MD-AD,Saturn,Venus,,Venus,Saturn,5.05,5.0,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Venus sub-period (benefic)
2033-01-21,2033-12-29,MD-AD,Saturn,Sun,,Sun,Saturn,4.1,5.0,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Sun sub-period (malefic)
2033-12-29,2035-07-22,MD-AD,Saturn,Moon,,Moon,Saturn,5.05,5.0,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Moon sub-period (benefic)
2035-07-22,2036-08-24,MD-AD,Saturn,Mars,,Mars,Saturn,4.1,5.0,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Mars sub-period (malefic)
2036-08-24,2039-06-16,MD-AD,Saturn,Rahu,,Rahu,Saturn,4.55,5.0,0,0.0,0.75,Saturn dasha (malefic); lord in moderate strength; strong luminaries support; Rahu sub-period (malefic)
2039-06-16,2041-12-14,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,5.95,5.0,2,1.0,0.5,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Jupiter sub-period (benefic)
2042-03-24,2044-08-07,MD-AD,Mercury,Mercury,,Mercury,Mercury,4.51,1.0,2,1.0,0.5,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence
2044-08-07,2045-07-30,MD-AD,Mercury,Ketu,,Ketu,Mercury,4.1,5.0,0,0.0,0.5,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Ketu sub-period (malefic)
2045-07-30,2048-05-15,MD-AD,Mercury,Venus,,Venus,Mercury,5.05,5.0,0,0.0,0.5,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Venus sub-period (benefic)
2048-05-15,2049-03-17,MD-AD,Mercury,Sun,,Sun,Mercury,4.1,5.0,0,0.0,0.5,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Sun sub-period (malefic)
2049-03-17,2050-08-09,MD-AD,Mercury,Moon,,Moon,Mercury,5.95,5.0,2,1.0,0.5,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Moon sub-period (benefic)
2050-08-09,2051-08-01,MD-AD,Mercury,Mars,,Mars,Mercury,6.8,10.0,2,1.0,0.5,Mercury dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic)
2051-08-01,2054-02-04,MD-AD,Mercury,Rahu,,Rahu,Mercury,4.55,5.0,0,0.0,0.75,Mercury dasha (benefic); lord in moderate strength; strong luminaries support; Rahu sub-period (malefic)
2054-02-04,2056-04-30,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,5.05,5.0,0,0.0,0.5,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Jupiter sub-period (benefic)
2056-04-30,2058-12-25,MD-AD,Mercury,Saturn,,Saturn,Mercury,4.2,5.0,0,0.0,0.55,Mercury dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Saturn sub-period (malefic)
2059-03-24,2059-08-18,MD-AD,Ketu,Ketu,,Ketu,Ketu,7.26,10.0,2,1.0,0.75,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; strong luminaries support
2059-08-18,2060-10-11,MD-AD,Ketu,Venus,,Venus,Ketu,5.14,5.0,0,0.0,0.55,Ketu dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Venus sub-period (benefic)
2060-10-11,2061-02-14,MD-AD,Ketu,Sun,,Sun,Ketu,4.1,5.0,0,0.0,0.5,Ketu dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Sun sub-period (malefic)
2061-02-14,2061-09-12,MD-AD,Ketu,Moon,,Moon,Ketu,3.25,1.0,0,0.0,0.3,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2061-09-12,2062-02-06,MD-AD,Ketu,Mars,,Mars,Ketu,7.71,10.0,3,1.0,0.75,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; strong luminaries support; Mars sub-period (malefic)
2062-02-06,2063-02-19,MD-AD,Ketu,Rahu,,Rahu,Ketu,4.55,5.0,1,1.0,0.5,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2063-02-19,2064-01-21,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,5.59,5.0,2,1.0,0.3,Ketu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
2064-01-21,2065-02-23,MD-AD,Ketu,Saturn,,Saturn,Ketu,4.1,5.0,0,0.0,0.5,Ketu dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Saturn sub-period (malefic)
2065-02-23,2066-02-15,MD-AD,Ketu,Mercury,,Mercury,Ketu,5.95,5.0,2,1.0,0.5,Ketu dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Mercury sub-period (benefic)
2066-03-24,2069-07-06,MD-AD,Venus,Venus,,Venus,Venus,5.05,5.0,0,0.0,0.5,Venus dasha (benefic); lord in moderate strength; balanced solar-lunar influence
2069-07-06,2070-07-01,MD-AD,Venus,Sun,,Sun,Venus,4.55,5.0,1,1.0,0.5,Venus dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2070-07-01,2072-02-21,MD-AD,Venus,Moon,,Moon,Venus,5.05,5.0,0,0.0,0.5,Venus dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Moon sub-period (benefic)
2072-02-21,2073-04-16,MD-AD,Venus,Mars,,Mars,Venus,4.1,5.0,0,0.0,0.5,Venus dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Mars sub-period (malefic)
2073-04-16,2076-03-31,MD-AD,Venus,Rahu,,Rahu,Venus,5.0,5.0,0,0.0,1.0,Venus dasha (benefic); lord in moderate strength; strong luminaries support; Rahu sub-period (malefic)
2076-03-31,2078-11-16,MD-AD,Venus,Jupiter,,Jupiter,Venus,5.05,5.0,0,0.0,0.5,Venus dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Jupiter sub-period (benefic)
2078-11-16,2081-12-30,MD-AD,Venus,Saturn,,Saturn,Venus,3.75,5.0,0,0.0,0.3,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Saturn sub-period (malefic)
