Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-09-30,2020-12-24,MD-AD-PD,Jupiter,Rahu,Rahu,Rahu,Rahu,7.26,10.0,3,1.0,0.5,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Rahu sub-period (malefic)
2020-12-24,2021-04-17,MD-AD-PD,Jupiter,Rahu,Jupiter,Jupiter,Rahu,4.06,1.0,1,1.0,0.5,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2021-04-17,2021-08-29,MD-AD-PD,Jupiter,Rahu,Saturn,Saturn,Rahu,7.26,10.0,2,1.0,0.75,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; strong luminaries support; Rahu sub-period (malefic); Saturn sub-sub-period (malefic)
2021-08-29,2021-12-28,MD-AD-PD,Jupiter,Rahu,Mercury,Mercury,Rahu,9.1,10.0,3,1.0,1.0,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; strong luminaries support; Rahu sub-period (malefic); Mercury sub-sub-period (benefic)
2021-12-28,2022-02-16,MD-AD-PD,Jupiter,Rahu,Ketu,Ketu,Rahu,6.8,10.0,2,1.0,0.5,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Ketu sub-sub-period (malefic)
2022-02-16,2022-07-08,MD-AD-PD,Jupiter,Rahu,Venus,Venus,Rahu,5.5,5.0,1,1.0,0.5,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); Venus sub-sub-period (benefic)
2022-07-08,2022-08-19,MD-AD-PD,Jupiter,Rahu,Sun,Sun,Rahu,5.0,5.0,2,1.0,0.5,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Sun sub-sub-period (malefic)
2022-08-19,2022-10-29,MD-AD-PD,Jupiter,Rahu,Moon,Moon,Rahu,8.65,10.0,2,1.0,1.0,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; strong luminaries support; Rahu sub-period (malefic); Moon sub-sub-period (benefic)
2022-10-29,2022-12-18,MD-AD-PD,Jupiter,Rahu,Mars,Mars,Rahu,4.2,5.0,1,1.0,0.3,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Mars sub-sub-period (malefic)
2023-03-24,2023-09-09,MD-AD-PD,Jupiter,Saturn,Saturn,Saturn,Saturn,6.8,10.0,2,1.0,0.5,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Saturn sub-period (malefic)
