Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-09-30,2020-12-24,MD-AD-PD,Jupiter,Rahu,Rahu,Rahu,Rahu,6.98,9.69,3,1.0,0.14666666666666667,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Rahu sub-period (malefic); Rahu sub-sub-period (malefic)
2020-12-24,2021-04-17,MD-AD-PD,Jupiter,Rahu,Jupiter,Jupiter,Rahu,4.06,3.0,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-04-17,2021-08-29,MD-AD-PD,Jupiter,Rahu,Saturn,Saturn,Rahu,5.79,5.75,2,1.0,0.65,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Saturn sub-sub-period (malefic)
2021-08-29,2021-12-28,MD-AD-PD,Jupiter,Rahu,Mercury,Mercury,Rahu,7.72,6.5,4,1.0,0.96875,Jupiter dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; strong luminaries support; Rahu sub-period (malefic); Mercury sub-sub-period (benefic)
2021-12-28,2022-02-16,MD-AD-PD,Jupiter,Rahu,Ketu,Ketu,Rahu,5.29,6.5,2,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic); Ketu sub-sub-period (malefic)
2022-02-16,2022-07-08,MD-AD-PD,Jupiter,Rahu,Venus,Venus,Rahu,4.82,5.1,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Venus sub-sub-period (benefic)
2022-07-08,2022-08-19,MD-AD-PD,Jupiter,Rahu,Sun,Sun,Rahu,3.7,3.7,0,0.0,0.14666666666666667,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Sun sub-sub-period (malefic)
2022-08-19,2022-10-29,MD-AD-PD,Jupiter,Rahu,Moon,Moon,Rahu,6.58,5.56,2,1.0,0.96875,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; strong luminaries support; Rahu sub-period (malefic); Moon sub-sub-period (benefic)
2022-10-29,2022-12-18,MD-AD-PD,Jupiter,Rahu,Mars,Mars,Rahu,3.99,3.63,1,1.0,0.07333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Mars sub-sub-period (malefic)
2023-03-24,2023-09-09,MD-AD-PD,Jupiter,Saturn,Saturn,Saturn,Saturn,5.47,7.81,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Saturn sub-sub-period (malefic)
2023-09-09,2024-02-07,MD-AD-PD,Saturn,Saturn,Mercury,Mercury,Saturn,5.87,7.79,0,0.0,0.61875,Saturn dasha (malefic); lord in strong; balanced solar-lunar influence; Mercury sub-sub-period (benefic)
2024-02-07,2024-04-10,MD-AD-PD,Saturn,Saturn,Ketu,Ketu,Saturn,5.21,7.79,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Ketu sub-sub-period (malefic)
2024-04-10,2024-10-05,MD-AD-PD,Saturn,Saturn,Venus,Venus,Saturn,5.79,9.5,1,1.0,0.18333333333333332,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Venus sub-sub-period (benefic)
2024-10-05,2024-11-27,MD-AD-PD,Saturn,Saturn,Sun,Sun,Saturn,5.67,7.63,2,1.0,0.14666666666666667,Saturn dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Sun sub-sub-period (malefic)
2024-11-27,2025-02-24,MD-AD-PD,Saturn,Saturn,Moon,Moon,Saturn,5.27,8.1,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Moon sub-sub-period (benefic)
2025-02-24,2025-04-27,MD-AD-PD,Saturn,Saturn,Mars,Mars,Saturn,4.76,7.79,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Mars sub-sub-period (malefic)
2025-04-27,2025-10-04,MD-AD-PD,Saturn,Saturn,Rahu,Rahu,Saturn,3.44,3.0,0,0.0,0.5333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-sub-period (malefic)
2025-10-04,2026-02-24,MD-AD-PD,Saturn,Saturn,Jupiter,Jupiter,Saturn,2.09,0.83,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-sub-period (benefic)
