Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-01-08,2022-07-14,MD-AD,Rahu,Mercury,,Mercury,Rahu,4.1,2.2,1,1.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic)
2022-07-14,2023-07-28,MD-AD,Rahu,Ketu,,Ketu,Rahu,1.72,0.33,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2023-07-28,2026-07-12,MD-AD,Rahu,Venus,,Venus,Rahu,2.08,0.33,0,0.0,0.15,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2026-07-12,2027-06-01,MD-AD,Rahu,Sun,,Sun,Rahu,2.99,3.28,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2027-06-01,2028-11-22,MD-AD,Rahu,Moon,,Moon,Rahu,2.95,3.18,0,0.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2028-11-22,2029-12-05,MD-AD,Rahu,Mars,,Mars,Rahu,2.96,3.42,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2030-03-09,2032-04-15,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.0,1.47,0,0.0,0.06666666666666667,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2032-04-15,2034-10-14,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,3.71,1.32,0,0.0,0.65,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-period (malefic)
2034-10-14,2037-01-07,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,5.71,7.38,1,1.0,0.14666666666666667,Jupiter dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2037-01-07,2037-12-09,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,2.76,0.43,0,0.0,0.3,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2037-12-09,2040-07-26,MD-AD,Jupiter,Venus,,Venus,Jupiter,5.66,7.2,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in strong; challenging luminaries configuration; Venus sub-period (benefic)
2040-07-26,2041-05-10,MD-AD,Jupiter,Sun,,Sun,Jupiter,2.92,1.47,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2041-05-10,2042-09-02,MD-AD,Jupiter,Moon,,Moon,Jupiter,3.76,0.67,0,0.0,0.65,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Moon sub-period (benefic)
2042-09-02,2043-08-04,MD-AD,Jupiter,Mars,,Mars,Jupiter,4.67,3.28,1,1.0,0.5420833333333334,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2043-08-04,2045-12-15,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,3.79,1.23,1,1.0,0.4625,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2046-03-09,2049-02-24,MD-AD,Saturn,Saturn,,Saturn,Saturn,2.12,1.47,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2049-02-24,2051-10-21,MD-AD,Saturn,Mercury,,Mercury,Saturn,2.24,1.37,0,0.0,0.03333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2051-10-21,2052-11-23,MD-AD,Saturn,Ketu,,Ketu,Saturn,4.35,4.82,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Ketu sub-period (malefic)
2052-11-23,2056-01-07,MD-AD,Saturn,Venus,,Venus,Saturn,5.92,9.38,1,1.0,0.22333333333333333,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2056-01-07,2056-12-14,MD-AD,Saturn,Sun,,Sun,Saturn,2.85,2.54,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2056-12-14,2058-07-07,MD-AD,Saturn,Moon,,Moon,Saturn,3.17,3.0,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2058-07-07,2059-08-10,MD-AD,Saturn,Mars,,Mars,Saturn,1.92,0.9,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2059-08-10,2062-06-01,MD-AD,Saturn,Rahu,,Rahu,Saturn,3.09,3.18,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2062-06-01,2064-11-29,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,4.2,6.08,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2065-03-09,2067-07-24,MD-AD,Mercury,Mercury,,Mercury,Mercury,2.54,0.0,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2067-07-24,2068-07-15,MD-AD,Mercury,Ketu,,Ketu,Mercury,4.36,4.38,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic)
2068-07-15,2071-05-01,MD-AD,Mercury,Venus,,Venus,Mercury,5.24,6.25,1,1.0,0.10666666666666666,Mercury dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2071-05-01,2072-03-02,MD-AD,Mercury,Sun,,Sun,Mercury,5.53,3.0,2,1.0,1.0,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; strong luminaries support; Sun sub-period (malefic)
2072-03-02,2073-07-25,MD-AD,Mercury,Moon,,Moon,Mercury,4.4,2.34,2,1.0,0.3458333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2073-07-25,2074-07-17,MD-AD,Mercury,Mars,,Mars,Mercury,5.33,4.58,2,1.0,0.22333333333333333,Mercury dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2074-07-17,2077-01-20,MD-AD,Mercury,Rahu,,Rahu,Mercury,4.44,4.82,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic)
2077-01-20,2079-04-16,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.33,2.54,0,0.0,0.03333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2079-04-16,2081-12-10,MD-AD,Mercury,Saturn,,Saturn,Mercury,3.91,1.88,1,1.0,0.5733333333333334,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2082-03-09,2082-08-03,MD-AD,Ketu,Ketu,,Ketu,Ketu,1.98,0.67,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2082-08-03,2083-09-27,MD-AD,Ketu,Venus,,Venus,Ketu,2.13,0.47,0,0.0,0.15,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2083-09-27,2084-01-31,MD-AD,Ketu,Sun,,Sun,Ketu,2.61,1.37,1,1.0,0.14666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2084-01-31,2084-08-28,MD-AD,Ketu,Moon,,Moon,Ketu,2.81,0.47,2,1.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2084-08-28,2085-01-22,MD-AD,Ketu,Mars,,Mars,Ketu,4.33,3.84,1,1.0,0.78125,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Mars sub-period (malefic)
2085-01-22,2086-02-04,MD-AD,Ketu,Rahu,,Rahu,Ketu,1.62,0.43,0,0.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2086-02-04,2087-01-06,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,3.23,3.0,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2087-01-06,2088-02-09,MD-AD,Ketu,Saturn,,Saturn,Ketu,1.8,0.2,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2088-02-09,2089-01-31,MD-AD,Ketu,Mercury,,Mercury,Ketu,3.65,3.28,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2089-03-09,2092-06-21,MD-AD,Venus,Venus,,Venus,Venus,4.05,4.4,0,0.0,0.06666666666666667,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration
2092-06-21,2093-06-16,MD-AD,Venus,Sun,,Sun,Venus,3.09,2.3,0,0.0,0.10666666666666666,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2093-06-16,2095-02-06,MD-AD,Venus,Moon,,Moon,Venus,3.79,3.28,0,0.0,0.14666666666666667,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2095-02-06,2096-04-01,MD-AD,Venus,Mars,,Mars,Venus,2.63,1.23,0,0.0,0.06666666666666667,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2096-04-01,2099-03-17,MD-AD,Venus,Rahu,,Rahu,Venus,6.95,10.0,1,1.0,0.4625,Venus dasha (benefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2099-03-17,2101-11-02,MD-AD,Venus,Jupiter,,Jupiter,Venus,3.21,1.47,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2101-11-02,2104-12-16,MD-AD,Venus,Saturn,,Saturn,Venus,4.03,3.47,2,1.0,0.07333333333333333,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic)
2104-12-16,2107-10-02,MD-AD,Venus,Mercury,,Mercury,Venus,4.05,3.98,0,0.0,0.15,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2107-10-02,2108-11-25,MD-AD,Venus,Ketu,,Ketu,Venus,5.48,7.88,0,0.0,0.14666666666666667,Venus dasha (benefic); lord in strong; challenging luminaries configuration; Ketu sub-period (malefic)
2109-03-10,2109-06-26,MD-AD,Sun,Sun,,Sun,Sun,2.26,1.47,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration
2109-06-26,2109-12-23,MD-AD,Sun,Moon,,Moon,Sun,5.0,3.47,3,1.0,0.5733333333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Moon sub-period (benefic)
2109-12-23,2110-04-28,MD-AD,Sun,Mars,,Mars,Sun,2.26,1.47,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mars sub-period (malefic)
2110-04-28,2111-03-18,MD-AD,Sun,Rahu,,Rahu,Sun,5.74,7.1,0,0.0,0.8125,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong luminaries support; Rahu sub-period (malefic)
2111-03-18,2111-12-31,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.75,1.47,0,0.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2111-12-31,2112-12-07,MD-AD,Sun,Saturn,,Saturn,Sun,4.06,5.89,1,1.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2112-12-07,2113-10-10,MD-AD,Sun,Mercury,,Mercury,Sun,3.95,3.98,0,0.0,0.4625,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Mercury sub-period (benefic)
2113-10-10,2114-02-13,MD-AD,Sun,Ketu,,Ketu,Sun,3.05,3.47,1,1.0,0.14666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2114-02-13,2115-02-08,MD-AD,Sun,Venus,,Venus,Sun,3.62,1.47,1,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2115-03-11,2116-01-05,MD-AD,Moon,Moon,,Moon,Moon,3.66,1.47,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2116-01-05,2116-08-02,MD-AD,Moon,Mars,,Mars,Moon,4.52,4.96,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2116-08-02,2118-01-24,MD-AD,Moon,Rahu,,Rahu,Moon,2.51,0.33,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2118-01-24,2119-05-19,MD-AD,Moon,Jupiter,,Jupiter,Moon,3.65,2.9,1,1.0,0.06666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2119-05-19,2120-12-09,MD-AD,Moon,Saturn,,Saturn,Moon,3.24,2.35,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2120-12-09,2122-05-03,MD-AD,Moon,Mercury,,Mercury,Moon,5.59,4.58,1,1.0,0.4625,Moon dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic)
2122-05-03,2122-11-29,MD-AD,Moon,Ketu,,Ketu,Moon,3.42,0.91,0,0.0,0.5733333333333334,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2122-11-29,2124-07-21,MD-AD,Moon,Venus,,Venus,Moon,2.62,0.0,0,0.0,0.15,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2124-07-21,2125-01-17,MD-AD,Moon,Sun,,Sun,Moon,2.49,0.44,0,0.0,0.15,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2125-03-10,2125-08-04,MD-AD,Mars,Mars,,Mars,Mars,1.77,0.67,0,0.0,0.06666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2125-08-04,2126-08-17,MD-AD,Mars,Rahu,,Rahu,Mars,3.17,3.42,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2126-08-17,2127-07-19,MD-AD,Mars,Jupiter,,Jupiter,Mars,2.68,0.44,0,0.0,0.4625,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2127-07-19,2128-08-21,MD-AD,Mars,Saturn,,Saturn,Mars,3.73,4.82,0,0.0,0.15,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Saturn sub-period (malefic)
2128-08-21,2129-08-13,MD-AD,Mars,Mercury,,Mercury,Mars,3.28,1.32,0,0.0,0.61875,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic)
2129-08-13,2130-01-07,MD-AD,Mars,Ketu,,Ketu,Mars,2.48,0.67,0,0.0,0.4625,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2130-01-07,2131-03-03,MD-AD,Mars,Venus,,Venus,Mars,3.1,1.93,1,1.0,0.15,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2131-03-03,2131-07-07,MD-AD,Mars,Sun,,Sun,Mars,2.38,1.13,1,1.0,0.06666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2131-07-07,2132-02-02,MD-AD,Mars,Moon,,Moon,Mars,3.38,3.08,1,1.0,0.07333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
