Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-08-05,2020-12-05,MD-AD-PD,Rahu,Mercury,Venus,Venus,Mercury,3.1,2.48,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Venus sub-sub-period (benefic)
2020-12-05,2021-01-19,MD-AD-PD,Rahu,Mercury,Sun,Sun,Mercury,5.18,5.49,1,1.0,0.4625,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
2021-01-19,2021-04-05,MD-AD-PD,Rahu,Mercury,Moon,Moon,Mercury,4.38,5.8,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic); Moon sub-sub-period (benefic)
2021-04-05,2021-05-28,MD-AD-PD,Rahu,Mercury,Mars,Mars,Mercury,4.26,5.6,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic); Mars sub-sub-period (malefic)
2021-05-28,2021-10-10,MD-AD-PD,Rahu,Mercury,Rahu,Rahu,Mercury,5.53,8.88,1,1.0,0.10666666666666666,Rahu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Rahu sub-sub-period (malefic)
2021-10-10,2022-02-08,MD-AD-PD,Rahu,Mercury,Jupiter,Jupiter,Mercury,6.15,8.0,2,1.0,0.07333333333333333,Rahu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2022-02-08,2022-07-01,MD-AD-PD,Rahu,Mercury,Saturn,Saturn,Mercury,4.44,6.45,1,1.0,0.06666666666666667,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2022-07-14,2022-08-05,MD-AD-PD,Rahu,Mercury,Ketu,Ketu,Mercury,2.78,2.11,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2022-08-05,2022-10-06,MD-AD-PD,Rahu,Ketu,Venus,Venus,Ketu,2.41,1.15,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2022-10-06,2022-10-25,MD-AD-PD,Rahu,Ketu,Sun,Sun,Ketu,2.97,1.31,2,1.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
2022-10-25,2022-11-25,MD-AD-PD,Rahu,Ketu,Moon,Moon,Ketu,3.43,0.97,3,1.0,0.07333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2022-11-25,2022-12-17,MD-AD-PD,Rahu,Ketu,Mars,Mars,Ketu,2.27,1.31,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2022-12-17,2023-02-11,MD-AD-PD,Rahu,Ketu,Rahu,Rahu,Ketu,2.47,1.47,0,0.0,0.3,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2023-02-11,2023-04-01,MD-AD-PD,Rahu,Ketu,Jupiter,Jupiter,Ketu,2.62,2.08,1,1.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2023-04-01,2023-05-30,MD-AD-PD,Rahu,Ketu,Saturn,Saturn,Ketu,3.3,2.71,1,1.0,0.4625,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
