Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-02-08,2022-01-23,MD-AD,Rahu,Venus,,Venus,Rahu,2.37,1.37,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2022-01-23,2022-12-13,MD-AD,Rahu,Sun,,Sun,Rahu,5.18,7.44,1,1.0,0.18333333333333332,Rahu dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2022-12-13,2024-06-05,MD-AD,Rahu,Moon,,Moon,Rahu,3.7,2.9,1,1.0,0.4625,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic)
2024-06-05,2025-06-18,MD-AD,Rahu,Mars,,Mars,Rahu,4.26,4.91,1,1.0,0.5333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2025-09-20,2027-10-28,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.28,1.47,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2027-10-28,2030-04-27,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,3.97,3.28,1,1.0,0.15,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2030-04-27,2032-07-21,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,4.46,1.93,1,1.0,0.5333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic)
2032-07-21,2033-06-22,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,2.94,1.32,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2033-06-22,2036-02-07,MD-AD,Jupiter,Venus,,Venus,Jupiter,2.78,0.67,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2036-02-07,2036-11-21,MD-AD,Jupiter,Sun,,Sun,Jupiter,5.52,3.18,3,1.0,0.5333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Sun sub-period (malefic)
2036-11-21,2038-03-16,MD-AD,Jupiter,Moon,,Moon,Jupiter,3.36,0.43,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2038-03-16,2039-02-15,MD-AD,Jupiter,Mars,,Mars,Jupiter,3.34,1.23,0,0.0,0.4625,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mars sub-period (malefic)
2039-02-15,2041-06-28,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,3.4,1.93,1,1.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2041-09-20,2044-09-07,MD-AD,Saturn,Saturn,,Saturn,Saturn,3.08,1.47,1,1.0,0.38583333333333336,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration
2044-09-07,2047-05-04,MD-AD,Saturn,Mercury,,Mercury,Saturn,3.15,1.55,0,0.0,0.5020833333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic)
2047-05-04,2048-06-06,MD-AD,Saturn,Ketu,,Ketu,Saturn,2.9,0.91,0,0.0,0.65,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2048-06-06,2051-07-21,MD-AD,Saturn,Venus,,Venus,Saturn,2.86,2.34,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2051-07-21,2052-06-27,MD-AD,Saturn,Sun,,Sun,Saturn,3.86,4.82,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Sun sub-period (malefic)
2052-06-27,2054-01-18,MD-AD,Saturn,Moon,,Moon,Saturn,4.92,7.0,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Moon sub-period (benefic)
2054-01-18,2055-02-21,MD-AD,Saturn,Mars,,Mars,Saturn,4.68,7.88,0,0.0,0.06666666666666667,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Mars sub-period (malefic)
2055-02-21,2057-12-13,MD-AD,Saturn,Rahu,,Rahu,Saturn,2.84,2.2,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2057-12-13,2060-06-12,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,3.01,0.9,1,1.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2060-09-20,2063-02-04,MD-AD,Mercury,Mercury,,Mercury,Mercury,4.63,4.4,0,0.0,0.38583333333333336,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration
2063-02-04,2064-01-27,MD-AD,Mercury,Ketu,,Ketu,Mercury,2.5,0.67,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2064-01-27,2066-11-12,MD-AD,Mercury,Venus,,Venus,Mercury,3.55,3.0,0,0.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2066-11-12,2067-09-14,MD-AD,Mercury,Sun,,Sun,Mercury,2.71,1.03,0,0.0,0.15,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2067-09-14,2069-02-05,MD-AD,Mercury,Moon,,Moon,Mercury,6.47,7.0,1,1.0,0.46875,Mercury dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic)
2069-02-05,2070-01-28,MD-AD,Mercury,Mars,,Mars,Mercury,3.92,3.42,0,0.0,0.3458333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2070-01-28,2072-08-03,MD-AD,Mercury,Rahu,,Rahu,Mercury,3.63,3.42,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2072-08-03,2074-10-28,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,4.8,4.82,0,0.0,0.22333333333333333,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic)
2074-10-28,2077-06-23,MD-AD,Mercury,Saturn,,Saturn,Mercury,5.45,7.1,1,1.0,0.03333333333333333,Mercury dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2077-09-20,2078-02-14,MD-AD,Ketu,Ketu,,Ketu,Ketu,6.17,10.0,2,1.0,0.14666666666666667,Ketu dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration
2078-02-14,2079-04-10,MD-AD,Ketu,Venus,,Venus,Ketu,2.57,1.93,0,0.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2079-04-10,2079-08-14,MD-AD,Ketu,Sun,,Sun,Ketu,3.25,1.55,1,1.0,0.4625,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2079-08-14,2080-03-11,MD-AD,Ketu,Moon,,Moon,Ketu,2.54,1.47,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2080-03-11,2080-08-05,MD-AD,Ketu,Mars,,Mars,Ketu,2.35,2.11,1,1.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2080-08-05,2081-08-18,MD-AD,Ketu,Rahu,,Rahu,Ketu,2.5,1.93,0,0.0,0.22333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2081-08-18,2082-07-20,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,4.16,3.97,1,1.0,0.5020833333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic)
2082-07-20,2083-08-23,MD-AD,Ketu,Saturn,,Saturn,Ketu,4.48,4.91,1,1.0,0.65,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2083-08-23,2084-08-14,MD-AD,Ketu,Mercury,,Mercury,Ketu,2.99,0.91,0,0.0,0.5420833333333334,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic)
2084-09-20,2088-01-03,MD-AD,Venus,Venus,,Venus,Venus,4.81,1.47,2,1.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence
2088-01-03,2088-12-28,MD-AD,Venus,Sun,,Sun,Venus,3.04,1.79,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
