Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-12-13,2019-12-24,MD-AD-PD,Rahu,Venus,Moon,Moon,Venus,2.97,1.53,0,0.0,0.3,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Moon sub-sub-period (benefic)
2019-12-24,2020-02-24,MD-AD-PD,Rahu,Venus,Mars,Mars,Venus,2.46,1.37,0,0.0,0.15,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Mars sub-sub-period (malefic)
2020-02-24,2020-08-02,MD-AD-PD,Rahu,Venus,Rahu,Rahu,Venus,4.09,3.47,2,1.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2020-08-02,2020-12-22,MD-AD-PD,Rahu,Venus,Jupiter,Jupiter,Venus,4.44,4.7,2,1.0,0.18333333333333332,Rahu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2020-12-22,2021-06-08,MD-AD-PD,Rahu,Venus,Saturn,Saturn,Venus,5.18,6.45,2,1.0,0.22333333333333333,Rahu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2021-06-08,2021-11-06,MD-AD-PD,Rahu,Venus,Mercury,Mercury,Venus,5.58,5.73,1,1.0,0.5333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2021-11-06,2022-01-07,MD-AD-PD,Rahu,Venus,Ketu,Ketu,Venus,5.3,7.9,2,1.0,0.0,Rahu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
2022-01-23,2022-02-08,MD-AD-PD,Rahu,Venus,Sun,Sun,Venus,4.92,6.19,1,1.0,0.18333333333333332,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2022-02-08,2022-03-06,MD-AD-PD,Rahu,Sun,Moon,Moon,Sun,4.25,5.17,1,1.0,0.06666666666666667,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2022-03-06,2022-03-25,MD-AD-PD,Rahu,Sun,Mars,Mars,Sun,4.97,7.44,2,1.0,0.06666666666666667,Rahu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Mars sub-sub-period (malefic)
2022-03-25,2022-05-12,MD-AD-PD,Rahu,Sun,Rahu,Rahu,Sun,5.25,7.44,2,1.0,0.22333333333333333,Rahu dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Rahu sub-sub-period (malefic)
2022-05-12,2022-06-23,MD-AD-PD,Rahu,Sun,Jupiter,Jupiter,Sun,5.23,4.98,2,1.0,0.65,Rahu dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Jupiter sub-sub-period (benefic)
2022-06-23,2022-08-13,MD-AD-PD,Rahu,Sun,Saturn,Saturn,Sun,2.7,2.81,1,1.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Saturn sub-sub-period (malefic)
2022-08-13,2022-09-27,MD-AD-PD,Rahu,Sun,Mercury,Mercury,Sun,2.46,1.49,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Mercury sub-sub-period (benefic)
2022-09-27,2022-10-16,MD-AD-PD,Rahu,Sun,Ketu,Ketu,Sun,2.11,1.23,0,0.0,0.14666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
2022-10-16,2022-12-08,MD-AD-PD,Rahu,Sun,Venus,Venus,Sun,2.58,1.63,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2022-12-13,2023-01-26,MD-AD-PD,Rahu,Sun,Moon,Moon,Sun,3.39,2.42,1,1.0,0.4625,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2023-01-26,2023-02-26,MD-AD-PD,Rahu,Moon,Mars,Mars,Moon,2.51,1.77,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2023-02-26,2023-05-17,MD-AD-PD,Rahu,Moon,Rahu,Rahu,Moon,4.68,4.03,1,1.0,0.5333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic); Rahu sub-sub-period (malefic)
2023-05-17,2023-07-27,MD-AD-PD,Rahu,Moon,Jupiter,Jupiter,Moon,2.73,2.05,0,0.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Jupiter sub-sub-period (benefic)
2023-07-27,2023-10-19,MD-AD-PD,Rahu,Moon,Saturn,Saturn,Moon,2.78,2.04,1,1.0,0.15,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Saturn sub-sub-period (malefic)
2023-10-19,2024-01-03,MD-AD-PD,Rahu,Moon,Mercury,Mercury,Moon,2.46,1.25,0,0.0,0.07333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Mercury sub-sub-period (benefic)
2024-01-03,2024-02-03,MD-AD-PD,Rahu,Moon,Ketu,Ketu,Moon,2.93,1.95,0,0.0,0.3,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Ketu sub-sub-period (malefic)
2024-02-03,2024-05-01,MD-AD-PD,Rahu,Moon,Venus,Venus,Moon,2.73,1.83,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Venus sub-sub-period (benefic)
2024-05-01,2024-05-28,MD-AD-PD,Rahu,Moon,Sun,Sun,Moon,4.16,3.94,1,1.0,0.5333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic); Sun sub-sub-period (malefic)
2024-06-05,2024-06-26,MD-AD-PD,Rahu,Moon,Mars,Mars,Moon,5.17,6.38,1,1.0,0.5333333333333333,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2024-06-26,2024-08-21,MD-AD-PD,Rahu,Mars,Rahu,Rahu,Mars,3.5,4.91,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic); Rahu sub-sub-period (malefic)
2024-08-21,2024-10-10,MD-AD-PD,Rahu,Mars,Jupiter,Jupiter,Mars,3.54,2.69,0,0.0,0.5420833333333334,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mars sub-period (malefic); Jupiter sub-sub-period (benefic)
2024-10-10,2024-12-08,MD-AD-PD,Rahu,Mars,Saturn,Saturn,Mars,3.13,3.81,1,1.0,0.14666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Saturn sub-sub-period (malefic)
2024-12-08,2025-01-30,MD-AD-PD,Rahu,Mars,Mercury,Mercury,Mars,2.51,1.63,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Mercury sub-sub-period (benefic)
2025-01-30,2025-02-20,MD-AD-PD,Rahu,Mars,Ketu,Ketu,Mars,2.58,1.67,1,1.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Ketu sub-sub-period (malefic)
2025-02-20,2025-04-24,MD-AD-PD,Rahu,Mars,Venus,Venus,Mars,3.49,3.6,2,1.0,0.03333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic); Venus sub-sub-period (benefic)
2025-04-24,2025-05-12,MD-AD-PD,Rahu,Mars,Sun,Sun,Mars,4.17,3.5,2,1.0,0.5333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic); Sun sub-sub-period (malefic)
2025-05-12,2025-06-12,MD-AD-PD,Rahu,Mars,Moon,Moon,Mars,3.67,1.63,1,1.0,0.5733333333333334,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic); Moon sub-sub-period (benefic)
2025-09-20,2025-12-30,MD-AD-PD,Rahu,Jupiter,Jupiter,Jupiter,Jupiter,2.81,1.47,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Jupiter sub-sub-period (benefic)
2025-12-30,2026-04-29,MD-AD-PD,Jupiter,Jupiter,Saturn,Saturn,Jupiter,2.64,0.4,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-sub-period (malefic)
2026-04-29,2026-08-14,MD-AD-PD,Jupiter,Jupiter,Mercury,Mercury,Jupiter,3.94,1.17,0,0.0,0.65,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-sub-period (benefic)
2026-08-14,2026-09-27,MD-AD-PD,Jupiter,Jupiter,Ketu,Ketu,Jupiter,5.99,8.13,0,0.0,0.3,Jupiter dasha (benefic); lord in strong; challenging luminaries configuration; Ketu sub-sub-period (malefic)
2026-09-27,2027-02-01,MD-AD-PD,Jupiter,Jupiter,Venus,Venus,Jupiter,7.07,9.88,2,1.0,0.14666666666666667,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Venus sub-sub-period (benefic)
2027-02-01,2027-03-10,MD-AD-PD,Jupiter,Jupiter,Sun,Sun,Jupiter,5.57,8.29,0,0.0,0.03333333333333333,Jupiter dasha (benefic); lord in strong; challenging luminaries configuration; Sun sub-sub-period (malefic)
2027-03-10,2027-05-12,MD-AD-PD,Jupiter,Jupiter,Moon,Moon,Jupiter,5.83,8.13,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in strong; challenging luminaries configuration; Moon sub-sub-period (benefic)
2027-05-12,2027-06-26,MD-AD-PD,Jupiter,Jupiter,Mars,Mars,Jupiter,7.18,8.88,0,0.0,0.8125,Jupiter dasha (benefic); lord in strong; strong luminaries support; Mars sub-sub-period (malefic)
2027-06-26,2027-10-17,MD-AD-PD,Jupiter,Jupiter,Rahu,Rahu,Jupiter,4.01,4.4,0,0.0,0.14666666666666667,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-sub-period (malefic)
2027-10-28,2028-03-19,MD-AD-PD,Jupiter,Jupiter,Saturn,Saturn,Jupiter,4.19,3.65,1,1.0,0.15,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-sub-period (malefic)
2028-03-19,2028-07-24,MD-AD-PD,Jupiter,Saturn,Mercury,Mercury,Saturn,2.95,1.33,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2028-07-24,2028-09-14,MD-AD-PD,Jupiter,Saturn,Ketu,Ketu,Saturn,2.7,0.8,0,0.0,0.3,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Ketu sub-sub-period (malefic)
2028-09-14,2029-02-11,MD-AD-PD,Jupiter,Saturn,Venus,Venus,Saturn,4.29,1.03,1,1.0,0.78125,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Saturn sub-period (malefic); Venus sub-sub-period (benefic)
2029-02-11,2029-03-28,MD-AD-PD,Jupiter,Saturn,Sun,Sun,Saturn,2.16,0.46,0,0.0,0.06666666666666667,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Sun sub-sub-period (malefic)
2029-03-28,2029-06-11,MD-AD-PD,Jupiter,Saturn,Moon,Moon,Saturn,3.22,0.46,1,1.0,0.3,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Moon sub-sub-period (benefic)
2029-06-11,2029-08-02,MD-AD-PD,Jupiter,Saturn,Mars,Mars,Saturn,3.82,0.23,2,1.0,0.5333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; balanced solar-lunar influence; Saturn sub-period (malefic); Mars sub-sub-period (malefic)
2029-08-02,2029-12-15,MD-AD-PD,Jupiter,Saturn,Rahu,Rahu,Saturn,2.69,1.33,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Rahu sub-sub-period (malefic)
2029-12-15,2030-04-14,MD-AD-PD,Jupiter,Saturn,Jupiter,Jupiter,Saturn,2.77,1.03,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Jupiter sub-sub-period (benefic)
2030-04-27,2030-08-19,MD-AD-PD,Jupiter,Saturn,Mercury,Mercury,Saturn,4.43,2.65,1,1.0,0.5333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2030-08-19,2030-10-05,MD-AD-PD,Jupiter,Mercury,Ketu,Ketu,Mercury,3.8,2.05,0,0.0,0.5020833333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2030-10-05,2031-02-16,MD-AD-PD,Jupiter,Mercury,Venus,Venus,Mercury,4.55,5.2,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic); Venus sub-sub-period (benefic)
2031-02-16,2031-03-28,MD-AD-PD,Jupiter,Mercury,Sun,Sun,Mercury,3.89,3.39,1,1.0,0.03333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
2031-03-28,2031-06-03,MD-AD-PD,Jupiter,Mercury,Moon,Moon,Mercury,7.14,6.69,3,1.0,0.65,Jupiter dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Mercury sub-period (benefic); Moon sub-sub-period (benefic)
2031-06-03,2031-07-20,MD-AD-PD,Jupiter,Mercury,Mars,Mars,Mercury,4.96,6.61,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic); Mars sub-sub-period (malefic)
2031-07-20,2031-11-18,MD-AD-PD,Jupiter,Mercury,Rahu,Rahu,Mercury,3.82,2.3,0,0.0,0.4625,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Mercury sub-period (benefic); Rahu sub-sub-period (malefic)
2031-11-18,2032-03-04,MD-AD-PD,Jupiter,Mercury,Jupiter,Jupiter,Mercury,5.75,7.46,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2032-03-04,2032-07-09,MD-AD-PD,Jupiter,Mercury,Saturn,Saturn,Mercury,4.69,4.98,1,1.0,0.03333333333333333,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2032-07-21,2032-08-10,MD-AD-PD,Jupiter,Mercury,Ketu,Ketu,Mercury,2.91,0.98,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2032-08-10,2032-10-04,MD-AD-PD,Jupiter,Ketu,Venus,Venus,Ketu,2.79,0.51,0,0.0,0.3,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2032-10-04,2032-10-20,MD-AD-PD,Jupiter,Ketu,Sun,Sun,Ketu,4.85,5.26,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
2032-10-20,2032-11-17,MD-AD-PD,Jupiter,Ketu,Moon,Moon,Ketu,4.67,5.19,1,1.0,0.03333333333333333,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2032-11-17,2032-12-06,MD-AD-PD,Jupiter,Ketu,Mars,Mars,Ketu,3.31,0.73,0,0.0,0.65,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2032-12-06,2033-01-25,MD-AD-PD,Jupiter,Ketu,Rahu,Rahu,Ketu,2.68,1.32,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2033-01-25,2033-03-10,MD-AD-PD,Jupiter,Ketu,Jupiter,Jupiter,Ketu,2.28,0.44,0,0.0,0.03333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
