Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-08-23,2021-01-14,MD-AD,Moon,Mercury,,Mercury,Moon,5.86,4.03,0,0.0,0.96875,Moon dasha (benefic); lord in moderate strength; strong luminaries support; Mercury sub-period (benefic)
2021-01-14,2021-08-12,MD-AD,Moon,Ketu,,Ketu,Moon,4.22,4.03,2,1.0,0.06666666666666667,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic)
2021-08-12,2023-04-04,MD-AD,Moon,Venus,,Venus,Moon,4.0,3.08,0,0.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2023-04-04,2023-10-01,MD-AD,Moon,Sun,,Sun,Moon,3.13,1.47,0,0.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2023-11-22,2024-04-17,MD-AD,Mars,Mars,,Mars,Mars,4.51,6.25,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration
2024-04-17,2025-04-30,MD-AD,Mars,Rahu,,Rahu,Mars,3.81,1.37,1,1.0,0.8125,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Rahu sub-period (malefic)
2025-04-30,2026-04-01,MD-AD,Mars,Jupiter,,Jupiter,Mars,4.09,0.44,1,1.0,1.0,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Jupiter sub-period (benefic)
2026-04-01,2027-05-05,MD-AD,Mars,Saturn,,Saturn,Mars,2.18,0.67,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2027-05-05,2028-04-26,MD-AD,Mars,Mercury,,Mercury,Mars,4.53,3.98,1,1.0,0.5333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic)
2028-04-26,2028-09-20,MD-AD,Mars,Ketu,,Ketu,Mars,6.21,7.46,0,0.0,1.0,Mars dasha (malefic); lord in strong; strong luminaries support; Ketu sub-period (malefic)
2028-09-20,2029-11-14,MD-AD,Mars,Venus,,Venus,Mars,3.01,0.44,2,1.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Venus sub-period (benefic)
2029-11-14,2030-03-20,MD-AD,Mars,Sun,,Sun,Mars,2.57,3.08,0,0.0,0.03333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2030-03-20,2030-10-16,MD-AD,Mars,Moon,,Moon,Mars,2.75,1.47,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2030-11-22,2033-07-21,MD-AD,Rahu,Rahu,,Rahu,Rahu,1.81,0.0,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2033-07-21,2035-12-02,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,3.09,0.67,0,0.0,0.65,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-period (benefic)
2035-12-02,2038-09-23,MD-AD,Rahu,Saturn,,Saturn,Rahu,2.21,1.13,0,0.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2038-09-23,2041-03-29,MD-AD,Rahu,Mercury,,Mercury,Rahu,4.96,5.1,3,1.0,0.22333333333333333,Rahu dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Mercury sub-period (benefic)
2041-03-29,2042-04-11,MD-AD,Rahu,Ketu,,Ketu,Rahu,2.14,1.13,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2042-04-11,2045-03-26,MD-AD,Rahu,Venus,,Venus,Rahu,3.23,1.93,1,1.0,0.22333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2045-03-26,2046-02-13,MD-AD,Rahu,Sun,,Sun,Rahu,3.53,4.4,0,0.0,0.3,Rahu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Sun sub-period (malefic)
2046-02-13,2047-08-07,MD-AD,Rahu,Moon,,Moon,Rahu,2.95,3.18,0,0.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2047-08-07,2048-08-19,MD-AD,Rahu,Mars,,Mars,Rahu,1.9,0.47,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2048-11-21,2050-12-29,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,4.09,0.33,1,1.0,0.65,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence
2050-12-29,2053-06-28,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,4.08,2.9,1,1.0,0.4625,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic)
2053-06-28,2055-09-22,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,3.66,2.9,1,1.0,0.07333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2055-09-22,2056-08-23,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,6.37,7.46,2,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic)
2056-08-23,2059-04-10,MD-AD,Jupiter,Venus,,Venus,Jupiter,3.25,0.0,0,0.0,0.5020833333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic)
2059-04-10,2060-01-23,MD-AD,Jupiter,Sun,,Sun,Jupiter,2.99,1.47,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2060-01-23,2061-05-17,MD-AD,Jupiter,Moon,,Moon,Jupiter,4.39,3.52,1,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2061-05-17,2062-04-18,MD-AD,Jupiter,Mars,,Mars,Jupiter,2.43,0.67,0,0.0,0.06666666666666667,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2062-04-18,2064-08-29,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,6.59,7.2,1,1.0,0.65,Jupiter dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
2064-11-21,2067-11-09,MD-AD,Saturn,Saturn,,Saturn,Saturn,2.26,1.47,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2067-11-09,2070-07-05,MD-AD,Saturn,Mercury,,Mercury,Saturn,2.53,2.35,0,0.0,0.0,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2070-07-05,2071-08-08,MD-AD,Saturn,Ketu,,Ketu,Saturn,3.7,3.52,0,0.0,0.5733333333333334,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2071-08-08,2074-09-21,MD-AD,Saturn,Venus,,Venus,Saturn,5.41,7.1,1,1.0,0.22333333333333333,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2074-09-21,2075-08-29,MD-AD,Saturn,Sun,,Sun,Saturn,3.4,1.93,2,1.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic)
