Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-09-18,2020-10-19,MD-AD-PD,Moon,Mercury,Jupiter,Jupiter,Mercury,6.35,5.61,4,1.0,0.22333333333333333,Moon dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2020-10-19,2021-01-06,MD-AD-PD,Moon,Mercury,Saturn,Saturn,Mercury,4.07,2.57,3,1.0,0.0,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2021-01-14,2021-01-26,MD-AD-PD,Moon,Mercury,Ketu,Ketu,Mercury,3.88,2.93,2,1.0,0.06666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2021-01-26,2021-03-01,MD-AD-PD,Moon,Ketu,Venus,Venus,Ketu,4.38,3.87,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2021-03-01,2021-03-12,MD-AD-PD,Moon,Ketu,Sun,Sun,Ketu,4.24,4.03,1,1.0,0.18333333333333332,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
2021-03-12,2021-03-29,MD-AD-PD,Moon,Ketu,Moon,Moon,Ketu,4.22,4.03,1,1.0,0.06666666666666667,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2021-03-29,2021-04-10,MD-AD-PD,Moon,Ketu,Mars,Mars,Ketu,4.57,4.33,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2021-04-10,2021-05-11,MD-AD-PD,Moon,Ketu,Rahu,Rahu,Ketu,5.29,6.5,2,1.0,0.22333333333333333,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2021-05-11,2021-06-08,MD-AD-PD,Moon,Ketu,Jupiter,Jupiter,Ketu,4.56,3.87,0,0.0,0.5333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-06-08,2021-07-10,MD-AD-PD,Moon,Ketu,Saturn,Saturn,Ketu,6.62,9.25,1,1.0,0.5333333333333333,Moon dasha (benefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
2021-07-10,2021-08-09,MD-AD-PD,Moon,Ketu,Mercury,Mercury,Ketu,5.86,7.38,1,1.0,0.38583333333333336,Moon dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
