Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2013-07-28,2032-07-27,MD,Saturn,,,Saturn,,3.79,3.0,2,1.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration
2019-03-11,2020-04-13,MD-AD,Saturn,Ketu,,Ketu,Saturn,2.75,3.42,0,0.0,0.06666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2019-05-10,2019-06-07,MD-AD-PD,Saturn,Ketu,Venus,Venus,Ketu,4.29,3.42,0,0.0,0.8125,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong luminaries support; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2019-06-07,2019-06-27,MD-AD-PD,Saturn,Ketu,Sun,Sun,Ketu,3.15,3.11,0,0.0,0.3458333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
2019-06-27,2019-07-30,MD-AD-PD,Saturn,Ketu,Moon,Moon,Ketu,2.91,3.11,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2019-07-30,2019-08-21,MD-AD-PD,Saturn,Ketu,Mars,Mars,Ketu,2.96,2.82,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2019-08-21,2019-10-19,MD-AD-PD,Saturn,Ketu,Rahu,Rahu,Ketu,3.54,3.42,0,0.0,0.5020833333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2019-10-19,2019-12-11,MD-AD-PD,Saturn,Ketu,Jupiter,Jupiter,Ketu,3.19,3.7,0,0.0,0.15,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2019-12-11,2020-02-11,MD-AD-PD,Saturn,Ketu,Saturn,Saturn,Ketu,4.25,0.91,3,1.0,0.65,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
2020-02-11,2020-04-07,MD-AD-PD,Saturn,Ketu,Mercury,Mercury,Ketu,4.54,4.17,2,1.0,0.18333333333333332,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
