Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-02-15,2021-01-22,MD-AD,Saturn,Sun,,Sun,Saturn,4.1,4.82,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2021-01-22,2022-08-15,MD-AD,Saturn,Moon,,Moon,Saturn,4.18,4.47,1,1.0,0.06666666666666667,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2022-08-15,2023-09-18,MD-AD,Saturn,Mars,,Mars,Saturn,4.02,5.28,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic)
2023-09-18,2026-07-09,MD-AD,Saturn,Rahu,,Rahu,Saturn,4.38,6.66,0,0.0,0.14666666666666667,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic)
2026-07-09,2029-01-06,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,3.85,5.1,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2029-04-16,2031-08-31,MD-AD,Mercury,Mercury,,Mercury,Mercury,4.84,0.67,1,1.0,1.0,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support
2031-08-31,2032-08-22,MD-AD,Mercury,Ketu,,Ketu,Mercury,3.21,0.67,0,0.0,0.5020833333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2032-08-22,2035-06-08,MD-AD,Mercury,Venus,,Venus,Mercury,3.49,0.67,0,0.0,0.5020833333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic)
2035-06-08,2036-04-09,MD-AD,Mercury,Sun,,Sun,Mercury,2.92,1.47,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2036-04-09,2037-09-01,MD-AD,Mercury,Moon,,Moon,Mercury,3.8,2.54,0,0.0,0.3,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2037-09-01,2038-08-24,MD-AD,Mercury,Mars,,Mars,Mercury,4.25,1.23,0,0.0,0.96875,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); strong luminaries support; Mars sub-period (malefic)
2038-08-24,2041-02-27,MD-AD,Mercury,Rahu,,Rahu,Mercury,5.4,1.93,2,1.0,0.96875,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; strong luminaries support; Rahu sub-period (malefic)
2041-02-27,2043-05-24,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,3.12,0.57,1,1.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2043-05-24,2046-01-17,MD-AD,Mercury,Saturn,,Saturn,Mercury,4.41,3.47,3,1.0,0.03333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; challenging luminaries configuration; Saturn sub-period (malefic)
2046-04-16,2046-09-10,MD-AD,Ketu,Ketu,,Ketu,Ketu,3.26,0.67,1,1.0,0.65,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence
2046-09-10,2047-11-04,MD-AD,Ketu,Venus,,Venus,Ketu,3.25,0.57,1,1.0,0.5020833333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2047-11-04,2048-03-09,MD-AD,Ketu,Sun,,Sun,Ketu,2.67,1.03,0,0.0,0.5,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Sun sub-period (malefic)
2048-03-09,2048-10-05,MD-AD,Ketu,Moon,,Moon,Ketu,2.04,0.43,0,0.0,0.10666666666666666,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2048-10-05,2049-03-01,MD-AD,Ketu,Mars,,Mars,Ketu,2.87,0.44,2,1.0,0.22333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2049-03-01,2050-03-14,MD-AD,Ketu,Rahu,,Rahu,Ketu,1.98,0.0,1,1.0,0.06666666666666667,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic)
2050-03-14,2051-02-13,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,2.6,1.13,1,1.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2051-02-13,2052-03-18,MD-AD,Ketu,Saturn,,Saturn,Ketu,3.52,4.96,1,1.0,0.10666666666666666,Ketu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2052-03-18,2053-03-10,MD-AD,Ketu,Mercury,,Mercury,Ketu,2.78,1.93,0,0.0,0.22333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2053-04-16,2056-07-29,MD-AD,Venus,Venus,,Venus,Venus,4.91,3.0,1,1.0,0.5733333333333334,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence
2056-07-29,2057-07-24,MD-AD,Venus,Sun,,Sun,Venus,2.64,0.67,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2057-07-24,2059-03-16,MD-AD,Venus,Moon,,Moon,Venus,4.61,4.47,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in moderate strength; challenging luminaries configuration; Moon sub-period (benefic)
2059-03-16,2060-05-09,MD-AD,Venus,Mars,,Mars,Venus,4.11,3.52,1,1.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic)
2060-05-09,2063-04-24,MD-AD,Venus,Rahu,,Rahu,Venus,5.16,4.47,0,0.0,0.65,Venus dasha (benefic); lord in moderate strength; balanced solar-lunar influence; Rahu sub-period (malefic)
2063-04-24,2065-12-09,MD-AD,Venus,Jupiter,,Jupiter,Venus,5.81,4.82,1,1.0,0.5333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic)
2065-12-09,2069-01-22,MD-AD,Venus,Saturn,,Saturn,Venus,3.19,2.2,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
