Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2020-07-29,2020-09-15,MD-AD-PD,Saturn,Sun,Saturn,Saturn,Sun,4.17,4.81,2,1.0,0.15,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic); Saturn sub-sub-period (malefic)
2020-09-15,2020-11-02,MD-AD-PD,Saturn,Sun,Mercury,Mercury,Sun,6.91,7.94,3,1.0,0.61875,Saturn dasha (malefic); lord in strong; triple Arishta-Bhanga protection; balanced solar-lunar influence; Sun sub-period (malefic); Mercury sub-sub-period (benefic)
2020-11-02,2020-11-21,MD-AD-PD,Saturn,Sun,Ketu,Ketu,Sun,5.82,5.12,4,1.0,0.5,Saturn dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
2020-11-21,2021-01-17,MD-AD-PD,Saturn,Sun,Venus,Venus,Sun,5.1,5.44,3,1.0,0.18333333333333332,Saturn dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2021-01-22,2021-03-09,MD-AD-PD,Saturn,Sun,Moon,Moon,Sun,3.57,3.29,1,1.0,0.06666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2021-03-09,2021-04-11,MD-AD-PD,Saturn,Moon,Mars,Mars,Moon,3.86,3.83,1,1.0,0.06666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2021-04-11,2021-07-04,MD-AD-PD,Saturn,Moon,Rahu,Rahu,Moon,5.03,6.03,2,1.0,0.22333333333333333,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic); Rahu sub-sub-period (malefic)
2021-07-04,2021-09-17,MD-AD-PD,Saturn,Moon,Jupiter,Jupiter,Moon,4.25,4.17,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Jupiter sub-sub-period (benefic)
2021-09-17,2021-12-15,MD-AD-PD,Saturn,Moon,Saturn,Saturn,Moon,5.16,4.47,4,1.0,0.10666666666666666,Saturn dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; challenging luminaries configuration; Moon sub-period (benefic); Saturn sub-sub-period (malefic)
2021-12-15,2022-03-05,MD-AD-PD,Saturn,Moon,Mercury,Mercury,Moon,4.26,3.83,1,1.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Mercury sub-sub-period (benefic)
2022-03-05,2022-04-07,MD-AD-PD,Saturn,Moon,Ketu,Ketu,Moon,4.82,6.03,2,1.0,0.10666666666666666,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic); Ketu sub-sub-period (malefic)
2022-04-07,2022-07-09,MD-AD-PD,Saturn,Moon,Venus,Venus,Moon,4.55,5.33,0,0.0,0.3,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Moon sub-period (benefic); Venus sub-sub-period (benefic)
2022-07-09,2022-08-06,MD-AD-PD,Saturn,Moon,Sun,Sun,Moon,3.98,5.02,0,0.0,0.14666666666666667,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Moon sub-period (benefic); Sun sub-sub-period (malefic)
2022-08-15,2022-09-06,MD-AD-PD,Saturn,Moon,Mars,Mars,Moon,3.73,3.93,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2022-09-06,2022-11-04,MD-AD-PD,Saturn,Mars,Rahu,Rahu,Mars,4.61,4.32,1,1.0,0.5420833333333334,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic); Rahu sub-sub-period (malefic)
2022-11-04,2022-12-27,MD-AD-PD,Saturn,Mars,Jupiter,Jupiter,Mars,4.1,4.47,2,1.0,0.07333333333333333,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic); Jupiter sub-sub-period (benefic)
2022-12-27,2023-02-27,MD-AD-PD,Saturn,Mars,Saturn,Saturn,Mars,3.7,4.58,1,1.0,0.18333333333333332,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mars sub-period (malefic); Saturn sub-sub-period (malefic)
2023-02-27,2023-04-24,MD-AD-PD,Saturn,Mars,Mercury,Mercury,Mars,5.46,6.19,1,1.0,0.5333333333333333,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic); Mercury sub-sub-period (benefic)
2023-04-24,2023-05-17,MD-AD-PD,Saturn,Mars,Ketu,Ketu,Mars,4.67,5.19,0,0.0,0.65,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Mars sub-period (malefic); Ketu sub-sub-period (malefic)
2023-05-17,2023-07-21,MD-AD-PD,Saturn,Mars,Venus,Venus,Mars,3.94,5.57,0,0.0,0.06666666666666667,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic); Venus sub-sub-period (benefic)
2023-07-21,2023-08-10,MD-AD-PD,Saturn,Mars,Sun,Sun,Mars,4.65,6.89,0,0.0,0.3,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic); Sun sub-sub-period (malefic)
2023-08-10,2023-09-12,MD-AD-PD,Saturn,Mars,Moon,Moon,Mars,6.41,8.01,2,1.0,0.65,Saturn dasha (malefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Mars sub-period (malefic); Moon sub-sub-period (benefic)
2023-09-18,2024-02-16,MD-AD-PD,Saturn,Mars,Rahu,Rahu,Mars,3.76,5.19,0,0.0,0.14666666666666667,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic); Rahu sub-sub-period (malefic)
2024-02-16,2024-06-30,MD-AD-PD,Saturn,Rahu,Jupiter,Jupiter,Rahu,6.01,6.47,2,1.0,0.5333333333333333,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic)
2024-06-30,2024-12-07,MD-AD-PD,Saturn,Rahu,Saturn,Saturn,Rahu,4.6,7.46,1,1.0,0.10666666666666666,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Saturn sub-sub-period (malefic)
2024-12-07,2025-04-29,MD-AD-PD,Saturn,Rahu,Mercury,Mercury,Rahu,4.21,5.72,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Rahu sub-period (malefic); Mercury sub-sub-period (benefic)
2025-04-29,2025-06-27,MD-AD-PD,Saturn,Rahu,Ketu,Ketu,Rahu,4.55,2.47,1,1.0,1.0,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Rahu sub-period (malefic); Ketu sub-sub-period (malefic)
2025-06-27,2025-12-13,MD-AD-PD,Saturn,Rahu,Venus,Venus,Rahu,3.35,2.95,0,0.0,0.38583333333333336,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Venus sub-sub-period (benefic)
2025-12-13,2026-02-01,MD-AD-PD,Saturn,Rahu,Sun,Sun,Rahu,2.54,1.65,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Sun sub-sub-period (malefic)
2026-02-01,2026-04-27,MD-AD-PD,Saturn,Rahu,Moon,Moon,Rahu,4.22,4.07,2,1.0,0.3458333333333333,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic); Moon sub-sub-period (benefic)
2026-04-27,2026-06-25,MD-AD-PD,Saturn,Rahu,Mars,Mars,Rahu,3.91,3.7,0,0.0,0.65,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-period (malefic); Mars sub-sub-period (malefic)
2026-07-09,2026-11-06,MD-AD-PD,Saturn,Rahu,Jupiter,Jupiter,Rahu,3.64,3.65,2,1.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic)
2026-11-06,2027-03-29,MD-AD-PD,Saturn,Jupiter,Saturn,Saturn,Jupiter,2.6,1.79,0,0.0,0.15,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Saturn sub-sub-period (malefic)
2027-03-29,2027-08-03,MD-AD-PD,Saturn,Jupiter,Mercury,Mercury,Jupiter,4.28,3.93,1,1.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic); Mercury sub-sub-period (benefic)
2027-08-03,2027-09-24,MD-AD-PD,Saturn,Jupiter,Ketu,Ketu,Jupiter,2.92,1.92,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Ketu sub-sub-period (malefic)
2027-09-24,2028-02-21,MD-AD-PD,Saturn,Jupiter,Venus,Venus,Jupiter,2.76,1.32,0,0.0,0.22333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Venus sub-sub-period (benefic)
2028-02-21,2028-04-06,MD-AD-PD,Saturn,Jupiter,Sun,Sun,Jupiter,2.14,0.73,0,0.0,0.10666666666666666,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Sun sub-sub-period (malefic)
2028-04-06,2028-06-20,MD-AD-PD,Saturn,Jupiter,Moon,Moon,Jupiter,2.68,0.73,0,0.0,0.3,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Moon sub-sub-period (benefic)
2028-06-20,2028-08-11,MD-AD-PD,Saturn,Jupiter,Mars,Mars,Jupiter,3.7,1.45,1,1.0,0.5733333333333334,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic); Mars sub-sub-period (malefic)
2028-08-11,2028-12-24,MD-AD-PD,Saturn,Jupiter,Rahu,Rahu,Jupiter,2.1,0.23,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Rahu sub-sub-period (malefic)
2029-04-16,2029-08-15,MD-AD-PD,Saturn,Mercury,Mercury,Mercury,Mercury,4.25,0.33,1,1.0,1.0,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Mercury sub-period (benefic); Mercury sub-sub-period (benefic)
