Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2018-11-29,2019-05-28,MD-AD,Moon,Sun,,Sun,Moon,4.51,4.03,1,1.0,0.3,Moon dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2019-07-19,2019-12-13,MD-AD,Mars,Mars,,Mars,Mars,1.73,0.0,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2019-12-13,2020-12-25,MD-AD,Mars,Rahu,,Rahu,Mars,2.77,2.3,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2020-12-25,2021-11-26,MD-AD,Mars,Jupiter,,Jupiter,Mars,5.15,6.56,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2021-11-26,2022-12-30,MD-AD,Mars,Saturn,,Saturn,Mars,3.51,3.97,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2022-12-30,2023-12-22,MD-AD,Mars,Mercury,,Mercury,Mars,2.58,1.37,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2023-12-22,2024-05-17,MD-AD,Mars,Ketu,,Ketu,Mars,3.79,4.82,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Ketu sub-period (malefic)
2024-05-17,2025-07-11,MD-AD,Mars,Venus,,Venus,Mars,3.45,3.98,0,0.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2025-07-11,2025-11-14,MD-AD,Mars,Sun,,Sun,Mars,2.78,3.28,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2025-11-14,2026-06-12,MD-AD,Mars,Moon,,Moon,Mars,5.23,5.7,2,1.0,0.15,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2026-07-19,2029-03-17,MD-AD,Rahu,Rahu,,Rahu,Rahu,3.98,4.4,1,1.0,0.3,Rahu dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration
