Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2019-04-18,2019-04-25,MD-AD-PD,Moon,Sun,Ketu,Ketu,Sun,5.3,4.61,1,1.0,0.65,Moon dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
2019-04-25,2019-05-25,MD-AD-PD,Moon,Sun,Venus,Venus,Sun,5.69,5.33,2,1.0,0.5733333333333334,Moon dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2019-07-19,2019-07-28,MD-AD-PD,Moon,Mars,Mars,Mars,Mars,2.47,0.73,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Mars sub-sub-period (malefic)
2019-07-28,2019-08-18,MD-AD-PD,Mars,Mars,Rahu,Rahu,Mars,2.8,0.6,0,0.0,0.65,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-sub-period (malefic)
2019-08-18,2019-09-07,MD-AD-PD,Mars,Mars,Jupiter,Jupiter,Mars,3.31,2.05,0,0.0,0.5420833333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Jupiter sub-sub-period (benefic)
2019-09-07,2019-09-30,MD-AD-PD,Mars,Mars,Saturn,Saturn,Mars,3.02,1.77,0,0.0,0.5420833333333334,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Saturn sub-sub-period (malefic)
2019-09-30,2019-10-20,MD-AD-PD,Mars,Mars,Mercury,Mercury,Mars,2.6,2.05,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-sub-period (benefic)
2019-10-20,2019-10-29,MD-AD-PD,Mars,Mars,Ketu,Ketu,Mars,2.86,2.05,1,1.0,0.15,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Ketu sub-sub-period (malefic)
2019-10-29,2019-11-22,MD-AD-PD,Mars,Mars,Venus,Venus,Mars,2.23,1.77,0,0.0,0.0,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-sub-period (benefic)
2019-11-22,2019-11-29,MD-AD-PD,Mars,Mars,Sun,Sun,Mars,3.12,3.28,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-sub-period (malefic)
2019-11-29,2019-12-11,MD-AD-PD,Mars,Mars,Moon,Moon,Mars,2.91,2.53,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-sub-period (benefic)
2019-12-13,2020-02-07,MD-AD-PD,Mars,Mars,Rahu,Rahu,Mars,2.85,2.53,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-sub-period (malefic)
2020-02-07,2020-03-28,MD-AD-PD,Mars,Rahu,Jupiter,Jupiter,Rahu,4.86,5.2,2,1.0,0.3458333333333333,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic)
2020-03-28,2020-05-26,MD-AD-PD,Mars,Rahu,Saturn,Saturn,Rahu,5.66,6.45,2,1.0,0.65,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Saturn sub-sub-period (malefic)
2020-05-26,2020-07-18,MD-AD-PD,Mars,Rahu,Mercury,Mercury,Rahu,3.08,2.95,1,1.0,0.18333333333333332,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Mercury sub-sub-period (benefic)
2020-07-18,2020-08-08,MD-AD-PD,Mars,Rahu,Ketu,Ketu,Rahu,3.58,3.28,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Ketu sub-sub-period (malefic)
2020-08-08,2020-10-09,MD-AD-PD,Mars,Rahu,Venus,Venus,Rahu,2.9,2.51,0,0.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Venus sub-sub-period (benefic)
