Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2017-01-14,2033-01-14,MD,Jupiter,,,Jupiter,,3.09,0.3333333333333333,0,0.0,0.3458333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2017-01-14,2019-02-21,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.09,0.33,0,0.0,0.3458333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2018-03-16,2018-05-27,MD-AD-PD,Jupiter,Jupiter,Venus,Venus,Jupiter,4.04,2.27,2,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Venus sub-sub-period (benefic)
2018-05-27,2018-07-04,MD-AD-PD,Jupiter,Jupiter,Sun,Sun,Jupiter,2.55,0.56,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-sub-period (malefic)
2018-07-04,2018-09-05,MD-AD-PD,Jupiter,Jupiter,Moon,Moon,Jupiter,3.07,1.47,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-sub-period (benefic)
2018-09-05,2018-10-19,MD-AD-PD,Jupiter,Jupiter,Mars,Mars,Jupiter,4.18,2.27,1,1.0,0.61875,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-sub-period (malefic)
2018-10-19,2019-02-10,MD-AD-PD,Jupiter,Jupiter,Rahu,Rahu,Jupiter,3.51,3.59,0,0.0,0.03333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-sub-period (malefic)
2019-02-21,2019-07-13,MD-AD-PD,Jupiter,Jupiter,Saturn,Saturn,Jupiter,2.96,1.31,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-sub-period (malefic)
2019-02-21,2021-08-21,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,2.84,1.23,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2019-07-13,2019-11-17,MD-AD-PD,Jupiter,Saturn,Mercury,Mercury,Saturn,2.81,1.7,0,0.0,0.07333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2019-11-17,2020-01-09,MD-AD-PD,Jupiter,Saturn,Ketu,Ketu,Saturn,5.25,5.18,1,1.0,0.4625,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic); Ketu sub-sub-period (malefic)
2020-01-09,2020-06-07,MD-AD-PD,Jupiter,Saturn,Venus,Venus,Saturn,5.61,6.47,1,1.0,0.3,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Venus sub-sub-period (benefic)
2020-06-07,2020-07-22,MD-AD-PD,Jupiter,Saturn,Sun,Sun,Saturn,2.9,1.94,0,0.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic); Sun sub-sub-period (malefic)
2020-07-22,2020-10-05,MD-AD-PD,Jupiter,Saturn,Moon,Moon,Saturn,5.64,7.44,0,0.0,0.3,Jupiter dasha (benefic); lord in strong; challenging luminaries configuration; Saturn sub-period (malefic); Moon sub-sub-period (benefic)
2020-10-05,2020-11-26,MD-AD-PD,Jupiter,Saturn,Mars,Mars,Saturn,5.8,6.86,2,1.0,0.10666666666666666,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic); Mars sub-sub-period (malefic)
2020-11-26,2021-04-10,MD-AD-PD,Jupiter,Saturn,Rahu,Rahu,Saturn,4.28,3.88,2,1.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic); Rahu sub-sub-period (malefic)
2021-04-10,2021-08-08,MD-AD-PD,Jupiter,Saturn,Jupiter,Jupiter,Saturn,4.48,3.98,1,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-08-21,2023-11-15,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,4.62,2.54,1,1.0,0.5020833333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic)
2021-08-21,2021-12-13,MD-AD-PD,Jupiter,Saturn,Mercury,Mercury,Saturn,4.87,3.67,1,1.0,0.5020833333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2021-12-13,2022-01-29,MD-AD-PD,Jupiter,Mercury,Ketu,Ketu,Mercury,4.69,4.4,2,1.0,0.22333333333333333,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2022-01-29,2022-06-12,MD-AD-PD,Jupiter,Mercury,Venus,Venus,Mercury,3.82,2.3,1,1.0,0.10666666666666666,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Venus sub-sub-period (benefic)
2022-06-12,2022-07-22,MD-AD-PD,Jupiter,Mercury,Sun,Sun,Mercury,4.15,4.74,0,0.0,0.03333333333333333,Jupiter dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
2022-07-22,2022-09-27,MD-AD-PD,Jupiter,Mercury,Moon,Moon,Mercury,4.29,3.86,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Moon sub-sub-period (benefic)
2022-09-27,2022-11-13,MD-AD-PD,Jupiter,Mercury,Mars,Mars,Mercury,5.65,6.72,1,1.0,0.14666666666666667,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Mars sub-sub-period (malefic)
2022-11-13,2023-03-14,MD-AD-PD,Jupiter,Mercury,Rahu,Rahu,Mercury,3.96,3.62,0,0.0,0.15,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Rahu sub-sub-period (malefic)
2023-03-14,2023-06-29,MD-AD-PD,Jupiter,Mercury,Jupiter,Jupiter,Mercury,4.62,5.28,1,1.0,0.03333333333333333,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2023-06-29,2023-11-03,MD-AD-PD,Jupiter,Mercury,Saturn,Saturn,Mercury,4.26,4.48,1,1.0,0.14666666666666667,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2023-11-15,2023-12-04,MD-AD-PD,Jupiter,Mercury,Ketu,Ketu,Mercury,2.6,1.23,0,0.0,0.0,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
