Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2017-01-14,2019-02-21,MD-AD,Jupiter,Jupiter,,Jupiter,Jupiter,3.09,0.33,0,0.0,0.3458333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2019-02-21,2021-08-21,MD-AD,Jupiter,Saturn,,Saturn,Jupiter,3.09,1.93,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2021-08-21,2023-11-15,MD-AD,Jupiter,Mercury,,Mercury,Jupiter,4.62,2.54,1,1.0,0.5020833333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic)
2023-11-15,2024-10-16,MD-AD,Jupiter,Ketu,,Ketu,Jupiter,2.59,1.47,0,0.0,0.0,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2024-10-16,2027-06-03,MD-AD,Jupiter,Venus,,Venus,Jupiter,2.77,0.43,0,0.0,0.14666666666666667,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2027-06-03,2028-03-17,MD-AD,Jupiter,Sun,,Sun,Jupiter,6.8,7.1,2,1.0,0.5333333333333333,Jupiter dasha (benefic); lord in strong; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic)
2028-03-17,2029-07-10,MD-AD,Jupiter,Moon,,Moon,Jupiter,2.99,1.03,0,0.0,0.15,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2029-07-10,2030-06-11,MD-AD,Jupiter,Mars,,Mars,Jupiter,2.99,1.47,0,0.0,0.22333333333333333,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2030-06-11,2032-10-22,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,2.48,0.23,0,0.0,0.18333333333333332,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2033-01-14,2036-01-02,MD-AD,Saturn,Saturn,,Saturn,Saturn,2.26,1.47,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2036-01-02,2038-08-28,MD-AD,Saturn,Mercury,,Mercury,Saturn,2.17,0.43,0,0.0,0.18333333333333332,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2038-08-28,2039-10-01,MD-AD,Saturn,Ketu,,Ketu,Saturn,3.5,0.67,1,1.0,0.78125,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Ketu sub-period (malefic)
2039-10-01,2042-11-14,MD-AD,Saturn,Venus,,Venus,Saturn,3.54,3.18,1,1.0,0.14666666666666667,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic)
2042-11-14,2043-10-22,MD-AD,Saturn,Sun,,Sun,Saturn,4.69,7.0,1,1.0,0.0,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
2043-10-22,2045-05-14,MD-AD,Saturn,Moon,,Moon,Saturn,5.85,7.44,2,1.0,0.15,Saturn dasha (malefic); lord in strong; strong protective cancellations; challenging luminaries configuration; Moon sub-period (benefic)
2045-05-14,2046-06-17,MD-AD,Saturn,Mars,,Mars,Saturn,3.6,3.05,1,1.0,0.5333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2046-06-17,2049-04-08,MD-AD,Saturn,Rahu,,Rahu,Saturn,2.38,2.35,0,0.0,0.07333333333333333,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2049-04-08,2051-10-07,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,4.27,4.82,0,0.0,0.3,Saturn dasha (malefic); lord in moderate strength; challenging luminaries configuration; Jupiter sub-period (benefic)
2052-01-15,2054-05-31,MD-AD,Mercury,Mercury,,Mercury,Mercury,3.76,3.0,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2054-05-31,2055-05-23,MD-AD,Mercury,Ketu,,Ketu,Mercury,3.69,3.98,0,0.0,0.10666666666666666,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2055-05-23,2058-03-08,MD-AD,Mercury,Venus,,Venus,Mercury,4.05,4.4,0,0.0,0.06666666666666667,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Venus sub-period (benefic)
2058-03-08,2059-01-08,MD-AD,Mercury,Sun,,Sun,Mercury,3.45,0.44,2,1.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Sun sub-period (malefic)
2059-01-08,2060-06-01,MD-AD,Mercury,Moon,,Moon,Mercury,4.28,3.0,1,1.0,0.22333333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2060-06-01,2061-05-24,MD-AD,Mercury,Mars,,Mars,Mercury,4.36,4.58,0,0.0,0.18333333333333332,Mercury dasha (benefic); lord in moderate strength; challenging luminaries configuration; Mars sub-period (malefic)
2061-05-24,2063-11-28,MD-AD,Mercury,Rahu,,Rahu,Mercury,3.38,1.93,0,0.0,0.3458333333333333,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2063-11-28,2066-02-21,MD-AD,Mercury,Jupiter,,Jupiter,Mercury,4.04,2.54,1,1.0,0.18333333333333332,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2066-02-21,2068-10-17,MD-AD,Mercury,Saturn,,Saturn,Mercury,2.39,0.57,0,0.0,0.06666666666666667,Mercury dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2069-01-14,2069-06-10,MD-AD,Ketu,Ketu,,Ketu,Ketu,2.26,1.47,0,0.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2069-06-10,2070-08-04,MD-AD,Ketu,Venus,,Venus,Ketu,3.39,4.4,0,0.0,0.06666666666666667,Ketu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Venus sub-period (benefic)
2070-08-04,2070-12-08,MD-AD,Ketu,Sun,,Sun,Ketu,3.53,4.4,0,0.0,0.3,Ketu dasha (malefic); lord in moderate strength; challenging luminaries configuration; Sun sub-period (malefic)
2070-12-08,2071-07-06,MD-AD,Ketu,Moon,,Moon,Ketu,3.0,1.47,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic)
2071-07-06,2071-11-30,MD-AD,Ketu,Mars,,Mars,Ketu,4.37,5.89,2,1.0,0.14666666666666667,Ketu dasha (malefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Mars sub-period (malefic)
2071-11-30,2072-12-12,MD-AD,Ketu,Rahu,,Rahu,Ketu,2.96,0.91,2,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic)
2072-12-12,2073-11-13,MD-AD,Ketu,Jupiter,,Jupiter,Ketu,2.67,0.57,1,1.0,0.18333333333333332,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Jupiter sub-period (benefic)
2073-11-13,2074-12-17,MD-AD,Ketu,Saturn,,Saturn,Ketu,3.15,2.2,2,1.0,0.03333333333333333,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic)
2074-12-17,2075-12-09,MD-AD,Ketu,Mercury,,Mercury,Ketu,3.24,2.3,1,1.0,0.15,Ketu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2076-01-15,2079-04-29,MD-AD,Venus,Venus,,Venus,Venus,5.34,4.4,1,1.0,0.5333333333333333,Venus dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence
2079-04-29,2080-04-23,MD-AD,Venus,Sun,,Sun,Venus,6.2,7.38,1,1.0,0.5733333333333334,Venus dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic)
2080-04-23,2081-12-14,MD-AD,Venus,Moon,,Moon,Venus,5.98,3.47,2,1.0,1.0,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; strong luminaries support; Moon sub-period (benefic)
2081-12-14,2083-02-07,MD-AD,Venus,Mars,,Mars,Venus,4.76,3.0,1,1.0,0.65,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Mars sub-period (malefic)
2083-02-07,2086-01-22,MD-AD,Venus,Rahu,,Rahu,Venus,3.04,1.79,0,0.0,0.18333333333333332,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2086-01-22,2088-09-08,MD-AD,Venus,Jupiter,,Jupiter,Venus,4.3,3.47,2,1.0,0.06666666666666667,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
2088-09-08,2091-10-23,MD-AD,Venus,Saturn,,Saturn,Venus,4.42,0.44,1,1.0,0.96875,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; strong luminaries support; Saturn sub-period (malefic)
2091-10-23,2094-08-08,MD-AD,Venus,Mercury,,Mercury,Venus,5.69,7.0,1,1.0,0.03333333333333333,Venus dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2094-08-08,2095-10-02,MD-AD,Venus,Ketu,,Ketu,Venus,3.13,1.47,0,0.0,0.3,Venus dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2096-01-15,2096-05-02,MD-AD,Sun,Sun,,Sun,Sun,2.3,0.33,1,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration
2096-05-02,2096-10-29,MD-AD,Sun,Moon,,Moon,Sun,6.31,7.44,1,1.0,0.65,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Moon sub-period (benefic)
2096-10-29,2097-03-04,MD-AD,Sun,Mars,,Mars,Sun,1.7,0.44,0,0.0,0.07333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mars sub-period (malefic)
2097-03-04,2098-01-22,MD-AD,Sun,Rahu,,Rahu,Sun,1.58,0.33,0,0.0,0.03333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Rahu sub-period (malefic)
2098-01-22,2098-11-06,MD-AD,Sun,Jupiter,,Jupiter,Sun,3.76,3.23,2,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Jupiter sub-period (benefic)
2098-11-06,2099-10-14,MD-AD,Sun,Saturn,,Saturn,Sun,2.01,1.32,0,0.0,0.07333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2099-10-14,2100-08-17,MD-AD,Sun,Mercury,,Mercury,Sun,3.32,2.54,1,1.0,0.14666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2100-08-17,2100-12-21,MD-AD,Sun,Ketu,,Ketu,Sun,2.18,1.23,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Ketu sub-period (malefic)
