Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2021-03-11,2022-01-29,MD-AD,Sun,Rahu,,Rahu,Sun,5.71,10.0,2,1.0,0.06666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic)
2022-01-29,2022-11-13,MD-AD,Sun,Jupiter,,Jupiter,Sun,2.32,1.23,0,0.0,0.10666666666666666,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2022-11-13,2023-10-21,MD-AD,Sun,Saturn,,Saturn,Sun,2.48,1.88,1,1.0,0.15,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic)
2023-10-21,2024-08-22,MD-AD,Sun,Mercury,,Mercury,Sun,2.3,1.32,0,0.0,0.07333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Mercury sub-period (benefic)
2024-08-22,2024-12-26,MD-AD,Sun,Ketu,,Ketu,Sun,5.22,7.0,0,0.0,0.5420833333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Ketu sub-period (malefic)
2024-12-26,2025-12-21,MD-AD,Sun,Venus,,Venus,Sun,2.93,2.35,0,0.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Venus sub-period (benefic)
2026-01-21,2026-11-17,MD-AD,Moon,Moon,,Moon,Moon,3.0,1.47,0,0.0,0.06666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration
2026-11-17,2027-06-15,MD-AD,Moon,Mars,,Mars,Moon,3.24,2.35,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic)
2027-06-15,2028-12-06,MD-AD,Moon,Rahu,,Rahu,Moon,3.87,1.79,2,1.0,0.14666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic)
2028-12-06,2030-03-31,MD-AD,Moon,Jupiter,,Jupiter,Moon,5.68,4.82,1,1.0,0.4625,Moon dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Jupiter sub-period (benefic)
2030-03-31,2031-10-22,MD-AD,Moon,Saturn,,Saturn,Moon,2.77,1.03,0,0.0,0.18333333333333332,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2031-10-22,2033-03-15,MD-AD,Moon,Mercury,,Mercury,Moon,3.71,3.42,0,0.0,0.07333333333333333,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2033-03-15,2033-10-11,MD-AD,Moon,Ketu,,Ketu,Moon,3.45,2.35,0,0.0,0.3,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2033-10-11,2035-06-03,MD-AD,Moon,Venus,,Venus,Moon,6.67,7.0,1,1.0,0.5733333333333334,Moon dasha (benefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2035-06-03,2035-11-30,MD-AD,Moon,Sun,,Sun,Moon,2.59,1.13,0,0.0,0.06666666666666667,Moon dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2036-01-21,2036-06-16,MD-AD,Mars,Mars,,Mars,Mars,5.42,9.38,1,1.0,0.10666666666666666,Mars dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration
2036-06-16,2037-06-29,MD-AD,Mars,Rahu,,Rahu,Mars,1.64,0.1,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic)
2037-06-29,2038-05-31,MD-AD,Mars,Jupiter,,Jupiter,Mars,3.15,3.52,0,0.0,0.10666666666666666,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2038-05-31,2039-07-04,MD-AD,Mars,Saturn,,Saturn,Mars,2.58,0.44,2,1.0,0.06666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic)
2039-07-04,2040-06-25,MD-AD,Mars,Mercury,,Mercury,Mars,4.98,6.66,1,1.0,0.07333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic)
2040-06-25,2040-11-19,MD-AD,Mars,Ketu,,Ketu,Mars,3.99,6.08,1,1.0,0.14666666666666667,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic)
2040-11-19,2042-01-13,MD-AD,Mars,Venus,,Venus,Mars,5.52,5.28,1,1.0,0.65,Mars dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Venus sub-period (benefic)
2042-01-13,2042-05-19,MD-AD,Mars,Sun,,Sun,Mars,2.79,2.35,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic)
2042-05-19,2042-12-15,MD-AD,Mars,Moon,,Moon,Mars,5.42,6.08,2,1.0,0.5333333333333333,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Moon sub-period (benefic)
2043-01-21,2045-09-19,MD-AD,Rahu,Rahu,,Rahu,Rahu,3.44,3.0,0,0.0,0.5333333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence
2045-09-19,2048-01-31,MD-AD,Rahu,Jupiter,,Jupiter,Rahu,3.38,3.98,0,0.0,0.14666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic)
2048-01-31,2050-11-22,MD-AD,Rahu,Saturn,,Saturn,Rahu,2.27,0.67,0,0.0,0.3458333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Saturn sub-period (malefic)
2050-11-22,2053-05-28,MD-AD,Rahu,Mercury,,Mercury,Rahu,2.71,1.93,0,0.0,0.18333333333333332,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mercury sub-period (benefic)
2053-05-28,2054-06-10,MD-AD,Rahu,Ketu,,Ketu,Rahu,1.76,0.43,0,0.0,0.10666666666666666,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic)
2054-06-10,2057-05-25,MD-AD,Rahu,Venus,,Venus,Rahu,3.01,1.93,0,0.0,0.3458333333333333,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic)
2057-05-25,2058-04-14,MD-AD,Rahu,Sun,,Sun,Rahu,2.89,2.54,1,1.0,0.06666666666666667,Rahu dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic)
