Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,D1_Score,D9_Score,D10_Score,D9_Sign,D10_Sign,D9_Vargottama,D10_Vargottama,D10_Deity,D10_Career,Triple_Chart_Effect,Astrological_Significance
2020-08-18,2022-12-30,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,4.06,9.56,0,0.0,0.78125,7.23,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong luminaries support; Rahu sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2023-03-24,2026-03-11,MD-AD,Saturn,Saturn,,Saturn,Saturn,5.1,9.38,1,1.0,0.18333333333333332,5.56,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2026-03-11,2028-11-04,MD-AD,Saturn,Mercury,,Mercury,Saturn,4.3,3.0,1,1.0,0.10666666666666666,3.41,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2028-11-04,2029-12-08,MD-AD,Saturn,Ketu,,Ketu,Saturn,4.07,0.1,1,1.0,0.5,2.79,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Ketu sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2029-12-08,2033-01-21,MD-AD,Saturn,Venus,,Venus,Saturn,3.91,0.9,0,0.0,0.18333333333333332,2.34,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-01-21,2033-12-29,MD-AD,Saturn,Sun,,Sun,Saturn,3.83,1.13,0,0.0,0.18333333333333332,2.14,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2033-12-29,2035-07-22,MD-AD,Saturn,Moon,,Moon,Saturn,4.07,1.93,0,0.0,0.22333333333333333,2.78,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2035-07-22,2036-08-24,MD-AD,Saturn,Mars,,Mars,Saturn,3.89,1.55,0,0.0,0.18333333333333332,2.29,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Mars sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2036-08-24,2039-06-16,MD-AD,Saturn,Rahu,,Rahu,Saturn,4.17,1.47,0,0.0,0.61875,3.05,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Rahu sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2039-06-16,2041-12-14,MD-AD,Saturn,Jupiter,,Jupiter,Saturn,4.05,2.35,0,0.0,0.10666666666666666,2.72,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Jupiter sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
