Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,D1_Score,D9_Score,D10_Score,D9_Sign,D10_Sign,D9_Vargottama,D10_Vargottama,D10_Deity,D10_Career,Triple_Chart_Effect,Astrological_Significance
2007-03-24,2023-03-24,MD,Jupiter,,,Jupiter,,3.9333333333333336,9.375,0,0.0,0.65,6.9,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; D9 in Aquarius; D9 indicates underlying challenges
2020-08-18,2022-12-30,MD-AD,Jupiter,Rahu,,Rahu,Jupiter,4.06,9.56,0,0.0,0.78125,7.23,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong luminaries support; Rahu sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2020-09-30,2020-12-24,MD-AD-PD,Jupiter,Rahu,Rahu,Rahu,Rahu,3.63,9.69,1,1.0,0.14666666666666667,6.08,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Rahu sub-sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2020-12-24,2021-04-17,MD-AD-PD,Jupiter,Rahu,Jupiter,Jupiter,Rahu,2.71,3.0,0,0.0,0.18333333333333332,3.61,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Strong Sell,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Jupiter sub-sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges
2021-04-17,2021-08-29,MD-AD-PD,Jupiter,Rahu,Saturn,Saturn,Rahu,3.52,5.75,2,1.0,0.65,5.79,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Saturn sub-sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2021-08-29,2021-12-28,MD-AD-PD,Jupiter,Rahu,Mercury,Mercury,Rahu,4.07,6.5,3,1.0,0.96875,7.27,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in moderate strength; triple Arishta-Bhanga protection; strong luminaries support; Rahu sub-period (malefic); Mercury sub-sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges
2021-12-28,2022-02-16,MD-AD-PD,Jupiter,Rahu,Ketu,Ketu,Rahu,3.34,6.5,2,1.0,0.22333333333333333,5.29,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; challenging luminaries configuration; Rahu sub-period (malefic); Ketu sub-sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2022-02-16,2022-07-08,MD-AD-PD,Jupiter,Rahu,Venus,Venus,Rahu,3.16,5.1,1,1.0,0.18333333333333332,4.82,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Venus sub-sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges
2022-07-08,2022-08-19,MD-AD-PD,Jupiter,Rahu,Sun,Sun,Rahu,2.75,3.7,0,0.0,0.14666666666666667,3.7,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Strong Sell,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Rahu sub-period (malefic); Sun sub-sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2022-08-19,2022-10-29,MD-AD-PD,Jupiter,Rahu,Moon,Moon,Rahu,3.81,5.56,2,1.0,0.96875,6.58,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; strong luminaries support; Rahu sub-period (malefic); Moon sub-sub-period (benefic); D9 in Aquarius; D9 indicates underlying challenges
2022-10-29,2022-12-18,MD-AD-PD,Jupiter,Rahu,Mars,Mars,Rahu,2.86,3.63,1,1.0,0.07333333333333333,3.99,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Strong Sell,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Mars sub-sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2023-03-24,2026-03-11,MD-AD,Saturn,Saturn,,Saturn,Saturn,5.1,9.38,1,1.0,0.18333333333333332,5.56,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2023-03-24,2042-03-24,MD,Saturn,,,Saturn,,5.097993827160493,9.375,1,1.0,0.18333333333333332,5.56,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2023-03-24,2023-09-09,MD-AD-PD,Jupiter,Saturn,Saturn,Saturn,Saturn,3.4,7.81,1,1.0,0.18333333333333332,5.47,1.47,3.0,Aquarius,Scorpio,No,No,Isan,"Healing, Counseling, Spiritual work, Transformation",D1-Led | Sell,Jupiter dasha (benefic); lord in strong; moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Saturn sub-sub-period (malefic); D9 in Aquarius; D9 indicates underlying challenges
2023-09-09,2024-02-07,MD-AD-PD,Saturn,Saturn,Mercury,Mercury,Saturn,5.21,7.79,0,0.0,0.61875,5.87,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in strong; balanced solar-lunar influence; Mercury sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2024-02-07,2024-04-10,MD-AD-PD,Saturn,Saturn,Ketu,Ketu,Saturn,4.8,7.79,0,0.0,0.10666666666666666,4.76,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in strong; challenging luminaries configuration; Ketu sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2024-04-10,2024-10-05,MD-AD-PD,Saturn,Saturn,Venus,Venus,Saturn,5.35,9.5,2,1.0,0.18333333333333332,6.24,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Venus sub-sub-period (benefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
2024-10-05,2024-11-27,MD-AD-PD,Saturn,Saturn,Sun,Sun,Saturn,4.97,7.63,1,1.0,0.14666666666666667,5.22,7.81,1.47,Capricorn,Sagittarius,Yes,No,Indra,"Leadership, Authority, Government, Royal positions",D9-Led | Sell,Saturn dasha (malefic); lord in strong; moderate protective influence; challenging luminaries configuration; Sun sub-sub-period (malefic); Vargottama (same sign D1-D9) - exceptional strength; D9 own sign Capricorn; D9 significantly strengthens long-term prospects
