Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Start_Price,End_Price,Period_High,High_Date,Period_Low,Low_Date,Notes
2007-03-24,2023-03-24,Enhanced,Jupiter,,,Jupiter,,6.9,9.375,0,0.0,0.65,9.5,8.2,39.0,2021-01-27,6.0,2022-12-27,Period adjusted: using stock birth date 2020-09-30 as start date
2020-08-18,2022-12-30,Enhanced,Jupiter,Rahu,,Rahu,Jupiter,7.68,9.56,1,1.0,0.78125,9.5,6.42,39.0,2021-01-27,6.0,2022-12-27,Period adjusted: using stock birth date 2020-09-30 as start date
2020-09-30,2020-12-24,Enhanced,Jupiter,Rahu,Rahu,Rahu,Rahu,6.98,9.69,3,1.0,0.1466666666666666,9.5,27.75,29.05,2020-11-25,9.03,2020-10-05,
2020-12-24,2021-04-17,Enhanced,Jupiter,Rahu,Jupiter,Jupiter,Rahu,4.06,3.0,1,1.0,0.1833333333333333,27.75,22.47,39.0,2021-01-27,21.73,2021-03-29,
2021-04-17,2021-08-29,Enhanced,Jupiter,Rahu,Saturn,Saturn,Rahu,5.79,5.75,2,1.0,0.65,22.47,25.71,27.38,2021-06-28,18.37,2021-05-13,
2021-08-29,2021-12-28,Enhanced,Jupiter,Rahu,Mercury,Mercury,Rahu,7.27,6.5,3,1.0,0.96875,25.71,18.57,28.77,2021-09-23,17.96,2021-12-20,
2021-12-28,2022-02-16,Enhanced,Jupiter,Rahu,Ketu,Ketu,Rahu,5.29,6.5,2,1.0,0.2233333333333333,18.57,13.97,18.69,2021-12-30,12.28,2022-01-27,
2022-02-16,2022-07-08,Enhanced,Jupiter,Rahu,Venus,Venus,Rahu,4.82,5.1,1,1.0,0.1833333333333333,13.97,10.17,14.63,2022-04-04,6.71,2022-05-11,
2022-07-08,2022-08-19,Enhanced,Jupiter,Rahu,Sun,Sun,Rahu,3.57,3.36,0,0.0,0.1466666666666666,10.17,8.51,11.45,2022-08-05,8.51,2022-08-19,
2022-08-19,2022-10-29,Enhanced,Jupiter,Rahu,Moon,Moon,Rahu,6.13,5.56,1,1.0,0.96875,8.51,8.64,8.66,2022-10-25,7.28,2022-09-06,
2022-10-29,2022-12-18,Enhanced,Jupiter,Rahu,Mars,Mars,Rahu,3.54,3.63,0,0.0,0.0733333333333333,8.64,6.9,8.79,2022-10-31,6.9,2022-12-16,
2022-12-19,2023-03-23,Enhanced,Jupiter,Rahu,Mars,Mars,Rahu,3.54,3.63,0,0.0,0.0733333333333333,6.35,8.33,10.11,2023-02-15,6.0,2022-12-27,
2023-03-24,2023-09-09,Enhanced,Jupiter,Saturn,Saturn,Saturn,Saturn,5.47,7.81,1,1.0,0.1833333333333333,8.2,15.13,19.99,2023-08-01,7.38,2023-05-04,
2023-03-24,2026-03-11,Enhanced,Saturn,Saturn,,Saturn,Saturn,5.56,9.38,1,1.0,0.1833333333333333,8.2,,136.35,2025-06-11,7.38,2023-05-04,
2023-03-24,2042-03-24,Enhanced,Saturn,,,Saturn,,5.56,9.375,1,1.0,0.1833333333333333,8.2,,136.35,2025-06-11,7.38,2023-05-04,
2023-09-09,2024-02-07,Enhanced,Saturn,Saturn,Mercury,Mercury,Saturn,5.87,7.79,0,0.0,0.61875,15.13,23.6,23.6,2024-02-07,13.96,2023-09-26,
2024-02-07,2024-04-10,Enhanced,Saturn,Saturn,Ketu,Ketu,Saturn,4.68,7.57,0,0.0,0.1066666666666666,23.6,22.42,26.46,2024-03-07,22.42,2024-04-10,
2024-04-10,2024-10-05,Enhanced,Saturn,Saturn,Venus,Venus,Saturn,6.69,9.5,3,1.0,0.1833333333333333,22.42,40.01,40.01,2024-10-04,20.47,2024-04-19,
2024-10-05,2024-11-27,Enhanced,Saturn,Saturn,Sun,Sun,Saturn,5.22,7.63,1,1.0,0.1466666666666666,40.01,66.05,66.05,2024-11-27,38.89,2024-10-07,
2024-11-27,2025-02-24,Enhanced,Saturn,Saturn,Moon,Moon,Saturn,5.27,8.1,0,0.0,0.2233333333333333,66.05,90.68,124.62,2025-02-18,64.98,2025-01-13,
2025-02-24,2025-04-27,Enhanced,Saturn,Saturn,Mars,Mars,Saturn,5.58,7.57,2,1.0,0.1066666666666666,90.68,112.78,112.78,2025-04-25,74.01,2025-04-04,
2025-04-27,2025-10-04,Enhanced,Saturn,Saturn,Rahu,Rahu,Saturn,4.35,3.0,2,1.0,0.5333333333333333,112.78,,136.35,2025-06-11,108.86,2025-05-06,
